case_id,observed_passes,F1,F2,F3,H1,J1,J2,J3,J4,J5,S1,U1,U2,U3,U4
01d3ad510b42,5,0,0,0,0.2,0,0,0,0,0,1,1,0,0.4,0.8
02de4bafb196,5,1,1,0.8,0.6,0.2,0.2,0.2,0.2,0.2,0,1,0,0.8,0.6
039ed8d2c4fe,5,1,1,0.6,0.4,0.6,0.6,0.4,0.4,0.2,0,1,0,0.8,0.6
04278d8d1006,5,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0.2
043aa1b0134c,5,0.8,1,0,0.4,0,0,0,0,0,0,1,0,1,0.8
046e6d52bc8e,5,0,0,0,0.2,0,0,0,0,0,1,0.6,0,0.2,0.4
04827fb71269,5,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0.2
04f6f12c9dd1,5,1,1,0.8,0.6,0,0,0,0,0,0,1,0,1,0.6
0686dccb5baa,5,0.6,1,0,0.2,0,0,0,0,0,0,1,0,0.8,1
0688cd1db5ca,5,0.8,1,0.4,0,0,0,0,0,0,0,1,0,1,1
06ed3c1819be,5,0.6,1,0.4,0.8,0.6,0.6,0.6,0.6,0.6,0,1,0,0.8,0.2
084b592e02b3,5,0,1,0,0.4,0,0,0,0,0,0,1,0,1,0.4
088747fa7d04,5,0,0,0,0.4,0,0,0,0,0,1,0.6,0,0.2,0.2
08ad0e53abb1,5,0,0,0,1,0.4,0,0,0,0,1,1,0,0.6,0
0a81f336c8fb,5,0.8,1,0.4,0.6,0.2,0,0,0,0,0,1,0,1,0.4
0adf2d15eb47,5,0.8,1,0.4,0.4,0,0,0,0,0,0,1,0,0.8,0.6
0b6eb6e593c5,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.4,0.6
0bf1eff0c800,5,0.6,1,0.2,0.4,0,0,0,0,0,0.2,1,0,1,0.6
0d34d4795612,5,0,0,0,0.2,0.2,0,0.2,0,0,1,0.8,0,0,0.8
0d63f36e3688,5,1,1,0.6,0.6,0,0,0,0,0,0,1,0,1,0.6
0d8f07836540,5,0.2,1,0,0.4,0,0,0,0,0,0,1,0,1,0.6
0f5f4d284afb,5,1,1,0.6,0.8,0,0,0,0,0,0.2,1,0,1,0.4
109ca777fa12,5,1,1,0.4,0.2,0,0,0,0,0,0,1,0,1,0.8
112d585f8fdf,5,0,0,0,0.4,0.4,0.2,0,0,0,1,0.8,0,0.2,0.4
134acf006762,5,0,0,0,0.4,0,0,0,0,0,1,0.8,0,0.4,0.4
14ab57dc9ec8,5,0.2,1,0,0.2,0.2,0,0,0,0,0,1,0,0.8,0.8
14d73efad7ab,5,0,0,0,0.4,0,0,0,0,0,1,0.8,0,0.6,0.4
16ac7d4eada1,5,0,0,0,0.2,0,0,0,0,0,1,0.8,0,0.4,0.4
1921370ef769,5,1,0.8,0,0.8,0,0,0,0,0,0,1,0,1,0.4
1b3433cd4628,5,0.8,1,0,0.6,0,0,0,0,0,0,1,0,0.8,0.6
1bce6dff94b8,5,0,0,0,0.4,0,0,0,0,0,1,0.8,0,0.4,0.4
1c36cac6bccc,5,0.4,1,0.2,0.8,0.2,0,0,0,0,0,1,0,1,0.2
1c99d4b10868,5,1,1,0.6,0.8,0.2,0.2,0.2,0.2,0.2,0,1,0,0.6,0.2
1d3a4f93114f,5,0.6,1,0.6,1,0,0,0,0,0,0,1,0,1,0
1dc1f1d9c3bd,5,0,0,0,1,0,0,0,0,0,1,1,0,0.6,0
1e85a8697898,5,0.4,1,0.2,0.6,0,0,0,0,0,0,1,0,1,0.4
1fb5bb36812c,5,1,0.8,0,0.6,0,0,0,0,0,0,1,0,1,0.4
1fb64399ccd8,5,1,1,0.2,0.8,1,1,1,1,1,0,1,0,0.6,0.4
2065ada1a306,5,0,0,0,0,0.2,0,0,0,0,1,0.6,0,0.2,0.2
209fa336c13a,5,1,1,1,0.2,0,0,0,0,0,0,1,0,0.8,0.8
21da45ff7758,5,0,0,0,0.6,0,0,0,0,0,1,0.8,0,0.6,0.2
23161751e203,5,1,1,0.4,0.4,0.2,0.2,0,0,0,0,1,0,0.8,0.6
2440338f40ce,5,1,1,0,0.2,0,0,0,0,0,0,1,0,1,0.8
25b03ee6601d,5,0.8,1,0.2,0.4,0,0,0,0,0,0,1,0,1,0.6
2802cf486896,5,0,0,0,0.4,0,0,0,0,0,1,0.6,0,0.6,0
2a0d8f20ab72,5,0.8,1,0.4,0.2,0,0,0,0,0,0,1,0,0.8,0.8
2a27a571e7fc,5,1,1,0.2,0.4,0,0,0,0,0,0,1,0,1,0.6
2aa0f685bafa,5,1,1,0,0.6,0.2,0.2,0.2,0.2,0.2,0,1,0,0.8,0.6
2c0cb0230b61,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.6,0.4
2c7c7c5def5a,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.2,0.4
2cabf84d8c88,5,1,1,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0,1,0,0.8,0.6
2e9adc656f2b,5,0.8,1,0,0.8,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0.8
2fb56e19e29d,5,0,0,0,0.2,0.2,0,0,0,0,1,0.6,0,0.2,0.4
30b481a7c8e2,5,1,1,0.6,0,0,0,0,0,0,0,1,0,1,1
31a19e00325e,5,0.6,1,0,0.8,0.4,0.2,0.4,0.4,0.2,0,1,0,0.8,0.4
31a2fec2be77,5,1,1,0.4,0.6,0.6,0.6,0,0,0.4,0,1,0,1,0.4
31b5e609ef46,5,0,0,0,0.4,0.2,0.2,0.2,0.2,0.2,1,0.8,0,0.6,0.2
3257ed9e00aa,5,1,1,0.6,0,0,0,0,0,0,0,1,0,1,1
353095dd4786,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
362055c7a5a9,5,0.6,1,0,0.4,0,0,0,0,0,0,1,0,1,0.8
3680e8deae2f,5,0,0,0,0.2,0,0,0,0,0,1,0.6,0,0.4,0.2
37c368833872,5,0,0,0,0,0.2,0.2,0.2,0.2,0.2,1,0.6,0,0.4,0.2
37f61727e427,5,0,0,0,0.2,0,0,0,0,0,1,0.8,0,0.8,0.6
3885f7d6d282,5,1,1,1,0.6,0,0,0,0,0,0,1,0,1,0.6
39b63b84df43,5,0,0,0,0,0,0,0,0,0,1,0.6,0,0.2,0.6
3a2203603d61,5,0.4,1,0.2,0.4,0.2,0,0.2,0,0,0,0.6,0,0.8,0.6
3c4f97f6fb20,5,0,0,0,0.2,0,0,0,0,0,1,0.6,0,0.4,0.4
3cb443c08221,5,1,0.8,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0,1,0,0.6,0.6
3ff2979ec750,5,0,0,0,0,0,0,0,0,0,1,0.6,0,0.4,0.6
408fd2a91abd,5,0.6,1,0.2,0.6,0,0,0,0,0,0,1,0,1,0.4
410ecd5b1e40,5,0,0,0,0.4,0.2,0,0,0,0,1,0.6,0,0.2,0.2
430464d25f28,5,1,1,0.8,0.8,0,0,0,0,0,0,1,0,0.8,0.2
43748fb30948,5,0.8,1,0.2,0.8,0,0,0,0,0,0,1,0,1,0.2
43e4036c30f9,5,0,0,0,0.2,0,0,0,0,0,1,0.2,0,0.2,0.2
4463568f621e,5,0.8,1,0.2,0.4,0,0,0,0,0,0,1,0,0.8,1
447d40f8ace5,5,1,1,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0,1,0,1,0.8
4707c2930bd5,5,0.2,1,0,0.2,0,0,0,0,0,0,1,0,1,0.8
472b9b93ad9f,5,1,1,0.8,1,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0.6
49067b2ff40c,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.8,0.6
4bb8afe35408,5,1,1,0.4,0,0,0,0,0,0,0,1,0,1,1
4f06bfffb535,5,0,0,0,0,0,0,0,0,0,1,0.6,0,0.4,0.2
4fdfdbf582cb,5,1,1,0.4,0.2,0,0,0,0,0,0,1,0,1,0.8
4ff4163fd5c7,5,0.8,1,0.6,0.4,0,0,0,0,0,0,1,0,0.8,0.8
512ffd6391ed,5,0,0,0,0.2,0,0,0,0,0,1,0.8,0,0.4,0.6
5341a4972339,5,0.2,1,0,1,0.2,0.2,0,0,0.2,0,1,0,1,0.2
5478288b68f4,5,1,1,0.4,0.2,0,0,0,0,0,0,1,0,0.8,0.8
55157f0433cc,5,1,0.8,0,0.8,0.4,0.4,0.2,0.2,0.2,0,1,0,0.8,0.2
560a71c4eb88,5,1,1,0.8,0.6,0,0,0,0,0,0,1,0,1,0.4
57d543f72b94,5,0.6,1,0.6,0,0,0,0,0,0,0,1,0,1,1
5860caa8b811,5,1,1,0,0.8,0.2,0.2,0.4,0,0.4,0,1,0,1,0.4
5932b68b6a3b,5,1,1,0.8,0,0,0,0,0,0,0,1,0,1,1
5aefd3e8b445,5,0,0,0,0,0,0,0,0,0,1,0.4,0,0.2,0.4
5ccdfc01ba3c,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.2,0.6
5cdb0ba3c556,5,1,1,0.4,0.8,0.6,0.6,0.6,0.6,0.6,0,1,0,0.8,0.4
5d40cd729024,5,1,1,0.4,0.4,0,0,0,0,0,0,1,0,1,0.8
5e17e32670ea,5,0.8,1,0.4,0.4,0,0,0,0,0,0,1,0,0.6,0.8
5e3faa420f8a,5,0,0,0,0,0,0,0,0,0,1,0.8,0,0.4,0.4
5eb14f8b3cdc,5,1,1,0.2,0,0.2,0.2,0,0,0,0.2,1,0,1,0.8
5ebba28b6c1b,5,0.8,1,0.2,0.8,0,0,0,0,0,0,1,0,1,0.4
60160115004c,5,0,0,0,0.4,0,0,0,0,0,1,0.6,0,0.6,0.4
6025e1fa5134,5,1,1,0.2,0.6,0.2,0.2,0.2,0,0,0,1,0,0.8,0.4
6103d326f1f4,5,0,0,0,0.2,0,0,0,0,0,1,0.4,0,0.4,0.2
615c9cf6b7e2,5,0,0,0,0.6,0,0,0,0,0,1,0.6,0,0.4,0
62126c371107,5,1,1,0,0.4,0.2,0,0,0,0,0,1,0,0.6,0.6
624266e9f779,5,1,1,0.8,0.8,0,0,0,0,0,0,1,0,1,0.6
628cb522c3cd,5,0,0,0,0.4,0.2,0,0,0,0,1,1,0,0.4,0.4
62e2c124f989,5,0.4,0.8,0,1,0.2,0.2,0.2,0.2,0.2,0,1,0,0.8,0
643832575481,5,1,1,0.4,1,0,0,0,0,0,0,1,0,1,0.2
64cf0bbee592,5,0.4,0.4,0,0.2,0,0,0,0,0,0.4,0.8,0,0.4,0.6
65008302b1e5,5,0.6,1,0.4,0.4,0,0,0,0,0,0,1,0,1,0.6
660cc534fc78,5,0,0,0,0.8,0.2,0,0,0,0,0.8,0.8,0,0.2,0.2
66604d92cdf6,5,1,1,0.4,0.4,0.2,0.2,0.2,0,0.2,0,1,0,0.8,0.6
684536b07bc7,5,0,0,0,0.6,0,0,0,0,0,1,1,0,1,0.4
688178e946ff,5,0.8,1,0.4,0.4,0,0,0,0,0,0,1,0,1,0.6
69262ac8f823,5,0,0,0,0.8,0,0,0,0,0,1,0.6,0,0.4,0.2
6980ae227761,5,1,1,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0,1,0,1,0.8
699afdbeba4d,5,0.6,1,0,0.4,0.2,0.2,0,0,0,0,1,0,1,0.6
6a1f6758e7d9,5,0.8,1,0.2,0.8,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0.8
6bdd73210307,5,1,1,0.6,0.6,0.2,0.2,0,0,0,0,1,0,0.8,0.2
6d850c9bb9a8,5,1,1,0.6,0.2,0,0,0,0,0,0,1,0,0.8,0.6
6df425a01e7e,5,0.8,1,0,1,0,0,0,0,0,0,1,0,1,0.2
6df59e956a95,5,0.8,1,0,0.4,0.2,0.2,0.2,0.2,0.2,0,1,0,0.8,0.6
6e3fc24135dd,5,1,1,0.6,0,0,0,0,0,0,0,1,0,1,1
6e65a2b06b3e,5,1,1,0.6,0.2,0,0,0,0,0,0,1,0,1,0.8
6ebaa814e4ad,5,0.4,1,0,0.6,0.2,0,0.2,0,0,0,0.6,0,0.8,0.2
70d66563e84a,5,0.8,1,0.2,0.6,0,0,0,0,0,0,1,0,1,0.8
72eed7e29e02,5,1,0.8,0,0.2,0,0,0,0,0,0,1,0,1,0.8
7415e35108cc,5,1,1,0.2,0.2,0,0,0,0,0,0.2,1,0,1,0.8
74fb44a7acc9,5,0,0,0,0.2,0.2,0.2,0,0,0,1,0.4,0,0,0.2
754832888538,5,0.8,1,0.4,0.4,0,0,0,0,0,0,1,0,1,0.6
760bf1553c4d,5,0.8,1,0.2,1,0,0,0,0,0,0,1,0,0.8,0.2
774568d1460a,5,0,0,0,0,0,0,0,0,0,1,0.8,0,0.2,0.8
77e8cca793fb,5,0,0,0,0.2,0.2,0,0,0,0,1,0.8,0,0.4,0.6
7803d9a85054,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.4,0.6
78230d2a0091,5,0.8,1,0.2,0.8,0,0,0,0,0,0,1,0,1,0.4
7a02d7111976,5,1,1,0,0.4,0,0,0,0,0,0.4,1,0,0.8,0.8
7a7a77e77a46,5,1,1,0,0.2,0,0,0,0,0,0,1,0,1,0.6
7b77237aee10,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.8,0.4
7c3d9a994e6f,5,0,0,0,0.2,0.2,0.2,0,0,0,1,0.4,0,0.2,0.2
7cebf4fe20ee,5,1,1,0.4,0.8,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0.8
7df672f007f4,5,0,0,0,0.4,0.2,0,0,0,0,1,1,0,0,0.8
7e30c8259061,5,0,0,0,0.2,0,0,0,0,0,1,0.4,0,0.4,0.2
7e49e32d201b,5,1,1,0,0.4,0.4,0.2,0,0,0,0,1,0,1,0.4
7e6b0d276a55,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.4,0.6
7f427673957c,5,0.8,1,0.4,0.2,0.2,0,0,0,0,0,1,0,1,0.6
7f45c1d942fc,5,0.8,1,0.2,1,0,0,0,0,0,0,1,0,0.8,0.4
805f4872bae8,5,0.8,1,0.4,0.2,0,0,0,0,0,0,0.8,0,1,0.8
8078cef39704,5,1,0.8,0.2,1,0.2,0.2,0.2,0.2,0,0.2,1,0,1,0.2
80db6dd984d5,5,1,1,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0,1,0,1,0.6
8132df5e7a12,5,1,1,0.4,0.6,0.4,0.4,0.2,0.2,0.4,0,1,0,0.8,0.8
81607c6d9629,5,0.8,1,0,0.4,0,0,0,0,0,0,1,0,0.8,0.4
81a87f78403c,5,0.6,0.6,0.2,0.2,0,0,0,0,0,0,1,0,0.6,0.8
83b57a05ab3c,5,1,1,0.2,0.2,0,0,0,0,0,0.2,0.8,0,0.8,0.8
849b8319a75f,5,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0.4
86090feb7a89,5,0,0,0,0.6,0,0,0,0,0,1,1,0,0.8,0.4
87ecf58e6b0c,5,1,1,0.8,1,0.4,0.4,0,0,0,0,1,0,0.8,0.2
8a4969fb9f3f,5,1,1,0.4,0.8,0,0,0,0,0,0,1,0,0.6,0.2
8b87a89244e2,5,0,0,0,0.4,0,0,0,0,0,1,0.6,0,0.2,0.2
8ba39229aeac,5,0.8,0.8,0.2,0.4,0,0,0,0,0,0.4,1,0,0.8,0.6
8ca47f754a8b,5,1,1,0.6,0.6,0,0,0,0,0,0,1,0,1,0.8
8cfe1edbd00f,5,0,0,0,0.2,0.2,0.2,0,0,0,1,1,0,0.8,0.2
8e335947c0e1,5,0.8,1,0.2,0.4,0,0,0,0,0,0,1,0,1,1
8e3c2e92cbc0,5,1,1,0.4,0,0,0,0,0,0,0,1,0,0.6,1
8e440b80a157,5,0.4,1,0.4,0.4,0,0,0,0,0,0,1,0,1,0.8
9002b1ff928f,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90b23b744311,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.2,0.6
9167dfcb1faa,5,1,1,0.4,0.6,0,0,0,0,0,0.2,1,0,0.8,0.2
91987904b44b,5,0,0,0,0.2,0,0,0,0,0,1,0.4,0,0.4,0
93630e0a3d67,5,0.2,1,0,0.2,0,0,0,0,0,0,1,0,1,0.8
942b571c83ec,5,1,1,0.6,1,0.4,0.4,0.4,0.4,0.2,0.2,1,0,0.8,0.4
94bc5a480449,5,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0
94bf93368c00,5,1,1,1,0.2,0,0,0,0,0,0,1,0,1,0.6
953cf8b9cd02,5,0,0,0,0,0,0,0,0,0,1,0.4,0,0.4,0.4
9623f8400850,5,1,1,0.4,0.8,0,0,0,0,0,0,1,0,1,0.4
96e911c67649,5,1,1,0.4,0.4,0,0,0,0,0,0,1,0,0.8,0.6
97abaa333a90,5,1,1,0.8,0.2,0,0,0,0,0,0,1,0,1,0.8
9906ba89a54d,5,0,0,0,0,0,0,0,0,0,1,1,0,0.6,1
99d069fa1546,5,0,0,0,0.4,0,0,0,0,0,1,0.8,0,0.8,0.6
9a9eff6df503,5,1,1,0.4,0.2,0,0,0,0,0,0,1,0,0.8,0.8
9b00fd3c63f5,5,0,0,0,0,0,0,0,0,0,1,0.6,0,0.4,0.6
9b8faec4d9b1,5,0.6,1,0,0.4,0,0,0,0,0,0,1,0,1,0.6
9bbcadeaa0fa,5,1,1,0.4,0.6,0,0,0,0,0,0,1,0,1,0.8
9bef5c2501ee,5,1,1,0.6,0.4,0,0,0,0,0,0,1,0,1,0.6
9d41a00a9c93,5,0,0,0,0.4,0.2,0,0,0,0,1,1,0,0.4,0.6
9dfe141cf391,5,1,1,0.4,0.2,0,0,0,0,0,0,1,0,1,0.8
9fd1f741bc64,5,0.6,1,0.4,0.2,0.2,0,0,0,0,0,1,0,0.8,0.6
a03d48541430,5,1,1,0.8,0.4,0,0,0,0,0,0,1,0,1,0.8
a0b20e4df225,5,0,0,0,0.2,0,0,0,0,0,1,0.4,0,0.4,0.2
a0def0e8f780,5,0,0,0,0.4,0,0,0,0,0,1,0.6,0.2,0.6,0.4
a21113615ced,5,1,1,1,0.6,0,0,0,0,0,0,1,0,1,0.4
a2ee1ad7e572,5,0.8,0.8,0.4,0.6,0.2,0.2,0.2,0.2,0.2,0,1,0,0.4,0.4
a32fbd13c2e3,5,0.2,1,0,0.2,0,0,0,0,0,0,1,0,1,0.6
a41084c34754,5,0.8,1,0,0.8,0.4,0.2,0.4,0.4,0.2,0,1,0,1,0.2
a4265bd21da8,5,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0.4
a44c5fe6a989,5,0,0,0,0.2,0,0,0,0,0,1,0.6,0,0.4,0.4
a45c83f69ba7,5,0,0,0,0.2,0,0,0,0,0,1,0.6,0,0.4,0.4
a5e0df042d50,5,0.8,1,0,0.2,0,0,0,0,0,0,1,0,1,0.8
a69a5c9bdd1d,5,1,1,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0.8
a82568887b73,5,1,1,0.4,0.6,0,0,0,0,0,0,1,0,1,0.4
ad4a3ebaa5bc,5,0,1,0,0.8,0.2,0.2,0.2,0.2,0.2,0,1,0,0.8,0.2
ae184ed23fd2,5,0.8,1,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0,1,0,0.8,0.8
aebd35259e42,5,0.6,0.8,0.2,0.6,0,0,0,0,0,0,1,0,1,0.4
afe283c2f92e,5,1,1,0.6,0.6,0,0,0,0,0,0,1,0,1,0.6
b0c69164f2c2,5,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0.2
b2790c4ddf09,5,0.8,1,0.4,0.2,0,0,0,0,0,0,1,0,1,0.8
b38b2a0c0e03,5,1,1,0.2,0.4,0,0,0,0,0,0,1,0,0.8,0.8
b498f4cd8561,5,1,1,0.2,0.4,0,0,0,0,0,0,1,0,0.8,0.6
b4b46e41a207,5,1,1,0.4,0.8,0,0,0,0,0,0,1,0,1,0.2
b71b3713bf7e,5,0,0,0,0.4,0,0,0,0,0,1,0.6,0,0.6,0
