step,cluster,left,right,distance,similarity,size,members
1,C01,J3,J4,0.05094312608869922,0.9490568739113008,2,J3 J4
2,C02,C01,J5,0.08957025346955905,0.910429746530441,3,J3 J4 J5
3,C03,J1,J2,0.09186053676278261,0.9081394632372174,2,J1 J2
4,C04,F1,F2,0.1159392225229916,0.8840607774770084,2,F1 F2
5,C05,C02,C03,0.1852051417933409,0.8147948582066591,5,J1 J2 J3 J4 J5
6,C06,C04,U3,0.22310896093204546,0.7768910390679545,3,F1 F2 U3
7,C07,C06,U1,0.30724337745178454,0.6927566225482155,4,F1 F2 U1 U3
8,C08,C07,F3,0.4588337634467212,0.5411662365532788,5,F1 F2 F3 U1 U3
9,C09,C08,U4,0.6168617410237818,0.3831382589762182,6,F1 F2 F3 U1 U3 U4
10,C10,C05,H1,0.646972166952666,0.353027833047334,6,H1 J1 J2 J3 J4 J5
11,C11,C09,C10,0.8606100473278521,0.13938995267214793,12,F1 F2 F3 H1 J1 J2 J3 J4 J5 U1 U3 U4
12,C12,S1,U2,0.8839148525383614,0.11608514746163856,2,S1 U2
13,C13,C11,C12,1.27936576280027,-0.2793657628002699,14,F1 F2 F3 H1 J1 J2 J3 J4 J5 S1 U1 U2 U3 U4
