step,cluster,left,right,distance,similarity,size,members
1,C01,J3,J4,0.1282051282051282,0.8717948717948718,2,J3 J4
2,C02,U1,U3,0.18546555639666917,0.8145344436033308,2,U1 U3
3,C03,F1,F2,0.19631901840490795,0.803680981595092,2,F1 F2
4,C04,C01,J5,0.21232983883586293,0.787670161164137,3,J3 J4 J5
5,C05,J1,J2,0.25,0.75,2,J1 J2
6,C06,C02,C03,0.32050484912057065,0.6794951508794294,4,F1 F2 U1 U3
7,C07,C04,C05,0.4164744866130679,0.5835255133869321,5,J1 J2 J3 J4 J5
8,C08,C06,U4,0.4978581408551288,0.5021418591448712,5,F1 F2 U1 U3 U4
9,C09,C08,H1,0.6299350534122719,0.37006494658772815,6,F1 F2 H1 U1 U3 U4
10,C10,C09,F3,0.7278872254031777,0.27211277459682226,7,F1 F2 F3 H1 U1 U3 U4
11,C11,C10,S1,0.8959628078565797,0.10403719214342033,8,F1 F2 F3 H1 S1 U1 U3 U4
12,C12,C07,C11,0.9378239757200516,0.062176024279948394,13,F1 F2 F3 H1 J1 J2 J3 J4 J5 S1 U1 U3 U4
13,C13,C12,U2,0.9995998718020636,0.0004001281979364446,14,F1 F2 F3 H1 J1 J2 J3 J4 J5 S1 U1 U2 U3 U4
