rule,pass_support,pass_prevalence,active_cases,mean_case_fire_rate
F1,800,0.5405405405405406,194,0.5405405405405406
F2,964,0.6513513513513514,197,0.6513513513513514
F3,318,0.21486486486486486,144,0.2148648648648649
H1,630,0.42567567567567566,259,0.42567567567567566
J1,132,0.0891891891891892,92,0.0891891891891892
J2,99,0.06689189189189189,71,0.06689189189189189
J3,78,0.052702702702702706,57,0.0527027027027027
J4,68,0.04594594594594595,50,0.04594594594594595
J5,70,0.0472972972972973,52,0.0472972972972973
S1,514,0.3472972972972973,115,0.34729729729729736
U1,1317,0.8898648648648648,294,0.8898648648648648
U2,2,0.0013513513513513514,2,0.0013513513513513514
U3,1080,0.7297297297297297,283,0.7297297297297297
U4,762,0.5148648648648648,282,0.5148648648648648
