metric,threshold,cluster_id,size,members
fire_rate_corr,0.05,1,1,F1
fire_rate_corr,0.05,2,1,F2
fire_rate_corr,0.05,3,1,F3
fire_rate_corr,0.05,4,1,H1
fire_rate_corr,0.05,5,1,J1
fire_rate_corr,0.05,6,1,J2
fire_rate_corr,0.05,7,1,J3
fire_rate_corr,0.05,8,1,J4
fire_rate_corr,0.05,9,1,J5
fire_rate_corr,0.05,10,1,S1
fire_rate_corr,0.05,11,1,U1
fire_rate_corr,0.05,12,1,U2
fire_rate_corr,0.05,13,1,U3
fire_rate_corr,0.05,14,1,U4
fire_rate_corr,0.1,1,3,J3 J4 J5
fire_rate_corr,0.1,2,2,J1 J2
fire_rate_corr,0.1,3,1,F1
fire_rate_corr,0.1,4,1,F2
fire_rate_corr,0.1,5,1,F3
fire_rate_corr,0.1,6,1,H1
fire_rate_corr,0.1,7,1,S1
fire_rate_corr,0.1,8,1,U1
fire_rate_corr,0.1,9,1,U2
fire_rate_corr,0.1,10,1,U3
fire_rate_corr,0.1,11,1,U4
fire_rate_corr,0.2,1,5,J1 J2 J3 J4 J5
fire_rate_corr,0.2,2,2,F1 F2
fire_rate_corr,0.2,3,1,F3
fire_rate_corr,0.2,4,1,H1
fire_rate_corr,0.2,5,1,S1
fire_rate_corr,0.2,6,1,U1
fire_rate_corr,0.2,7,1,U2
fire_rate_corr,0.2,8,1,U3
fire_rate_corr,0.2,9,1,U4
fire_rate_corr,0.35,1,5,J1 J2 J3 J4 J5
fire_rate_corr,0.35,2,4,F1 F2 U1 U3
fire_rate_corr,0.35,3,1,F3
fire_rate_corr,0.35,4,1,H1
fire_rate_corr,0.35,5,1,S1
fire_rate_corr,0.35,6,1,U2
fire_rate_corr,0.35,7,1,U4
fire_rate_corr,0.5,1,5,F1 F2 F3 U1 U3
fire_rate_corr,0.5,2,5,J1 J2 J3 J4 J5
fire_rate_corr,0.5,3,1,H1
fire_rate_corr,0.5,4,1,S1
fire_rate_corr,0.5,5,1,U2
fire_rate_corr,0.5,6,1,U4
