metric,threshold,cluster_id,size,members
jaccard,0.15,1,2,J3 J4
jaccard,0.15,2,1,F1
jaccard,0.15,3,1,F2
jaccard,0.15,4,1,F3
jaccard,0.15,5,1,H1
jaccard,0.15,6,1,J1
jaccard,0.15,7,1,J2
jaccard,0.15,8,1,J5
jaccard,0.15,9,1,S1
jaccard,0.15,10,1,U1
jaccard,0.15,11,1,U2
jaccard,0.15,12,1,U3
jaccard,0.15,13,1,U4
jaccard,0.25,1,3,J3 J4 J5
jaccard,0.25,2,2,F1 F2
jaccard,0.25,3,2,J1 J2
jaccard,0.25,4,2,U1 U3
jaccard,0.25,5,1,F3
jaccard,0.25,6,1,H1
jaccard,0.25,7,1,S1
jaccard,0.25,8,1,U2
jaccard,0.25,9,1,U4
jaccard,0.35,1,4,F1 F2 U1 U3
jaccard,0.35,2,3,J3 J4 J5
jaccard,0.35,3,2,J1 J2
jaccard,0.35,4,1,F3
jaccard,0.35,5,1,H1
jaccard,0.35,6,1,S1
jaccard,0.35,7,1,U2
jaccard,0.35,8,1,U4
jaccard,0.5,1,5,F1 F2 U1 U3 U4
jaccard,0.5,2,5,J1 J2 J3 J4 J5
jaccard,0.5,3,1,F3
jaccard,0.5,4,1,H1
jaccard,0.5,5,1,S1
jaccard,0.5,6,1,U2
jaccard,0.7,1,6,F1 F2 H1 U1 U3 U4
jaccard,0.7,2,5,J1 J2 J3 J4 J5
jaccard,0.7,3,1,F3
jaccard,0.7,4,1,S1
jaccard,0.7,5,1,U2
