rule_a,rule_b,distance,similarity
J3,J4,0.05094312608869922,0.9490568739113008
J3,J5,0.08662682812012101,0.913373171879879
J1,J2,0.09186053676278261,0.9081394632372174
J4,J5,0.09251367881899708,0.9074863211810029
F1,F2,0.1159392225229916,0.8840607774770084
J2,J5,0.12482081939214107,0.8751791806078589
J2,J4,0.1550855226794685,0.8449144773205315
J2,J3,0.1679549998911557,0.8320450001088443
F2,U3,0.16996214521520137,0.8300378547847986
J1,J3,0.2135292486702287,0.7864707513297713
J1,J5,0.22305037866255928,0.7769496213374407
J1,J4,0.22678988146449208,0.7732101185355079
U1,U3,0.23976243236518657,0.7602375676348134
F1,U3,0.27625577664888956,0.7237442233511104
F1,F3,0.30001737388571825,0.6999826261142817
F2,U1,0.30985926996241975,0.6901407300375803
F1,U1,0.3721084300277473,0.6278915699722527
F2,F3,0.41858989917856215,0.5814101008214378
F3,U3,0.5245236892689142,0.47547631073108576
U1,U4,0.5330780696429898,0.46692193035701024
H1,U1,0.5583385858590721,0.44166141414092785
F2,U4,0.5918913008815707,0.4081086991184293
F3,U1,0.5922040914536901,0.40779590854630987
F1,U4,0.6015196815533995,0.3984803184466005
U3,U4,0.6026573251080114,0.3973426748919886
H1,U3,0.6194267169118695,0.38057328308813054
H1,J3,0.6397012790124432,0.3602987209875568
H1,J5,0.6427123525776276,0.3572876474223724
F2,H1,0.6460739861713921,0.3539260138286079
H1,J2,0.6478560458007654,0.3521439541992346
H1,J1,0.6517536948794097,0.3482463051205903
H1,J4,0.6528374624930842,0.34716253750691584
F1,H1,0.6912626967049761,0.3087373032950239
F2,J3,0.7356385021447998,0.26436149785520024
F2,J5,0.7450734434522316,0.2549265565477684
F2,J4,0.7522632835204267,0.2477367164795733
F3,U4,0.7551623279329376,0.24483767206706242
F2,J2,0.7553606504887717,0.24463934951122834
F1,J2,0.7726826330632279,0.22731736693677207
F1,J3,0.7769300098657332,0.22306999013426676
F1,J4,0.7811358032266258,0.2188641967733742
F1,J5,0.7878256512342593,0.2121743487657407
F3,H1,0.7922070564444983,0.2077929435555017
F2,J1,0.7986826972152912,0.20131730278470883
J5,U1,0.8098272933653532,0.1901727066346468
J4,U1,0.8130812475549909,0.1869187524450091
J2,U1,0.8168893222478111,0.18311067775218892
J3,U1,0.8194892009071799,0.18051079909282008
J1,U1,0.8262706319104542,0.17372936808954575
F1,J1,0.8416540989359118,0.1583459010640882
J5,U3,0.856689973414143,0.143310026585857
J3,U3,0.8623179574052864,0.13768204259471362
J4,U3,0.8645606814396773,0.13543931856032265
J2,U3,0.8752800144397086,0.1247199855602914
S1,U2,0.8839148525383614,0.11608514746163856
F3,J4,0.8993762212578376,0.10062377874216244
F3,J2,0.9079900440686184,0.09200995593138162
F3,J5,0.91798347343203,0.08201652656796998
F3,J3,0.9312024494055339,0.06879755059446613
J1,U3,0.9411387923879082,0.05886120761209179
F3,J1,0.9678893699858264,0.03211063001417358
J4,U2,1.0316065946679323,-0.03160659466793225
J5,U2,1.0320769950775206,-0.0320769950775206
J3,U2,1.0345041286711125,-0.03450412867111252
H1,U2,1.0374429724820011,-0.037442972482001124
J2,U2,1.0392934463958778,-0.03929344639587784
J1,U2,1.046013291521667,-0.04601329152166711
U2,U3,1.0617184356562004,-0.06171843565620039
J4,U4,1.0652504310614623,-0.06525043106146233
F3,U2,1.0660720686795468,-0.06607206867954685
U2,U4,1.0681520923771037,-0.06815209237710373
J5,U4,1.0692379531546565,-0.06923795315465653
J3,U4,1.0734161552290142,-0.07341615522901423
F1,U2,1.1027995336927097,-0.10279953369270967
J2,U4,1.1031092591996174,-0.10310925919961744
U1,U2,1.1151050055521312,-0.11510500555213121
F2,U2,1.1151579614982952,-0.11515796149829516
J1,U4,1.1294110951769978,-0.12941109517699778
J1,S1,1.2063605055420625,-0.20636050554206253
J2,S1,1.2488609405610127,-0.2488609405610127
J4,S1,1.250528037089543,-0.2505280370895431
J5,S1,1.2601059347723815,-0.26010593477238153
J3,S1,1.2670322563357714,-0.26703225633577143
H1,S1,1.367345362700588,-0.36734536270058804
H1,U4,1.3769943215194818,-0.37699432151948176
S1,U4,1.3969287179356735,-0.3969287179356735
F3,S1,1.5716792587396218,-0.5716792587396218
S1,U1,1.6929962121165611,-0.6929962121165611
S1,U3,1.8233162621021828,-0.8233162621021828
F1,S1,1.8796545326770664,-0.8796545326770664
F2,S1,1.9900277603619139,-0.9900277603619139
