rule,F1,F2,F3,H1,J1,J2,J3,J4,J5,S1,U1,U2,U3,U4
F1,0,0.1159392225,0.3000173739,0.6912626967,0.8416540989,0.7726826331,0.7769300099,0.7811358032,0.7878256512,1.879654533,0.37210843,1.102799534,0.2762557766,0.6015196816
F2,0.1159392225,0,0.4185898992,0.6460739862,0.7986826972,0.7553606505,0.7356385021,0.7522632835,0.7450734435,1.99002776,0.30985927,1.115157961,0.1699621452,0.5918913009
F3,0.3000173739,0.4185898992,0,0.7922070564,0.96788937,0.9079900441,0.9312024494,0.8993762213,0.9179834734,1.571679259,0.5922040915,1.066072069,0.5245236893,0.7551623279
H1,0.6912626967,0.6460739862,0.7922070564,0,0.6517536949,0.6478560458,0.639701279,0.6528374625,0.6427123526,1.367345363,0.5583385859,1.037442972,0.6194267169,1.376994322
J1,0.8416540989,0.7986826972,0.96788937,0.6517536949,0,0.09186053676,0.2135292487,0.2267898815,0.2230503787,1.206360506,0.8262706319,1.046013292,0.9411387924,1.129411095
J2,0.7726826331,0.7553606505,0.9079900441,0.6478560458,0.09186053676,0,0.1679549999,0.1550855227,0.1248208194,1.248860941,0.8168893222,1.039293446,0.8752800144,1.103109259
J3,0.7769300099,0.7356385021,0.9312024494,0.639701279,0.2135292487,0.1679549999,0,0.05094312609,0.08662682812,1.267032256,0.8194892009,1.034504129,0.8623179574,1.073416155
J4,0.7811358032,0.7522632835,0.8993762213,0.6528374625,0.2267898815,0.1550855227,0.05094312609,0,0.09251367882,1.250528037,0.8130812476,1.031606595,0.8645606814,1.065250431
J5,0.7878256512,0.7450734435,0.9179834734,0.6427123526,0.2230503787,0.1248208194,0.08662682812,0.09251367882,0,1.260105935,0.8098272934,1.032076995,0.8566899734,1.069237953
S1,1.879654533,1.99002776,1.571679259,1.367345363,1.206360506,1.248860941,1.267032256,1.250528037,1.260105935,0,1.692996212,0.8839148525,1.823316262,1.396928718
U1,0.37210843,0.30985927,0.5922040915,0.5583385859,0.8262706319,0.8168893222,0.8194892009,0.8130812476,0.8098272934,1.692996212,0,1.115105006,0.2397624324,0.5330780696
U2,1.102799534,1.115157961,1.066072069,1.037442972,1.046013292,1.039293446,1.034504129,1.031606595,1.032076995,0.8839148525,1.115105006,0,1.061718436,1.068152092
U3,0.2762557766,0.1699621452,0.5245236893,0.6194267169,0.9411387924,0.8752800144,0.8623179574,0.8645606814,0.8566899734,1.823316262,0.2397624324,1.061718436,0,0.6026573251
U4,0.6015196816,0.5918913009,0.7551623279,1.376994322,1.129411095,1.103109259,1.073416155,1.065250431,1.069237953,1.396928718,0.5330780696,1.068152092,0.6026573251,0
