rule_a,rule_b,distance,similarity
J3,J4,0.1282051282051282,0.8717948717948718
U1,U3,0.18546555639666917,0.8145344436033308
F1,F2,0.19631901840490795,0.803680981595092
J4,J5,0.20779220779220775,0.7922077922077922
J3,J5,0.2168674698795181,0.7831325301204819
F2,U3,0.23641069887834343,0.7635893011216566
J1,J2,0.25,0.75
F2,U1,0.27588813303099013,0.7241118669690099
J2,J5,0.3267326732673267,0.6732673267326733
J2,J4,0.36274509803921573,0.6372549019607843
F1,U3,0.37229437229437234,0.6277056277056277
J2,J3,0.37614678899082565,0.6238532110091743
F1,U1,0.3974261922785768,0.6025738077214232
U1,U4,0.4285714285714286,0.5714285714285714
J1,J3,0.4444444444444444,0.5555555555555556
J1,J5,0.4925373134328358,0.5074626865671642
J1,J4,0.49624060150375937,0.5037593984962406
U3,U4,0.5048701298701299,0.4951298701298701
F2,U4,0.5056277056277056,0.49437229437229435
H1,U3,0.5245901639344263,0.47540983606557374
H1,U1,0.525,0.475
F1,U4,0.5523632993512512,0.44763670064874883
F2,H1,0.5716845878136201,0.4283154121863799
F1,F3,0.6077210460772104,0.39227895392278955
F1,H1,0.6210221793635486,0.37897782063645136
F2,F3,0.6701244813278009,0.3298755186721991
F3,U3,0.7325475974614688,0.2674524025385312
S1,U1,0.7578018995929443,0.2421981004070557
F3,U1,0.75948406676783,0.24051593323217002
F3,H1,0.7908163265306123,0.2091836734693877
F3,U4,0.8066298342541436,0.19337016574585641
S1,U4,0.823963133640553,0.17603686635944704
H1,S1,0.8514056224899599,0.14859437751004012
S1,U3,0.8589835361488904,0.14101646385110955
H1,J1,0.8711111111111112,0.12888888888888883
F2,J1,0.8929292929292929,0.1070707070707071
H1,J2,0.897125567322239,0.10287443267776097
J1,U1,0.9014404852160728,0.09855951478392722
F1,J1,0.9022379269729093,0.09776207302709072
H1,J3,0.9057187017001546,0.09428129829984544
H1,U4,0.9073783359497645,0.09262166405023553
F2,J2,0.9119754350051177,0.08802456499488232
F1,J2,0.9129383313180169,0.08706166868198306
H1,J5,0.9147286821705426,0.0852713178294574
F3,J1,0.9156626506024097,0.0843373493975903
H1,J4,0.9195046439628483,0.08049535603715174
J1,U3,0.9207479964381122,0.07925200356188777
F3,J2,0.9224806201550387,0.07751937984496127
J2,U1,0.9248291571753986,0.0751708428246014
F2,J3,0.9257731958762887,0.0742268041237113
F1,J3,0.9318734793187348,0.06812652068126523
F2,J5,0.932920536635707,0.06707946336429305
F2,J4,0.934984520123839,0.06501547987616096
J2,U3,0.9359205776173285,0.0640794223826715
F1,J5,0.9364303178484108,0.0635696821515892
F1,J4,0.9375764993880049,0.062423500611995086
F3,J4,0.9395604395604396,0.06043956043956045
F3,J3,0.9411764705882353,0.05882352941176472
J1,U4,0.9420118343195266,0.05798816568047338
J3,U1,0.9423805913570887,0.05761940864291126
F3,J5,0.9456521739130435,0.05434782608695654
J5,U1,0.9468488990129081,0.05315110098709186
J3,U3,0.9482288828337875,0.05177111716621252
J4,U1,0.9483675018982536,0.051632498101746416
J4,U3,0.9525547445255474,0.04744525547445255
J5,U3,0.9535941765241128,0.046405823475887176
J2,U4,0.9563636363636363,0.043636363636363695
J1,S1,0.9647435897435898,0.03525641025641024
J3,U4,0.9680589680589681,0.03194103194103193
J4,U4,0.9714993804213135,0.028500619578686548
J5,U4,0.9715698393077874,0.028430160692212603
J2,S1,0.9834162520729685,0.016583747927031545
F2,S1,0.9904371584699454,0.0095628415300546
F1,S1,0.9915579432079816,0.008442056792018371
J3,S1,0.9949066213921901,0.005093378607809895
S1,U2,0.9961089494163424,0.0038910505836575737
J4,S1,0.996551724137931,0.0034482758620689724
J5,S1,0.9965635738831615,0.0034364261168384758
F3,S1,0.9975903614457832,0.002409638554216831
U2,U4,0.9986893840104849,0.001310615989515096
F1,U2,1.0,0.0
F2,U2,1.0,0.0
F3,U2,1.0,0.0
H1,U2,1.0,0.0
J1,U2,1.0,0.0
J2,U2,1.0,0.0
J3,U2,1.0,0.0
J4,U2,1.0,0.0
J5,U2,1.0,0.0
U1,U2,1.0,0.0
U2,U3,1.0,0.0
