rule,F1,F2,F3,H1,J1,J2,J3,J4,J5,S1,U1,U2,U3,U4
F1,0,0.1963190184,0.6077210461,0.6210221794,0.902237927,0.9129383313,0.9318734793,0.9375764994,0.9364303178,0.9915579432,0.3974261923,1,0.3722943723,0.5523632994
F2,0.1963190184,0,0.6701244813,0.5716845878,0.8929292929,0.911975435,0.9257731959,0.9349845201,0.9329205366,0.9904371585,0.275888133,1,0.2364106989,0.5056277056
F3,0.6077210461,0.6701244813,0,0.7908163265,0.9156626506,0.9224806202,0.9411764706,0.9395604396,0.9456521739,0.9975903614,0.7594840668,1,0.7325475975,0.8066298343
H1,0.6210221794,0.5716845878,0.7908163265,0,0.8711111111,0.8971255673,0.9057187017,0.919504644,0.9147286822,0.8514056225,0.525,1,0.5245901639,0.9073783359
J1,0.902237927,0.8929292929,0.9156626506,0.8711111111,0,0.25,0.4444444444,0.4962406015,0.4925373134,0.9647435897,0.9014404852,1,0.9207479964,0.9420118343
J2,0.9129383313,0.911975435,0.9224806202,0.8971255673,0.25,0,0.376146789,0.362745098,0.3267326733,0.9834162521,0.9248291572,1,0.9359205776,0.9563636364
J3,0.9318734793,0.9257731959,0.9411764706,0.9057187017,0.4444444444,0.376146789,0,0.1282051282,0.2168674699,0.9949066214,0.9423805914,1,0.9482288828,0.9680589681
J4,0.9375764994,0.9349845201,0.9395604396,0.919504644,0.4962406015,0.362745098,0.1282051282,0,0.2077922078,0.9965517241,0.9483675019,1,0.9525547445,0.9714993804
J5,0.9364303178,0.9329205366,0.9456521739,0.9147286822,0.4925373134,0.3267326733,0.2168674699,0.2077922078,0,0.9965635739,0.946848899,1,0.9535941765,0.9715698393
S1,0.9915579432,0.9904371585,0.9975903614,0.8514056225,0.9647435897,0.9834162521,0.9949066214,0.9965517241,0.9965635739,0,0.7578018996,0.9961089494,0.8589835361,0.8239631336
U1,0.3974261923,0.275888133,0.7594840668,0.525,0.9014404852,0.9248291572,0.9423805914,0.9483675019,0.946848899,0.7578018996,0,1,0.1854655564,0.4285714286
U2,1,1,1,1,1,1,1,1,1,0.9961089494,1,0,1,0.998689384
U3,0.3722943723,0.2364106989,0.7325475975,0.5245901639,0.9207479964,0.9359205776,0.9482288828,0.9525547445,0.9535941765,0.8589835361,0.1854655564,1,0,0.5048701299
U4,0.5523632994,0.5056277056,0.8066298343,0.9073783359,0.9420118343,0.9563636364,0.9680589681,0.9714993804,0.9715698393,0.8239631336,0.4285714286,0.998689384,0.5048701299,0
