target,expression,target_support,predicted_support,tp,fp,fn,tn,precision,recall,f1,accuracy,mismatches
F2,S1 B_AND_NOT_A U1,964,960,944,16,20,500,0.9833333333333333,0.979253112033195,0.9812889812889812,0.9756756756756757,36
U1,H1 OR U4,1317,1274,1266,8,51,155,0.9937205651491365,0.9612756264236902,0.9772288691624854,0.9601351351351352,59
U1,U3 OR U4,1317,1232,1224,8,93,155,0.9935064935064936,0.929384965831435,0.9603766182816791,0.9317567567567567,101
J4,J2 AND J3,68,68,65,3,3,1409,0.9558823529411765,0.9558823529411765,0.9558823529411765,0.995945945945946,6
F2,S1 B_AND_NOT_A U3,964,883,873,10,91,506,0.9886749716874292,0.9056016597510373,0.9453167298321603,0.9317567567567567,101
J4,J3 AND U1,68,76,68,8,0,1404,0.8947368421052632,1.0,0.9444444444444444,0.9945945945945946,8
J4,J1 AND J3,68,75,67,8,1,1404,0.8933333333333333,0.9852941176470589,0.9370629370629371,0.9939189189189189,9
U1,F2 OR S1,1317,1464,1301,163,16,0,0.8886612021857924,0.9878511769172361,0.9356346637900036,0.879054054054054,179
U1,H1 OR U3,1317,1159,1155,4,162,159,0.996548748921484,0.876993166287016,0.932956381260097,0.8878378378378379,166
J3,J4 AND U1,78,68,68,0,10,1402,1.0,0.8717948717948718,0.9315068493150686,0.9932432432432432,10
J3,J4 A_AND_NOT_B U2,78,68,68,0,10,1402,1.0,0.8717948717948718,0.9315068493150686,0.9932432432432432,10
J4,J3 A_AND_NOT_B U2,68,78,68,10,0,1402,0.8717948717948718,1.0,0.9315068493150686,0.9932432432432432,10
U1,F2 OR U3,1317,1159,1152,7,165,156,0.993960310612597,0.8747152619589977,0.9305331179321487,0.8837837837837837,172
U1,F2 XOR S1,1317,1450,1287,163,30,0,0.8875862068965518,0.9772209567198178,0.9302493675460788,0.8695945945945946,193
U1,H1 XOR U4,1317,1156,1149,7,168,156,0.9939446366782007,0.8724373576309795,0.9292357460574201,0.8817567567567568,175
J3,J4 OR J5,78,77,72,5,6,1397,0.935064935064935,0.9230769230769231,0.9290322580645162,0.9925675675675676,11
U1,F1 OR U3,1317,1155,1148,7,169,156,0.9939393939393939,0.8716780561883067,0.9288025889967636,0.8810810810810811,176
U1,F2 OR U4,1317,1155,1145,10,172,153,0.9913419913419913,0.8694001518602885,0.9263754045307443,0.8770270270270271,182
J3,J1 AND J4,78,67,67,0,11,1402,1.0,0.8589743589743589,0.9241379310344827,0.9925675675675676,11
J4,J3 A_AND_NOT_B S1,68,75,66,9,2,1403,0.88,0.9705882352941176,0.9230769230769231,0.9925675675675676,11
J3,J4 OR U2,78,70,68,2,10,1400,0.9714285714285714,0.8717948717948718,0.9189189189189189,0.9918918918918919,12
J3,J4 XOR U2,78,70,68,2,10,1400,0.9714285714285714,0.8717948717948718,0.9189189189189189,0.9918918918918919,12
J4,J3 OR U2,68,80,68,12,0,1400,0.85,1.0,0.9189189189189189,0.9918918918918919,12
J4,J3 XOR U2,68,80,68,12,0,1400,0.85,1.0,0.9189189189189189,0.9918918918918919,12
J4,J3 AND J5,68,65,61,4,7,1408,0.9384615384615385,0.8970588235294118,0.9172932330827067,0.9925675675675676,11
U1,J1 OR U3,1317,1123,1119,4,198,159,0.9964381121994658,0.8496583143507973,0.9172131147540984,0.8635135135135135,202
J3,J4 A_AND_NOT_B S1,78,66,66,0,12,1402,1.0,0.8461538461538461,0.9166666666666666,0.9918918918918919,12
J5,J2 AND J3,70,68,63,5,7,1405,0.9264705882352942,0.9,0.9130434782608695,0.9918918918918919,12
U1,F2 OR H1,1317,1116,1109,7,208,156,0.9937275985663082,0.8420652999240699,0.9116317303740238,0.8547297297297297,215
U1,S1 OR U3,1317,1397,1237,160,80,3,0.8854688618468146,0.9392558845861807,0.9115696389093589,0.8378378378378378,240
U1,J2 OR U3,1317,1108,1104,4,213,159,0.9963898916967509,0.8382687927107062,0.9105154639175258,0.8533783783783784,217
J3,J2 AND J4,78,65,65,0,13,1402,1.0,0.8333333333333334,0.9090909090909091,0.9912162162162163,13
U1,F3 OR U3,1317,1103,1098,5,219,158,0.9954669084315503,0.8337129840546698,0.9074380165289256,0.8486486486486486,224
U1,J3 OR U3,1317,1101,1097,4,220,159,0.9963669391462306,0.832953682611997,0.9073614557485525,0.8486486486486486,224
F2,S1 XOR U1,964,1117,944,173,20,343,0.8451208594449419,0.979253112033195,0.9072561268620855,0.8695945945945946,193
U1,J5 OR U3,1317,1099,1095,4,222,159,0.9963603275705186,0.8314350797266514,0.906456953642384,0.8472972972972973,226
