spec,cluster,members,cases_seen,unanimous_cases,flicker_cases,unanimous_given_seen,flicker_given_seen,mean_fire_rate_given_seen,hist_fired_passes
natural_tight,F12,F1 F2,198,192,6,0.9696969696969697,0.030303030303030304,0.9878787878787878,1:1 2:1 3:1 4:3 5:192
natural_tight,F3,F3,144,4,140,0.027777777777777776,0.9722222222222222,0.44166666666666665,1:43 2:55 3:23 4:19 5:4
natural_tight,H1,H1,259,18,241,0.0694980694980695,0.9305019305019305,0.4864864864864865,1:64 2:93 3:46 4:38 5:18
natural_tight,J12,J1 J2,92,1,91,0.010869565217391304,0.9891304347826086,0.28695652173913044,1:66 2:15 3:9 4:1 5:1
natural_tight,J345,J3 J4 J5,59,1,58,0.01694915254237288,0.9830508474576272,0.28135593220338984,1:42 2:12 3:4 5:1
natural_tight,S1,S1,115,96,19,0.8347826086956521,0.16521739130434782,0.8939130434782608,1:11 2:4 3:1 4:3 5:96
natural_tight,U13,U1 U3,294,217,77,0.7380952380952381,0.2619047619047619,0.8986394557823129,1:4 2:16 3:28 4:29 5:217
natural_tight,U2,U2,2,0,2,0.0,1.0,0.2,1:2
natural_tight,U4,U4,282,20,262,0.07092198581560284,0.9290780141843972,0.5404255319148936,1:55 2:71 3:79 4:57 5:20
j_only,F1,F1,194,101,93,0.520618556701031,0.4793814432989691,0.8247422680412371,1:10 2:10 3:27 4:46 5:101
j_only,F2,F2,197,181,16,0.9187817258883249,0.08121827411167512,0.9786802030456854,2:2 3:1 4:13 5:181
j_only,F3,F3,144,4,140,0.027777777777777776,0.9722222222222222,0.44166666666666665,1:43 2:55 3:23 4:19 5:4
j_only,H1,H1,259,18,241,0.0694980694980695,0.9305019305019305,0.4864864864864865,1:64 2:93 3:46 4:38 5:18
j_only,J12,J1 J2,92,1,91,0.010869565217391304,0.9891304347826086,0.28695652173913044,1:66 2:15 3:9 4:1 5:1
j_only,J345,J3 J4 J5,59,1,58,0.01694915254237288,0.9830508474576272,0.28135593220338984,1:42 2:12 3:4 5:1
j_only,S1,S1,115,96,19,0.8347826086956521,0.16521739130434782,0.8939130434782608,1:11 2:4 3:1 4:3 5:96
j_only,U1,U1,294,216,78,0.7346938775510204,0.2653061224489796,0.8959183673469387,1:4 2:16 3:31 4:27 5:216
j_only,U2,U2,2,0,2,0.0,1.0,0.2,1:2
j_only,U3,U3,283,125,158,0.4416961130742049,0.558303886925795,0.7632508833922261,1:24 2:40 3:25 4:69 5:125
j_only,U4,U4,282,20,262,0.07092198581560284,0.9290780141843972,0.5404255319148936,1:55 2:71 3:79 4:57 5:20
j_all,F1,F1,194,101,93,0.520618556701031,0.4793814432989691,0.8247422680412371,1:10 2:10 3:27 4:46 5:101
j_all,F2,F2,197,181,16,0.9187817258883249,0.08121827411167512,0.9786802030456854,2:2 3:1 4:13 5:181
j_all,F3,F3,144,4,140,0.027777777777777776,0.9722222222222222,0.44166666666666665,1:43 2:55 3:23 4:19 5:4
j_all,H1,H1,259,18,241,0.0694980694980695,0.9305019305019305,0.4864864864864865,1:64 2:93 3:46 4:38 5:18
j_all,J_ALL,J1 J2 J3 J4 J5,92,1,91,0.010869565217391304,0.9891304347826086,0.29347826086956524,1:64 2:16 3:10 4:1 5:1
j_all,S1,S1,115,96,19,0.8347826086956521,0.16521739130434782,0.8939130434782608,1:11 2:4 3:1 4:3 5:96
j_all,U1,U1,294,216,78,0.7346938775510204,0.2653061224489796,0.8959183673469387,1:4 2:16 3:31 4:27 5:216
j_all,U2,U2,2,0,2,0.0,1.0,0.2,1:2
j_all,U3,U3,283,125,158,0.4416961130742049,0.558303886925795,0.7632508833922261,1:24 2:40 3:25 4:69 5:125
j_all,U4,U4,282,20,262,0.07092198581560284,0.9290780141843972,0.5404255319148936,1:55 2:71 3:79 4:57 5:20
broad_clusters,F123_U13,F1 F2 F3 U1 U3,294,220,74,0.7482993197278912,0.25170068027210885,0.9006802721088436,1:4 2:16 3:28 4:26 5:220
broad_clusters,H1,H1,259,18,241,0.0694980694980695,0.9305019305019305,0.4864864864864865,1:64 2:93 3:46 4:38 5:18
broad_clusters,J_ALL,J1 J2 J3 J4 J5,92,1,91,0.010869565217391304,0.9891304347826086,0.29347826086956524,1:64 2:16 3:10 4:1 5:1
broad_clusters,S1,S1,115,96,19,0.8347826086956521,0.16521739130434782,0.8939130434782608,1:11 2:4 3:1 4:3 5:96
broad_clusters,U2,U2,2,0,2,0.0,1.0,0.2,1:2
broad_clusters,U4,U4,282,20,262,0.07092198581560284,0.9290780141843972,0.5404255319148936,1:55 2:71 3:79 4:57 5:20
