spec,label,members,pass_support,pass_prevalence,active_cases,active_case_rate
original,F1,F1,800,0.5405405405405406,194,0.6554054054054054
original,F2,F2,964,0.6513513513513514,197,0.6655405405405406
original,F3,F3,318,0.21486486486486486,144,0.4864864864864865
original,H1,H1,630,0.42567567567567566,259,0.875
original,J1,J1,132,0.0891891891891892,92,0.3108108108108108
original,J2,J2,99,0.06689189189189189,71,0.23986486486486486
original,J3,J3,78,0.052702702702702706,57,0.19256756756756757
original,J4,J4,68,0.04594594594594595,50,0.16891891891891891
original,J5,J5,70,0.0472972972972973,52,0.17567567567567569
original,S1,S1,514,0.3472972972972973,115,0.3885135135135135
original,U1,U1,1317,0.8898648648648648,294,0.9932432432432432
original,U2,U2,2,0.0013513513513513514,2,0.006756756756756757
original,U3,U3,1080,0.7297297297297297,283,0.956081081081081
original,U4,U4,762,0.5148648648648648,282,0.9527027027027027
natural_tight,F12,F1 F2,978,0.6608108108108108,198,0.668918918918919
natural_tight,F3,F3,318,0.21486486486486486,144,0.4864864864864865
natural_tight,H1,H1,630,0.42567567567567566,259,0.875
natural_tight,J12,J1 J2,132,0.0891891891891892,92,0.3108108108108108
natural_tight,J345,J3 J4 J5,83,0.056081081081081084,59,0.19932432432432431
natural_tight,S1,S1,514,0.3472972972972973,115,0.3885135135135135
natural_tight,U13,U1 U3,1321,0.8925675675675676,294,0.9932432432432432
natural_tight,U2,U2,2,0.0013513513513513514,2,0.006756756756756757
natural_tight,U4,U4,762,0.5148648648648648,282,0.9527027027027027
j_only,F1,F1,800,0.5405405405405406,194,0.6554054054054054
j_only,F2,F2,964,0.6513513513513514,197,0.6655405405405406
j_only,F3,F3,318,0.21486486486486486,144,0.4864864864864865
j_only,H1,H1,630,0.42567567567567566,259,0.875
j_only,J12,J1 J2,132,0.0891891891891892,92,0.3108108108108108
j_only,J345,J3 J4 J5,83,0.056081081081081084,59,0.19932432432432431
j_only,S1,S1,514,0.3472972972972973,115,0.3885135135135135
j_only,U1,U1,1317,0.8898648648648648,294,0.9932432432432432
j_only,U2,U2,2,0.0013513513513513514,2,0.006756756756756757
j_only,U3,U3,1080,0.7297297297297297,283,0.956081081081081
j_only,U4,U4,762,0.5148648648648648,282,0.9527027027027027
j_all,F1,F1,800,0.5405405405405406,194,0.6554054054054054
j_all,F2,F2,964,0.6513513513513514,197,0.6655405405405406
j_all,F3,F3,318,0.21486486486486486,144,0.4864864864864865
j_all,H1,H1,630,0.42567567567567566,259,0.875
j_all,J_ALL,J1 J2 J3 J4 J5,135,0.09121621621621621,92,0.3108108108108108
j_all,S1,S1,514,0.3472972972972973,115,0.3885135135135135
j_all,U1,U1,1317,0.8898648648648648,294,0.9932432432432432
j_all,U2,U2,2,0.0013513513513513514,2,0.006756756756756757
j_all,U3,U3,1080,0.7297297297297297,283,0.956081081081081
j_all,U4,U4,762,0.5148648648648648,282,0.9527027027027027
broad_clusters,F123_U13,F1 F2 F3 U1 U3,1324,0.8945945945945946,294,0.9932432432432432
broad_clusters,H1,H1,630,0.42567567567567566,259,0.875
broad_clusters,J_ALL,J1 J2 J3 J4 J5,135,0.09121621621621621,92,0.3108108108108108
broad_clusters,S1,S1,514,0.3472972972972973,115,0.3885135135135135
broad_clusters,U2,U2,2,0.0013513513513513514,2,0.006756756756756757
broad_clusters,U4,U4,762,0.5148648648648648,282,0.9527027027027027
j_family_original,J1,J1,132,0.0891891891891892,92,0.3108108108108108
j_family_original,J2,J2,99,0.06689189189189189,71,0.23986486486486486
j_family_original,J3,J3,78,0.052702702702702706,57,0.19256756756756757
j_family_original,J4,J4,68,0.04594594594594595,50,0.16891891891891891
j_family_original,J5,J5,70,0.0472972972972973,52,0.17567567567567569
j_family_tight,J12,J1 J2,132,0.0891891891891892,92,0.3108108108108108
j_family_tight,J345,J3 J4 J5,83,0.056081081081081084,59,0.19932432432432431
j_family_all,J_ALL,J1 J2 J3 J4 J5,135,0.09121621621621621,92,0.3108108108108108
