case_id,observed_passes,F1,F2,F3,H1,J1,J2,J3,J4,J5,S1,U1,U2,U3,U4
02de4bafb196,5,1,1,0.8,0.6,0.2,0.2,0.2,0.2,0.2,0,1,0,0.8,0.6
039ed8d2c4fe,5,1,1,0.6,0.4,0.6,0.6,0.4,0.4,0.2,0,1,0,0.8,0.6
04f6f12c9dd1,5,1,1,0.8,0.6,0,0,0,0,0,0,1,0,1,0.6
06ed3c1819be,5,0.6,1,0.4,0.8,0.6,0.6,0.6,0.6,0.6,0,1,0,0.8,0.2
0a81f336c8fb,5,0.8,1,0.4,0.6,0.2,0,0,0,0,0,1,0,1,0.4
1c99d4b10868,5,1,1,0.6,0.8,0.2,0.2,0.2,0.2,0.2,0,1,0,0.6,0.2
1fb64399ccd8,5,1,1,0.2,0.8,1,1,1,1,1,0,1,0,0.6,0.4
23161751e203,5,1,1,0.4,0.4,0.2,0.2,0,0,0,0,1,0,0.8,0.6
2aa0f685bafa,5,1,1,0,0.6,0.2,0.2,0.2,0.2,0.2,0,1,0,0.8,0.6
2e9adc656f2b,5,0.8,1,0,0.8,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0.8
31a19e00325e,5,0.6,1,0,0.8,0.4,0.2,0.4,0.4,0.2,0,1,0,0.8,0.4
31a2fec2be77,5,1,1,0.4,0.6,0.6,0.6,0,0,0.4,0,1,0,1,0.4
3cb443c08221,5,1,0.8,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0,1,0,0.6,0.6
430464d25f28,5,1,1,0.8,0.8,0,0,0,0,0,0,1,0,0.8,0.2
447d40f8ace5,5,1,1,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0,1,0,1,0.8
472b9b93ad9f,5,1,1,0.8,1,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0.6
55157f0433cc,5,1,0.8,0,0.8,0.4,0.4,0.2,0.2,0.2,0,1,0,0.8,0.2
560a71c4eb88,5,1,1,0.8,0.6,0,0,0,0,0,0,1,0,1,0.4
5860caa8b811,5,1,1,0,0.8,0.2,0.2,0.4,0,0.4,0,1,0,1,0.4
5cdb0ba3c556,5,1,1,0.4,0.8,0.6,0.6,0.6,0.6,0.6,0,1,0,0.8,0.4
5d40cd729024,5,1,1,0.4,0.4,0,0,0,0,0,0,1,0,1,0.8
6025e1fa5134,5,1,1,0.2,0.6,0.2,0.2,0.2,0,0,0,1,0,0.8,0.4
62e2c124f989,5,0.4,0.8,0,1,0.2,0.2,0.2,0.2,0.2,0,1,0,0.8,0
643832575481,5,1,1,0.4,1,0,0,0,0,0,0,1,0,1,0.2
6980ae227761,5,1,1,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0,1,0,1,0.8
6a1f6758e7d9,5,0.8,1,0.2,0.8,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0.8
760bf1553c4d,5,0.8,1,0.2,1,0,0,0,0,0,0,1,0,0.8,0.2
7cebf4fe20ee,5,1,1,0.4,0.8,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0.8
7e49e32d201b,5,1,1,0,0.4,0.4,0.2,0,0,0,0,1,0,1,0.4
7f45c1d942fc,5,0.8,1,0.2,1,0,0,0,0,0,0,1,0,0.8,0.4
8078cef39704,5,1,0.8,0.2,1,0.2,0.2,0.2,0.2,0,0.2,1,0,1,0.2
80db6dd984d5,5,1,1,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0,1,0,1,0.6
8132df5e7a12,5,1,1,0.4,0.6,0.4,0.4,0.2,0.2,0.4,0,1,0,0.8,0.8
87ecf58e6b0c,5,1,1,0.8,1,0.4,0.4,0,0,0,0,1,0,0.8,0.2
8ca47f754a8b,5,1,1,0.6,0.6,0,0,0,0,0,0,1,0,1,0.8
942b571c83ec,5,1,1,0.6,1,0.4,0.4,0.4,0.4,0.2,0.2,1,0,0.8,0.4
9623f8400850,5,1,1,0.4,0.8,0,0,0,0,0,0,1,0,1,0.4
9bbcadeaa0fa,5,1,1,0.4,0.6,0,0,0,0,0,0,1,0,1,0.8
9bef5c2501ee,5,1,1,0.6,0.4,0,0,0,0,0,0,1,0,1,0.6
a41084c34754,5,0.8,1,0,0.8,0.4,0.2,0.4,0.4,0.2,0,1,0,1,0.2
a69a5c9bdd1d,5,1,1,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0.8
a82568887b73,5,1,1,0.4,0.6,0,0,0,0,0,0,1,0,1,0.4
ad4a3ebaa5bc,5,0,1,0,0.8,0.2,0.2,0.2,0.2,0.2,0,1,0,0.8,0.2
ae184ed23fd2,5,0.8,1,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0,1,0,0.8,0.8
afe283c2f92e,5,1,1,0.6,0.6,0,0,0,0,0,0,1,0,1,0.6
b73f5ed4014d,5,1,1,0.8,0.6,0,0,0,0,0,0,1,0,1,0.4
ba1df2e0ede2,5,0.6,1,0.2,0.4,0.8,0.4,0.2,0.2,0.2,0,1,0,0.8,0.6
baca3b71517c,5,1,1,0.6,1,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0.4
bb4148602b38,5,0.8,1,0.2,0.4,0,0,0,0,0,0,1,0,1,0.6
bbea276f3086,5,0.4,1,0,0.8,0.4,0.2,0.4,0.2,0.2,0,1,0,1,0.6
bbf0a1f63b46,5,0.6,1,0,0.4,0.2,0.2,0.2,0.2,0.2,0.2,1,0,1,0.8
bf53db1c5f96,5,0.8,1,0.4,0.8,0,0,0,0,0,0,1,0,1,0.6
c080e2571f6a,5,1,1,0.4,0.6,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0.2
c1ee1d19767b,5,0.6,1,0.2,0.8,0.6,0.4,0.2,0.2,0.2,0,1,0,0.4,0.2
c7436f1e497c,5,1,1,0.4,0.8,0,0,0,0,0,0,1,0,1,0.6
cd9b0d4387fc,5,1,1,0.8,0.8,0.2,0.2,0.2,0.2,0.2,0,1,0,0.8,0.2
cf3cfeed36df,5,1,1,0.6,0.8,0,0,0,0,0,0,1,0,0.6,0.4
cfa9b6bdca54,5,0,1,0,1,0.6,0.6,0.4,0.4,0.6,0,1,0,1,0.4
d2148c314266,5,1,1,0.8,1,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0
d6342c6ebaac,5,0.8,1,0,0.4,0.2,0.2,0,0,0,0,1,0,1,1
d6ba0fff7766,5,1,1,0.2,0.8,0.6,0.4,0.2,0.2,0.2,0,1,0,0.6,0.2
db6b212b08de,5,0.6,1,0,0.4,0.4,0.2,0.2,0,0,0,1,0,0.8,0.4
e2827a5d260a,5,0.6,1,0,1,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0.2
ed25d91cd910,5,0.8,0.8,0.2,0.8,0.4,0.4,0.2,0.2,0.2,0,1,0,0.8,0.8
ee5e2d9e72a7,5,1,1,0.4,0.8,0,0,0,0,0,0,1,0,1,0.4
f19c50362dd0,5,1,1,0.6,0.6,0,0,0,0,0,0,1,0,1,0.4
f37e85a4c407,5,0.8,1,0,0.8,0.2,0.2,0.4,0.2,0.4,0,1,0,0.8,0.2
f57b85b8c16e,5,0.6,1,0,1,0,0,0,0,0,0,1,0,1,0.4
f59c1123c57c,5,0.8,1,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0.6
fb0061bbb89c,5,1,1,0.8,0.8,0.2,0,0,0,0,0,1,0,0.6,0.4
fc51297a412d,5,0.6,1,0,0.6,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0.4
fcee27de1d97,5,0.8,1,0.2,0.6,0.4,0.4,0.4,0.4,0.4,0,1,0,1,0.6
fd5adc3e3a3a,5,1,1,0.4,0.6,0,0,0,0,0,0,1,0,1,0.4
