case_id,observed_passes,F1,F2,F3,H1,J1,J2,J3,J4,J5,S1,U1,U2,U3,U4
01d3ad510b42,5,0,0,0,0.2,0,0,0,0,0,1,1,0,0.4,0.8
04278d8d1006,5,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0.2
046e6d52bc8e,5,0,0,0,0.2,0,0,0,0,0,1,0.6,0,0.2,0.4
04827fb71269,5,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0.2
088747fa7d04,5,0,0,0,0.4,0,0,0,0,0,1,0.6,0,0.2,0.2
08ad0e53abb1,5,0,0,0,1,0.4,0,0,0,0,1,1,0,0.6,0
0b6eb6e593c5,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.4,0.6
0d34d4795612,5,0,0,0,0.2,0.2,0,0.2,0,0,1,0.8,0,0,0.8
112d585f8fdf,5,0,0,0,0.4,0.4,0.2,0,0,0,1,0.8,0,0.2,0.4
134acf006762,5,0,0,0,0.4,0,0,0,0,0,1,0.8,0,0.4,0.4
14d73efad7ab,5,0,0,0,0.4,0,0,0,0,0,1,0.8,0,0.6,0.4
16ac7d4eada1,5,0,0,0,0.2,0,0,0,0,0,1,0.8,0,0.4,0.4
1bce6dff94b8,5,0,0,0,0.4,0,0,0,0,0,1,0.8,0,0.4,0.4
1dc1f1d9c3bd,5,0,0,0,1,0,0,0,0,0,1,1,0,0.6,0
2065ada1a306,5,0,0,0,0,0.2,0,0,0,0,1,0.6,0,0.2,0.2
21da45ff7758,5,0,0,0,0.6,0,0,0,0,0,1,0.8,0,0.6,0.2
2802cf486896,5,0,0,0,0.4,0,0,0,0,0,1,0.6,0,0.6,0
2c0cb0230b61,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.6,0.4
2c7c7c5def5a,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.2,0.4
2fb56e19e29d,5,0,0,0,0.2,0.2,0,0,0,0,1,0.6,0,0.2,0.4
31b5e609ef46,5,0,0,0,0.4,0.2,0.2,0.2,0.2,0.2,1,0.8,0,0.6,0.2
353095dd4786,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3680e8deae2f,5,0,0,0,0.2,0,0,0,0,0,1,0.6,0,0.4,0.2
37c368833872,5,0,0,0,0,0.2,0.2,0.2,0.2,0.2,1,0.6,0,0.4,0.2
37f61727e427,5,0,0,0,0.2,0,0,0,0,0,1,0.8,0,0.8,0.6
39b63b84df43,5,0,0,0,0,0,0,0,0,0,1,0.6,0,0.2,0.6
3c4f97f6fb20,5,0,0,0,0.2,0,0,0,0,0,1,0.6,0,0.4,0.4
3ff2979ec750,5,0,0,0,0,0,0,0,0,0,1,0.6,0,0.4,0.6
410ecd5b1e40,5,0,0,0,0.4,0.2,0,0,0,0,1,0.6,0,0.2,0.2
43e4036c30f9,5,0,0,0,0.2,0,0,0,0,0,1,0.2,0,0.2,0.2
49067b2ff40c,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.8,0.6
4f06bfffb535,5,0,0,0,0,0,0,0,0,0,1,0.6,0,0.4,0.2
512ffd6391ed,5,0,0,0,0.2,0,0,0,0,0,1,0.8,0,0.4,0.6
5aefd3e8b445,5,0,0,0,0,0,0,0,0,0,1,0.4,0,0.2,0.4
5ccdfc01ba3c,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.2,0.6
5e3faa420f8a,5,0,0,0,0,0,0,0,0,0,1,0.8,0,0.4,0.4
60160115004c,5,0,0,0,0.4,0,0,0,0,0,1,0.6,0,0.6,0.4
6103d326f1f4,5,0,0,0,0.2,0,0,0,0,0,1,0.4,0,0.4,0.2
615c9cf6b7e2,5,0,0,0,0.6,0,0,0,0,0,1,0.6,0,0.4,0
628cb522c3cd,5,0,0,0,0.4,0.2,0,0,0,0,1,1,0,0.4,0.4
64cf0bbee592,2,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0.5
660cc534fc78,5,0,0,0,0.8,0.2,0,0,0,0,0.8,0.8,0,0.2,0.2
684536b07bc7,5,0,0,0,0.6,0,0,0,0,0,1,1,0,1,0.4
69262ac8f823,5,0,0,0,0.8,0,0,0,0,0,1,0.6,0,0.4,0.2
74fb44a7acc9,5,0,0,0,0.2,0.2,0.2,0,0,0,1,0.4,0,0,0.2
774568d1460a,5,0,0,0,0,0,0,0,0,0,1,0.8,0,0.2,0.8
77e8cca793fb,5,0,0,0,0.2,0.2,0,0,0,0,1,0.8,0,0.4,0.6
7803d9a85054,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.4,0.6
7b77237aee10,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.8,0.4
7c3d9a994e6f,5,0,0,0,0.2,0.2,0.2,0,0,0,1,0.4,0,0.2,0.2
7df672f007f4,5,0,0,0,0.4,0.2,0,0,0,0,1,1,0,0,0.8
7e30c8259061,5,0,0,0,0.2,0,0,0,0,0,1,0.4,0,0.4,0.2
7e6b0d276a55,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.4,0.6
81a87f78403c,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
849b8319a75f,5,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0.4
86090feb7a89,5,0,0,0,0.6,0,0,0,0,0,1,1,0,0.8,0.4
8b87a89244e2,5,0,0,0,0.4,0,0,0,0,0,1,0.6,0,0.2,0.2
8cfe1edbd00f,5,0,0,0,0.2,0.2,0.2,0,0,0,1,1,0,0.8,0.2
9002b1ff928f,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90b23b744311,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.2,0.6
91987904b44b,5,0,0,0,0.2,0,0,0,0,0,1,0.4,0,0.4,0
94bc5a480449,5,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0
953cf8b9cd02,5,0,0,0,0,0,0,0,0,0,1,0.4,0,0.4,0.4
9906ba89a54d,5,0,0,0,0,0,0,0,0,0,1,1,0,0.6,1
99d069fa1546,5,0,0,0,0.4,0,0,0,0,0,1,0.8,0,0.8,0.6
9b00fd3c63f5,5,0,0,0,0,0,0,0,0,0,1,0.6,0,0.4,0.6
9d41a00a9c93,5,0,0,0,0.4,0.2,0,0,0,0,1,1,0,0.4,0.6
a0b20e4df225,5,0,0,0,0.2,0,0,0,0,0,1,0.4,0,0.4,0.2
a0def0e8f780,5,0,0,0,0.4,0,0,0,0,0,1,0.6,0.2,0.6,0.4
a4265bd21da8,5,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0.4
a44c5fe6a989,5,0,0,0,0.2,0,0,0,0,0,1,0.6,0,0.4,0.4
a45c83f69ba7,5,0,0,0,0.2,0,0,0,0,0,1,0.6,0,0.4,0.4
b0c69164f2c2,5,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0.2
b71b3713bf7e,5,0,0,0,0.4,0,0,0,0,0,1,0.6,0,0.6,0
b747c4e5f4ac,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
b8c47f333bb5,5,0,0,0,0.4,0,0,0,0,0,1,0.8,0,0.4,0.4
c37b7a2d4ebd,5,0,0,0,0.4,0.2,0.2,0,0,0,1,1,0,0.6,0.6
c3a619319924,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.8,0.6
c6fa35b52649,5,0,0,0,0.2,0,0,0,0,0,1,0.6,0.2,0.4,0.2
c8b99a321068,5,0,0,0,0,0,0,0,0,0,1,0.2,0,0.2,0.2
c9b8620edc48,5,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0.4
c9f7d2e17c2a,5,0,0,0,0.2,0,0,0,0,0,1,0.6,0,0.2,0.6
cb74cfb960dd,5,0,0,0,0.4,0,0,0,0,0,1,0.6,0,0.4,0.2
cd554c210646,3,0,0,0,0.3333333333,0,0,0,0,0,1,1,0,0.6666666667,0.6666666667
d64e8b13bb9b,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
d75b4cbb6504,5,0,0,0,0.6,0,0,0,0,0,1,1,0,0.2,0.4
d8dfa8ae12d2,5,0,0,0,0.2,0.2,0,0,0,0,1,0.8,0,0.4,0.6
d912436f2119,5,0,0,0,0,0,0,0,0,0,1,0.6,0,0.2,0.6
dbc0cd127ca0,5,0,0,0,0.2,0.2,0.2,0,0,0,1,0.4,0,0.2,0.2
e0c26c29dd33,5,0,0,0,0,0,0,0,0,0,1,0.6,0,0.2,0.6
e214388abd4f,5,0,0,0,0.8,0,0,0,0,0,1,0.8,0,0.6,0
e2aa21641a6f,5,0,0,0,0.4,0,0,0,0,0,1,0.6,0,0.4,0
e57564408718,5,0,0,0,0.4,0,0,0,0,0,1,1,0,0.4,0.4
e5cd0826ccfa,5,0,0,0,0.4,0,0,0,0,0,0.8,0.8,0,0.4,0.4
e68e6ab7e5af,5,0,0,0,0.4,0,0,0,0,0,1,0.8,0,0.4,0.4
ec36fab3fcd8,5,0,0,0,0.4,0,0,0,0,0,1,0.8,0,0.8,0.2
ef9277c4054f,5,0,0,0,0.2,0,0,0,0,0,1,0.6,0,0.4,0.4
f3cbf2089cd8,5,0,0,0,0.6,0.2,0.2,0,0,0,1,0.8,0,0.8,0.2
f4f868eb242a,5,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0.2
f59b70069029,5,0,0,0,0.2,0,0,0,0,0,1,0.4,0,0.2,0.2
fa936747b53e,5,0,0,0,0.2,0,0,0,0,0,1,1,0,0.6,0.8
fb78cd234795,5,0,0,0,0.6,0,0,0,0,0,1,0.8,0,0.4,0.6
fc1af8998b89,5,0,0,0,0.4,0,0,0,0,0,1,0.6,0,0.2,0.2
ff5570d33911,4,0,0,0,0.25,0,0,0,0,0,1,1,0,0.75,0.75
