case_id,observed_passes,F1,F2,F3,H1,J1,J2,J3,J4,J5,S1,U1,U2,U3,U4
02de4bafb196,5,1,1,0.8,0.6,0.2,0.2,0.2,0.2,0.2,0,1,0,0.8,0.6
039ed8d2c4fe,5,1,1,0.6,0.4,0.6,0.6,0.4,0.4,0.2,0,1,0,0.8,0.6
043aa1b0134c,5,0.8,1,0,0.4,0,0,0,0,0,0,1,0,1,0.8
04f6f12c9dd1,5,1,1,0.8,0.6,0,0,0,0,0,0,1,0,1,0.6
0686dccb5baa,5,0.6,1,0,0.2,0,0,0,0,0,0,1,0,0.8,1
0688cd1db5ca,5,0.8,1,0.4,0,0,0,0,0,0,0,1,0,1,1
06ed3c1819be,5,0.6,1,0.4,0.8,0.6,0.6,0.6,0.6,0.6,0,1,0,0.8,0.2
084b592e02b3,5,0,1,0,0.4,0,0,0,0,0,0,1,0,1,0.4
0a81f336c8fb,5,0.8,1,0.4,0.6,0.2,0,0,0,0,0,1,0,1,0.4
0adf2d15eb47,5,0.8,1,0.4,0.4,0,0,0,0,0,0,1,0,0.8,0.6
0bf1eff0c800,5,0.6,1,0.2,0.4,0,0,0,0,0,0.2,1,0,1,0.6
0d63f36e3688,5,1,1,0.6,0.6,0,0,0,0,0,0,1,0,1,0.6
0d8f07836540,5,0.2,1,0,0.4,0,0,0,0,0,0,1,0,1,0.6
0f5f4d284afb,5,1,1,0.6,0.8,0,0,0,0,0,0.2,1,0,1,0.4
109ca777fa12,5,1,1,0.4,0.2,0,0,0,0,0,0,1,0,1,0.8
14ab57dc9ec8,5,0.2,1,0,0.2,0.2,0,0,0,0,0,1,0,0.8,0.8
1921370ef769,5,1,0.8,0,0.8,0,0,0,0,0,0,1,0,1,0.4
1b3433cd4628,5,0.8,1,0,0.6,0,0,0,0,0,0,1,0,0.8,0.6
1c36cac6bccc,5,0.4,1,0.2,0.8,0.2,0,0,0,0,0,1,0,1,0.2
1c99d4b10868,5,1,1,0.6,0.8,0.2,0.2,0.2,0.2,0.2,0,1,0,0.6,0.2
1d3a4f93114f,5,0.6,1,0.6,1,0,0,0,0,0,0,1,0,1,0
1e85a8697898,5,0.4,1,0.2,0.6,0,0,0,0,0,0,1,0,1,0.4
1fb5bb36812c,5,1,0.8,0,0.6,0,0,0,0,0,0,1,0,1,0.4
1fb64399ccd8,5,1,1,0.2,0.8,1,1,1,1,1,0,1,0,0.6,0.4
209fa336c13a,5,1,1,1,0.2,0,0,0,0,0,0,1,0,0.8,0.8
23161751e203,5,1,1,0.4,0.4,0.2,0.2,0,0,0,0,1,0,0.8,0.6
2440338f40ce,5,1,1,0,0.2,0,0,0,0,0,0,1,0,1,0.8
25b03ee6601d,5,0.8,1,0.2,0.4,0,0,0,0,0,0,1,0,1,0.6
2a0d8f20ab72,5,0.8,1,0.4,0.2,0,0,0,0,0,0,1,0,0.8,0.8
2a27a571e7fc,5,1,1,0.2,0.4,0,0,0,0,0,0,1,0,1,0.6
2aa0f685bafa,5,1,1,0,0.6,0.2,0.2,0.2,0.2,0.2,0,1,0,0.8,0.6
2cabf84d8c88,5,1,1,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0,1,0,0.8,0.6
2e9adc656f2b,5,0.8,1,0,0.8,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0.8
30b481a7c8e2,5,1,1,0.6,0,0,0,0,0,0,0,1,0,1,1
31a19e00325e,5,0.6,1,0,0.8,0.4,0.2,0.4,0.4,0.2,0,1,0,0.8,0.4
31a2fec2be77,5,1,1,0.4,0.6,0.6,0.6,0,0,0.4,0,1,0,1,0.4
3257ed9e00aa,5,1,1,0.6,0,0,0,0,0,0,0,1,0,1,1
362055c7a5a9,5,0.6,1,0,0.4,0,0,0,0,0,0,1,0,1,0.8
3885f7d6d282,5,1,1,1,0.6,0,0,0,0,0,0,1,0,1,0.6
3a2203603d61,5,0.4,1,0.2,0.4,0.2,0,0.2,0,0,0,0.6,0,0.8,0.6
3cb443c08221,5,1,0.8,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0,1,0,0.6,0.6
408fd2a91abd,5,0.6,1,0.2,0.6,0,0,0,0,0,0,1,0,1,0.4
430464d25f28,5,1,1,0.8,0.8,0,0,0,0,0,0,1,0,0.8,0.2
43748fb30948,5,0.8,1,0.2,0.8,0,0,0,0,0,0,1,0,1,0.2
4463568f621e,5,0.8,1,0.2,0.4,0,0,0,0,0,0,1,0,0.8,1
447d40f8ace5,5,1,1,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0,1,0,1,0.8
4707c2930bd5,5,0.2,1,0,0.2,0,0,0,0,0,0,1,0,1,0.8
472b9b93ad9f,5,1,1,0.8,1,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0.6
4bb8afe35408,5,1,1,0.4,0,0,0,0,0,0,0,1,0,1,1
4fdfdbf582cb,5,1,1,0.4,0.2,0,0,0,0,0,0,1,0,1,0.8
4ff4163fd5c7,5,0.8,1,0.6,0.4,0,0,0,0,0,0,1,0,0.8,0.8
5341a4972339,5,0.2,1,0,1,0.2,0.2,0,0,0.2,0,1,0,1,0.2
5478288b68f4,5,1,1,0.4,0.2,0,0,0,0,0,0,1,0,0.8,0.8
55157f0433cc,5,1,0.8,0,0.8,0.4,0.4,0.2,0.2,0.2,0,1,0,0.8,0.2
560a71c4eb88,5,1,1,0.8,0.6,0,0,0,0,0,0,1,0,1,0.4
57d543f72b94,5,0.6,1,0.6,0,0,0,0,0,0,0,1,0,1,1
5860caa8b811,5,1,1,0,0.8,0.2,0.2,0.4,0,0.4,0,1,0,1,0.4
5932b68b6a3b,5,1,1,0.8,0,0,0,0,0,0,0,1,0,1,1
5cdb0ba3c556,5,1,1,0.4,0.8,0.6,0.6,0.6,0.6,0.6,0,1,0,0.8,0.4
5d40cd729024,5,1,1,0.4,0.4,0,0,0,0,0,0,1,0,1,0.8
5e17e32670ea,5,0.8,1,0.4,0.4,0,0,0,0,0,0,1,0,0.6,0.8
5eb14f8b3cdc,5,1,1,0.2,0,0.2,0.2,0,0,0,0.2,1,0,1,0.8
5ebba28b6c1b,5,0.8,1,0.2,0.8,0,0,0,0,0,0,1,0,1,0.4
6025e1fa5134,5,1,1,0.2,0.6,0.2,0.2,0.2,0,0,0,1,0,0.8,0.4
62126c371107,5,1,1,0,0.4,0.2,0,0,0,0,0,1,0,0.6,0.6
624266e9f779,5,1,1,0.8,0.8,0,0,0,0,0,0,1,0,1,0.6
62e2c124f989,5,0.4,0.8,0,1,0.2,0.2,0.2,0.2,0.2,0,1,0,0.8,0
643832575481,5,1,1,0.4,1,0,0,0,0,0,0,1,0,1,0.2
64cf0bbee592,3,0.6666666667,0.6666666667,0,0.3333333333,0,0,0,0,0,0,1,0,0.6666666667,0.6666666667
65008302b1e5,5,0.6,1,0.4,0.4,0,0,0,0,0,0,1,0,1,0.6
66604d92cdf6,5,1,1,0.4,0.4,0.2,0.2,0.2,0,0.2,0,1,0,0.8,0.6
688178e946ff,5,0.8,1,0.4,0.4,0,0,0,0,0,0,1,0,1,0.6
6980ae227761,5,1,1,0.6,0.6,0.6,0.4,0.4,0.4,0.4,0,1,0,1,0.8
699afdbeba4d,5,0.6,1,0,0.4,0.2,0.2,0,0,0,0,1,0,1,0.6
6a1f6758e7d9,5,0.8,1,0.2,0.8,0.2,0.2,0.2,0.2,0.2,0,1,0,1,0.8
6bdd73210307,5,1,1,0.6,0.6,0.2,0.2,0,0,0,0,1,0,0.8,0.2
6d850c9bb9a8,5,1,1,0.6,0.2,0,0,0,0,0,0,1,0,0.8,0.6
6df425a01e7e,5,0.8,1,0,1,0,0,0,0,0,0,1,0,1,0.2
6df59e956a95,5,0.8,1,0,0.4,0.2,0.2,0.2,0.2,0.2,0,1,0,0.8,0.6
6e3fc24135dd,5,1,1,0.6,0,0,0,0,0,0,0,1,0,1,1
6e65a2b06b3e,5,1,1,0.6,0.2,0,0,0,0,0,0,1,0,1,0.8
6ebaa814e4ad,5,0.4,1,0,0.6,0.2,0,0.2,0,0,0,0.6,0,0.8,0.2
70d66563e84a,5,0.8,1,0.2,0.6,0,0,0,0,0,0,1,0,1,0.8
72eed7e29e02,5,1,0.8,0,0.2,0,0,0,0,0,0,1,0,1,0.8
