stratum_type,stratum,antecedent,consequent,antecedent_active_cases,case_support_confidence,mean_consequent_rate_when_active,mean_rate_gap_when_active,cases_with_a_rate_gt_b_rate,cases_with_a_rate_le_b_rate
verdict,BLOCK,U4,U1,194,1.0,0.9938144329896907,0.0,0,194
ground_truth,ROGUE,U4,U1,194,1.0,0.990721649484536,0.0,0,194
verdict,BLOCK,H1,U1,184,1.0,0.9934782608695653,0.0,0,184
ground_truth,ROGUE,H1,U1,184,1.0,0.9902173913043477,0.0,0,184
verdict,BLOCK,F3,F2,144,1.0,0.9899305555555556,0.0,0,144
verdict,BLOCK,F3,U1,144,1.0,0.9944444444444444,0.0,0,144
ground_truth,ROGUE,F3,F2,143,1.0,0.9818181818181818,0.0,0,143
ground_truth,ROGUE,F3,U1,143,1.0,0.993006993006993,0.0,0,143
quadrant,VALIDATED_BLOCK,U4,U1,123,1.0,0.9902439024390244,0.0,0,123
quadrant,VALIDATED_BLOCK,H1,U1,111,1.0,0.9891891891891893,0.0,0,111
verdict,APPROVE,U4,S1,91,1.0,0.9956043956043955,0.0,0,91
verdict,APPROVE,U4,U1,91,1.0,0.7087912087912088,0.0,0,91
quadrant,VALIDATED_BLOCK,F3,F2,89,1.0,0.9904494382022473,0.0,0,89
quadrant,VALIDATED_BLOCK,F3,U1,89,1.0,0.9910112359550562,0.0,0,89
ground_truth,CLEAN,U4,U1,88,1.0,0.7068181818181818,0.0,0,88
verdict,APPROVE,U3,S1,87,1.0,0.9954022988505746,0.0,0,87
verdict,APPROVE,U3,U1,87,1.0,0.735632183908046,0.0,0,87
ground_truth,CLEAN,U3,U1,86,1.0,0.7348837209302325,0.0,0,86
quadrant,FLAWED_APPROVAL,F2,U1,73,1.0,1.0,0.0,0,73
quadrant,FLAWED_APPROVAL,H1,U1,73,1.0,1.0,0.0,0,73
quadrant,FLAWED_APPROVAL,U3,U1,73,1.0,1.0,0.0,0,73
verdict,BLOCK,J1,F2,72,1.0,0.9833333333333335,0.0,0,72
verdict,BLOCK,J1,U1,72,1.0,0.9888888888888889,0.0,0,72
ground_truth,ROGUE,J1,F2,71,1.0,0.980281690140845,0.0,0,71
ground_truth,ROGUE,J1,U1,71,1.0,0.9859154929577465,0.0,0,71
quadrant,FLAWED_APPROVAL,F1,U1,71,1.0,1.0,0.0,0,71
quadrant,FLAWED_APPROVAL,U4,F2,71,1.0,0.9887323943661972,0.0,0,71
quadrant,FLAWED_APPROVAL,U4,U1,71,1.0,1.0,0.0,0,71
quadrant,FLAWED_APPROVAL,U4,U3,71,1.0,0.895774647887324,0.0,0,71
quadrant,FLAWED_BLOCK,U4,S1,68,1.0,0.9970588235294118,0.0,0,68
quadrant,FLAWED_BLOCK,U4,U1,68,1.0,0.663235294117647,0.0,0,68
quadrant,FLAWED_BLOCK,U3,S1,65,1.0,0.9969230769230769,0.0,0,65
quadrant,FLAWED_BLOCK,U3,U1,65,1.0,0.6923076923076923,0.0,0,65
verdict,BLOCK,J2,F2,62,1.0,0.9806451612903225,0.0,0,62
verdict,BLOCK,J2,J1,62,1.0,0.3233870967741935,0.0,0,62
verdict,BLOCK,J2,U1,62,1.0,1.0,0.0,0,62
ground_truth,ROGUE,J2,F2,62,1.0,0.9774193548387096,0.0,0,62
ground_truth,ROGUE,J2,J1,62,1.0,0.32258064516129026,0.0,0,62
ground_truth,ROGUE,J2,U1,62,1.0,0.996774193548387,0.0,0,62
quadrant,FLAWED_APPROVAL,F3,F1,55,1.0,0.9418181818181817,0.0,0,55
quadrant,FLAWED_APPROVAL,F3,F2,55,1.0,0.989090909090909,0.0,0,55
quadrant,FLAWED_APPROVAL,F3,U1,55,1.0,1.0,0.0,0,55
verdict,BLOCK,J3,F2,54,1.0,0.9777777777777777,0.0,0,54
verdict,BLOCK,J3,U1,54,1.0,0.9851851851851853,0.0,0,54
ground_truth,ROGUE,J3,F2,54,1.0,0.9777777777777777,0.0,0,54
ground_truth,ROGUE,J3,U1,54,1.0,0.9851851851851853,0.0,0,54
quadrant,FLAWED_BLOCK,H1,U1,52,1.0,0.7230769230769231,0.0,0,52
quadrant,FLAWED_APPROVAL,J1,F2,51,1.0,0.9803921568627451,0.0,0,51
quadrant,FLAWED_APPROVAL,J1,U1,51,1.0,1.0,0.0,0,51
verdict,BLOCK,J5,F2,50,1.0,0.98,0.0,0,50
verdict,BLOCK,J5,U1,50,1.0,1.0,0.0,0,50
ground_truth,ROGUE,J5,F2,50,1.0,0.98,0.0,0,50
ground_truth,ROGUE,J5,U1,50,1.0,1.0,0.0,0,50
quadrant,FLAWED_APPROVAL,J2,F2,49,1.0,0.9795918367346939,0.0,0,49
quadrant,FLAWED_APPROVAL,J2,J1,49,1.0,0.3551020408163265,0.0,0,49
quadrant,FLAWED_APPROVAL,J2,U1,49,1.0,1.0,0.0,0,49
verdict,BLOCK,J4,F2,48,1.0,0.975,0.0,0,48
verdict,BLOCK,J4,J1,48,1.0,0.33749999999999997,0.0,0,48
verdict,BLOCK,J4,J3,48,1.0,0.2833333333333334,0.0,0,48
verdict,BLOCK,J4,U1,48,1.0,1.0,0.0,0,48
ground_truth,ROGUE,J4,F2,48,1.0,0.975,0.0,0,48
ground_truth,ROGUE,J4,J1,48,1.0,0.33749999999999997,0.0,0,48
ground_truth,ROGUE,J4,J3,48,1.0,0.2833333333333334,0.0,0,48
ground_truth,ROGUE,J4,U1,48,1.0,1.0,0.0,0,48
quadrant,FLAWED_APPROVAL,J3,F2,44,1.0,0.9772727272727273,0.0,0,44
quadrant,FLAWED_APPROVAL,J3,U1,44,1.0,1.0,0.0,0,44
quadrant,FLAWED_APPROVAL,J5,F2,42,1.0,0.980952380952381,0.0,0,42
quadrant,FLAWED_APPROVAL,J5,U1,42,1.0,1.0,0.0,0,42
quadrant,FLAWED_APPROVAL,J4,F2,41,1.0,0.975609756097561,0.0,0,41
quadrant,FLAWED_APPROVAL,J4,J1,41,1.0,0.36097560975609755,0.0,0,41
quadrant,FLAWED_APPROVAL,J4,J3,41,1.0,0.29756097560975614,0.0,0,41
quadrant,FLAWED_APPROVAL,J4,U1,41,1.0,1.0,0.0,0,41
quadrant,VALIDATED_APPROVAL,H1,S1,25,1.0,0.992,0.0,0,25
quadrant,VALIDATED_APPROVAL,U1,S1,25,1.0,0.992,0.0,0,25
quadrant,VALIDATED_APPROVAL,U4,S1,23,1.0,0.991304347826087,0.0,0,23
quadrant,VALIDATED_APPROVAL,U4,U1,23,1.0,0.8434782608695655,0.0,0,23
quadrant,VALIDATED_APPROVAL,U3,S1,22,1.0,0.990909090909091,0.0,0,22
quadrant,VALIDATED_APPROVAL,U3,U1,22,1.0,0.8636363636363638,0.0,0,22
ground_truth,CLEAN,J1,U1,21,1.0,0.7714285714285716,0.0,0,21
quadrant,VALIDATED_BLOCK,J1,F1,21,1.0,0.6833333333333333,0.0,0,21
quadrant,VALIDATED_BLOCK,J1,F2,21,1.0,0.9904761904761905,0.0,0,21
quadrant,VALIDATED_BLOCK,J1,U1,21,1.0,0.9619047619047618,0.0,0,21
quadrant,VALIDATED_BLOCK,J1,U3,21,1.0,0.8571428571428571,0.0,0,21
quadrant,VALIDATED_BLOCK,J1,U4,21,1.0,0.5190476190476191,0.0,0,21
verdict,APPROVE,J1,S1,20,1.0,0.99,0.0,0,20
verdict,APPROVE,J1,U1,20,1.0,0.76,0.0,0,20
verdict,BLOCK,S1,F1,13,1.0,0.8653846153846154,0.0,0,13
verdict,BLOCK,S1,F2,13,1.0,0.9692307692307692,0.0,0,13
verdict,BLOCK,S1,U1,13,1.0,0.9846153846153847,0.0,0,13
verdict,BLOCK,S1,U3,13,1.0,0.9076923076923079,0.0,0,13
verdict,BLOCK,S1,U4,13,1.0,0.6307692307692309,0.0,0,13
quadrant,VALIDATED_BLOCK,J2,F1,13,1.0,0.75,0.0,0,13
quadrant,VALIDATED_BLOCK,J2,F2,13,1.0,0.9846153846153847,0.0,0,13
quadrant,VALIDATED_BLOCK,J2,J1,13,1.0,0.20384615384615387,0.0,0,13
quadrant,VALIDATED_BLOCK,J2,U1,13,1.0,1.0,0.0,0,13
quadrant,VALIDATED_BLOCK,J2,U3,13,1.0,0.8615384615384616,0.0,0,13
quadrant,VALIDATED_BLOCK,J2,U4,13,1.0,0.5153846153846154,0.0,0,13
quadrant,FLAWED_BLOCK,J1,S1,11,1.0,1.0,0.0,0,11
quadrant,FLAWED_BLOCK,J1,U1,11,1.0,0.7454545454545454,0.0,0,11
quadrant,VALIDATED_BLOCK,J3,F1,10,1.0,0.7,0.0,0,10
quadrant,VALIDATED_BLOCK,J3,F2,10,1.0,0.9800000000000001,0.0,0,10
quadrant,VALIDATED_BLOCK,J3,H1,10,1.0,0.44000000000000006,0.0,0,10
quadrant,VALIDATED_BLOCK,J3,J1,10,1.0,0.2,0.0,0,10
quadrant,VALIDATED_BLOCK,J3,U1,10,1.0,0.9199999999999999,0.0,0,10
quadrant,VALIDATED_BLOCK,J3,U3,10,1.0,0.82,0.0,0,10
quadrant,VALIDATED_BLOCK,J3,U4,10,1.0,0.5399999999999999,0.0,0,10
quadrant,VALIDATED_BLOCK,S1,F1,10,1.0,0.865,0.0,0,10
quadrant,VALIDATED_BLOCK,S1,F2,10,1.0,0.9800000000000001,0.0,0,10
quadrant,VALIDATED_BLOCK,S1,U1,10,1.0,0.9800000000000001,0.0,0,10
quadrant,VALIDATED_BLOCK,S1,U3,10,1.0,0.9,0.0,0,10
quadrant,VALIDATED_BLOCK,S1,U4,10,1.0,0.6799999999999999,0.0,0,10
verdict,APPROVE,J2,J1,9,1.0,0.2222222222222222,0.0,0,9
verdict,APPROVE,J2,S1,9,1.0,1.0,0.0,0,9
verdict,APPROVE,J2,U1,9,1.0,0.6888888888888889,0.0,0,9
verdict,APPROVE,J2,U4,9,1.0,0.2666666666666667,0.0,0,9
ground_truth,CLEAN,J2,J1,9,1.0,0.2222222222222222,0.0,0,9
ground_truth,CLEAN,J2,S1,9,1.0,1.0,0.0,0,9
ground_truth,CLEAN,J2,U1,9,1.0,0.6888888888888889,0.0,0,9
ground_truth,CLEAN,J2,U4,9,1.0,0.2666666666666667,0.0,0,9
quadrant,VALIDATED_APPROVAL,J1,H1,9,1.0,0.3777777777777778,0.0,0,9
quadrant,VALIDATED_APPROVAL,J1,S1,9,1.0,0.9777777777777779,0.0,0,9
quadrant,VALIDATED_APPROVAL,J1,U1,9,1.0,0.7777777777777778,0.0,0,9
quadrant,VALIDATED_APPROVAL,J1,U4,9,1.0,0.46666666666666656,0.0,0,9
quadrant,VALIDATED_BLOCK,J5,F1,8,1.0,0.7,0.0,0,8
quadrant,VALIDATED_BLOCK,J5,F2,8,1.0,0.975,0.0,0,8
quadrant,VALIDATED_BLOCK,J5,H1,8,1.0,0.47500000000000003,0.0,0,8
quadrant,VALIDATED_BLOCK,J5,J1,8,1.0,0.2,0.0,0,8
quadrant,VALIDATED_BLOCK,J5,J2,8,1.0,0.2,0.0,0,8
quadrant,VALIDATED_BLOCK,J5,U1,8,1.0,1.0,0.0,0,8
quadrant,VALIDATED_BLOCK,J5,U3,8,1.0,0.8250000000000001,0.0,0,8
quadrant,VALIDATED_BLOCK,J5,U4,8,1.0,0.525,0.0,0,8
quadrant,VALIDATED_BLOCK,J4,F1,7,1.0,0.7428571428571429,0.0,0,7
quadrant,VALIDATED_BLOCK,J4,F2,7,1.0,0.9714285714285714,0.0,0,7
quadrant,VALIDATED_BLOCK,J4,H1,7,1.0,0.42857142857142855,0.0,0,7
quadrant,VALIDATED_BLOCK,J4,J1,7,1.0,0.19999999999999998,0.0,0,7
quadrant,VALIDATED_BLOCK,J4,J3,7,1.0,0.19999999999999998,0.0,0,7
quadrant,VALIDATED_BLOCK,J4,U1,7,1.0,1.0,0.0,0,7
quadrant,VALIDATED_BLOCK,J4,U3,7,1.0,0.8285714285714285,0.0,0,7
quadrant,VALIDATED_BLOCK,J4,U4,7,1.0,0.5714285714285714,0.0,0,7
quadrant,FLAWED_BLOCK,J2,J1,6,1.0,0.2333333333333333,0.0,0,6
