stratum_type,stratum,rule_a,rule_b,cases,active_cases_a,active_cases_b,both_active_cases,mean_a,mean_b,prevalence_gap,pearson,spearman,cosine,mae,rmse,max_abs_diff,exact_same_cases,exact_same_rate,within_20pp_cases,within_20pp_rate,within_40pp_cases,within_40pp_rate,both_variable_cases,profile_score
verdict,APPROVE,J4,J5,104,2,2,2,0.0038461538461538464,0.0038461538461538464,0.0,1.0,1.0,0.9999999999999998,0.0,0.0,0.0,104,1.0,104,1.0,104,1.0,2,1.0
ground_truth,CLEAN,J4,J5,99,2,2,2,0.00404040404040404,0.00404040404040404,0.0,1.0,1.0,0.9999999999999998,0.0,0.0,0.0,99,1.0,99,1.0,99,1.0,2,1.0
quadrant,FLAWED_BLOCK,J3,J4,78,2,2,2,0.005128205128205128,0.005128205128205128,0.0,1.0,1.0,0.9999999999999998,0.0,0.0,0.0,78,1.0,78,1.0,78,1.0,2,1.0
quadrant,FLAWED_BLOCK,J3,J5,78,2,2,2,0.005128205128205128,0.005128205128205128,0.0,1.0,1.0,0.9999999999999998,0.0,0.0,0.0,78,1.0,78,1.0,78,1.0,2,1.0
quadrant,FLAWED_BLOCK,J4,J5,78,2,2,2,0.005128205128205128,0.005128205128205128,0.0,1.0,1.0,0.9999999999999998,0.0,0.0,0.0,78,1.0,78,1.0,78,1.0,2,1.0
ground_truth,CLEAN,F2,F3,99,1,1,1,0.010101010101010102,0.00202020202020202,0.00808080808080808,1.0,0.9999999999999998,1.0,0.00808080808080808,0.08040302522073697,0.8,98,0.98989898989899,98,0.98989898989899,98,0.98989898989899,0,0.9919191919191919
verdict,BLOCK,J3,J4,198,54,48,48,0.07575757575757576,0.06666666666666667,0.009090909090909094,0.9490708035256747,0.9280682508382112,0.9585225256084311,0.009090909090909092,0.047140452079103175,0.4,190,0.9595959595959596,197,0.9949494949494949,198,1.0,47,0.9404428871299868
ground_truth,ROGUE,J3,J4,197,54,48,48,0.07614213197969544,0.06700507614213198,0.009137055837563454,0.9490118410291692,0.9279648207458563,0.9585225256084311,0.009137055837563452,0.047259946445918306,0.4,189,0.9593908629441624,196,0.9949238578680203,197,1.0,47,0.9403406668471769
quadrant,FLAWED_APPROVAL,J3,J4,73,44,41,41,0.17808219178082188,0.16164383561643833,0.01643835616438355,0.9434060983634002,0.9163877578261672,0.9676172723968441,0.016438356164383564,0.06620847108818945,0.4,68,0.9315068493150684,72,0.9863013698630136,73,1.0,40,0.927898052910851
ground_truth,ROGUE,J1,J2,197,71,62,62,0.11065989847715735,0.09137055837563451,0.019289340101522834,0.9394925315662473,0.9240552299439867,0.954445491598826,0.019289340101522844,0.06529899992237971,0.4,179,0.9086294416243654,196,0.9949238578680203,197,1.0,61,0.9213703406020253
verdict,BLOCK,J1,J2,198,72,62,62,0.11136363636363635,0.09116161616161615,0.020202020202020193,0.9368537362316935,0.9178997047390393,0.9524067021958429,0.020202020202020204,0.06666666666666668,0.4,179,0.9040404040404041,197,0.9949494949494949,198,1.0,61,0.9179273981260028
quadrant,FLAWED_APPROVAL,J1,J2,73,51,49,49,0.24383561643835616,0.21095890410958903,0.03287671232876713,0.9331384159285028,0.944488854069338,0.9682345862575938,0.03287671232876712,0.08758557459257962,0.4,62,0.8493150684931506,72,0.9863013698630136,73,1.0,48,0.9024598926651
verdict,BLOCK,J3,J5,198,54,50,48,0.07575757575757576,0.06868686868686869,0.007070707070707075,0.9098862537363753,0.9015069451624099,0.9274777915203366,0.017171717171717175,0.06195469181897235,0.4,182,0.9191919191919192,197,0.9949494949494949,198,1.0,47,0.894261944328781
