rule,cases,active_cases,active_case_rate,mean_fire_rate,mean_active_fire_rate
F1,99,2,0.020202020202020204,0.0060606060606060615,0.30000000000000004
F2,99,1,0.010101010101010102,0.010101010101010102,1.0
F3,99,1,0.010101010101010102,0.00202020202020202,0.2
H1,99,75,0.7575757575757576,0.2888888888888889,0.38133333333333336
J1,99,21,0.21212121212121213,0.04646464646464647,0.21904761904761907
J2,99,9,0.09090909090909091,0.01818181818181818,0.2
J3,99,3,0.030303030303030304,0.0060606060606060615,0.20000000000000004
J4,99,2,0.020202020202020204,0.00404040404040404,0.2
J5,99,2,0.020202020202020204,0.00404040404040404,0.2
S1,99,98,0.98989898989899,0.9838383838383838,0.9938775510204082
U1,99,97,0.9797979797979798,0.6888888888888889,0.7030927835051547
U2,99,2,0.020202020202020204,0.00404040404040404,0.2
U3,99,86,0.8686868686868687,0.37777777777777777,0.43488372093023253
U4,99,88,0.8888888888888888,0.3656565656565657,0.4113636363636364
