rule,cases,active_cases,active_case_rate,mean_fire_rate,mean_active_fire_rate
F1,197,192,0.9746192893401016,0.8091370558375635,0.8302083333333333
F2,197,196,0.9949238578680203,0.9736040609137057,0.9785714285714286
F3,197,143,0.7258883248730964,0.3218274111675127,0.4433566433566433
H1,197,184,0.934010152284264,0.49441624365482234,0.5293478260869565
J1,197,71,0.3604060913705584,0.11065989847715736,0.3070422535211268
J2,197,62,0.3147208121827411,0.09137055837563451,0.2903225806451613
J3,197,54,0.27411167512690354,0.07614213197969544,0.2777777777777778
J4,197,48,0.2436548223350254,0.06700507614213198,0.275
J5,197,50,0.25380710659898476,0.06903553299492386,0.272
S1,197,17,0.08629441624365482,0.027411167512690356,0.31764705882352945
U1,197,197,1.0,0.9908629441624365,0.9908629441624365
U2,197,0,0.0,0.0,0.0
U3,197,197,1.0,0.9065989847715735,0.9065989847715735
U4,197,194,0.9847715736040609,0.5898477157360407,0.5989690721649484
