rule,cases,active_cases,active_case_rate,mean_fire_rate,mean_active_fire_rate
F1,73,71,0.9726027397260274,0.8684931506849315,0.8929577464788733
F2,73,73,1.0,0.9863013698630136,0.9863013698630136
F3,73,55,0.7534246575342466,0.34520547945205476,0.4581818181818182
H1,73,73,1.0,0.6958904109589041,0.6958904109589041
J1,73,51,0.6986301369863014,0.24383561643835616,0.3490196078431373
J2,73,49,0.6712328767123288,0.21095890410958903,0.3142857142857143
J3,73,44,0.6027397260273972,0.1780821917808219,0.29545454545454547
J4,73,41,0.5616438356164384,0.16164383561643836,0.2878048780487805
J5,73,42,0.5753424657534246,0.1643835616438356,0.2857142857142857
S1,73,3,0.0410958904109589,0.008219178082191782,0.20000000000000004
U1,73,73,1.0,1.0,1.0
U2,73,0,0.0,0.0,0.0
U3,73,73,1.0,0.8958904109589042,0.8958904109589042
U4,73,71,0.9726027397260274,0.4712328767123288,0.4845070422535211
