rule,cases,active_cases,active_case_rate,mean_fire_rate,mean_active_fire_rate
F1,78,0,0.0,0.0,0.0
F2,78,0,0.0,0.0,0.0
F3,78,0,0.0,0.0,0.0
H1,78,52,0.6666666666666666,0.22799145299145301,0.3419871794871795
J1,78,11,0.14102564102564102,0.03333333333333333,0.23636363636363636
J2,78,6,0.07692307692307693,0.015384615384615387,0.20000000000000004
J3,78,2,0.02564102564102564,0.005128205128205128,0.2
J4,78,2,0.02564102564102564,0.005128205128205128,0.2
J5,78,2,0.02564102564102564,0.005128205128205128,0.2
S1,78,77,0.9871794871794872,0.9846153846153846,0.9974025974025974
U1,78,76,0.9743589743589743,0.6448717948717948,0.6618421052631579
U2,78,2,0.02564102564102564,0.005128205128205128,0.2
U3,78,65,0.8333333333333334,0.35662393162393163,0.42794871794871797
U4,78,68,0.8717948717948718,0.36047008547008547,0.4134803921568628
