rule,cases,active_cases,active_case_rate,mean_fire_rate,mean_active_fire_rate
F1,125,123,0.984,0.7865333333333333,0.7993224932249322
F2,125,124,0.992,0.9777333333333333,0.9856182795698925
F3,125,89,0.712,0.3112,0.4370786516853932
H1,125,111,0.888,0.3838666666666667,0.43228228228228227
J1,125,21,0.168,0.034,0.20238095238095238
J2,125,13,0.104,0.021200000000000004,0.20384615384615387
J3,125,10,0.08,0.016,0.2
J4,125,7,0.056,0.011200000000000002,0.2
J5,125,8,0.064,0.0128,0.2
S1,125,10,0.08,0.019600000000000003,0.24500000000000002
U1,125,125,1.0,0.9904,0.9904
U2,125,0,0.0,0.0,0.0
U3,125,125,1.0,0.9249333333333334,0.9249333333333334
U4,125,123,0.984,0.6565333333333333,0.6672086720867209
