rule,cases,active_cases,active_case_rate,mean_fire_rate,mean_active_fire_rate
F1,104,0,0.0,0.0,0.0
F2,104,0,0.0,0.0,0.0
F3,104,0,0.0,0.0,0.0
H1,104,77,0.7403846153846154,0.28445512820512825,0.3841991341991342
J1,104,20,0.19230769230769232,0.04230769230769231,0.22000000000000003
J2,104,9,0.08653846153846154,0.01730769230769231,0.2
J3,104,3,0.028846153846153848,0.00576923076923077,0.20000000000000004
J4,104,2,0.019230769230769232,0.0038461538461538464,0.2
J5,104,2,0.019230769230769232,0.0038461538461538464,0.2
S1,104,103,0.9903846153846154,0.9865384615384615,0.9961165048543689
U1,104,101,0.9711538461538461,0.6875,0.7079207920792079
U2,104,2,0.019230769230769232,0.0038461538461538464,0.2
U3,104,87,0.8365384615384616,0.36169871794871794,0.43237547892720307
U4,104,91,0.875,0.3703525641025641,0.42326007326007326
