rule,cases,active_cases,active_case_rate,mean_fire_rate,mean_active_fire_rate
F1,198,194,0.9797979797979798,0.8167508417508418,0.8335910652920963
F2,198,197,0.9949494949494949,0.9808922558922559,0.9858714043993232
F3,198,144,0.7272727272727273,0.32373737373737377,0.445138888888889
H1,198,184,0.9292929292929293,0.4989057239057239,0.5368659420289855
J1,198,72,0.36363636363636365,0.11136363636363637,0.30625
J2,198,62,0.31313131313131315,0.09116161616161617,0.2911290322580645
J3,198,54,0.2727272727272727,0.07575757575757576,0.2777777777777778
J4,198,48,0.24242424242424243,0.06666666666666667,0.275
J5,198,50,0.25252525252525254,0.06868686868686869,0.272
S1,198,13,0.06565656565656566,0.015404040404040406,0.23461538461538464
U1,198,198,1.0,0.993939393939394,0.993939393939394
U2,198,0,0.0,0.0,0.0
U3,198,198,1.0,0.9142255892255893,0.9142255892255893
U4,198,194,0.9797979797979798,0.5882154882154882,0.6003436426116838
