antecedent,consequent,antecedent_active_cases,case_support_confidence,mean_consequent_rate_when_active,mean_rate_gap_when_active,cases_with_a_rate_gt_b_rate,cases_with_a_rate_le_b_rate
U4,U1,88,1.0,0.7068181818181818,0.0,0,88
U3,U1,86,1.0,0.7348837209302325,0.0,0,86
J1,U1,21,1.0,0.7714285714285716,0.0,0,21
J2,J1,9,1.0,0.2222222222222222,0.0,0,9
J2,S1,9,1.0,1.0,0.0,0,9
J2,U1,9,1.0,0.6888888888888889,0.0,0,9
J2,U4,9,1.0,0.2666666666666667,0.0,0,9
J3,J1,3,1.0,0.20000000000000004,0.0,0,3
J3,S1,3,1.0,1.0,0.0,0,3
J3,U1,3,1.0,0.7333333333333334,0.0,0,3
J3,U4,3,1.0,0.39999999999999997,0.0,0,3
F1,H1,2,1.0,0.6000000000000001,0.0,0,2
F1,U1,2,1.0,1.0,0.0,0,2
F1,U3,2,1.0,0.9,0.0,0,2
J4,J1,2,1.0,0.2,0.0,0,2
J4,J2,2,1.0,0.2,0.0,0,2
J4,J3,2,1.0,0.2,0.0,0,2
J4,J5,2,1.0,0.2,0.0,0,2
J4,S1,2,1.0,1.0,0.0,0,2
J4,U1,2,1.0,0.7,0.0,0,2
J4,U3,2,1.0,0.5,0.0,0,2
J4,U4,2,1.0,0.2,0.0,0,2
J5,J1,2,1.0,0.2,0.0,0,2
J5,J2,2,1.0,0.2,0.0,0,2
J5,J3,2,1.0,0.2,0.0,0,2
J5,J4,2,1.0,0.2,0.0,0,2
J5,S1,2,1.0,1.0,0.0,0,2
J5,U1,2,1.0,0.7,0.0,0,2
J5,U3,2,1.0,0.5,0.0,0,2
J5,U4,2,1.0,0.2,0.0,0,2
U2,H1,2,1.0,0.30000000000000004,0.0,0,2
U2,S1,2,1.0,1.0,0.0,0,2
U2,U1,2,1.0,0.6,0.0,0,2
U2,U3,2,1.0,0.5,0.0,0,2
U2,U4,2,1.0,0.30000000000000004,0.0,0,2
F2,U1,1,1.0,1.0,0.0,0,1
F2,U3,1,1.0,1.0,0.0,0,1
F3,F1,1,1.0,0.4,0.0,0,1
F3,F2,1,1.0,1.0,0.0,0,1
F3,H1,1,1.0,0.8,0.0,0,1
F3,J1,1,1.0,0.2,0.0,0,1
F3,U1,1,1.0,1.0,0.0,0,1
F3,U3,1,1.0,1.0,0.0,0,1
F3,U4,1,1.0,0.2,0.0,0,1
H1,U1,75,1.0,0.7599999999999999,0.0026666666666666674,1,74
F1,U4,2,1.0,0.4,0.1,1,1
F2,H1,1,1.0,0.8,0.19999999999999996,1,0
F2,F1,1,1.0,0.4,0.6,1,0
F2,F3,1,1.0,0.2,0.8,1,0
