antecedent,consequent,antecedent_active_cases,case_support_confidence,mean_consequent_rate_when_active,mean_rate_gap_when_active,cases_with_a_rate_gt_b_rate,cases_with_a_rate_le_b_rate
U4,U1,194,1.0,0.990721649484536,0.0,0,194
H1,U1,184,1.0,0.9902173913043477,0.0,0,184
F3,F2,143,1.0,0.9818181818181818,0.0,0,143
F3,U1,143,1.0,0.993006993006993,0.0,0,143
J1,F2,71,1.0,0.980281690140845,0.0,0,71
J1,U1,71,1.0,0.9859154929577465,0.0,0,71
J2,F2,62,1.0,0.9774193548387096,0.0,0,62
J2,J1,62,1.0,0.32258064516129026,0.0,0,62
J2,U1,62,1.0,0.996774193548387,0.0,0,62
J3,F2,54,1.0,0.9777777777777777,0.0,0,54
J3,U1,54,1.0,0.9851851851851853,0.0,0,54
J5,F2,50,1.0,0.98,0.0,0,50
J5,U1,50,1.0,1.0,0.0,0,50
J4,F2,48,1.0,0.975,0.0,0,48
J4,J1,48,1.0,0.33749999999999997,0.0,0,48
J4,J3,48,1.0,0.2833333333333334,0.0,0,48
J4,U1,48,1.0,1.0,0.0,0,48
F1,U1,192,1.0,0.9916666666666666,0.0010416666666666664,1,191
F3,F1,143,1.0,0.8867132867132866,0.001398601398601399,1,142
F3,U3,143,1.0,0.9048951048951047,0.002797202797202797,2,141
U3,U1,197,1.0,0.9908629441624365,0.0030456852791878176,3,194
J3,H1,54,1.0,0.6592592592592593,0.003703703703703703,1,53
J5,H1,50,1.0,0.6720000000000002,0.003999999999999999,1,49
J4,H1,48,1.0,0.6750000000000002,0.004166666666666666,1,47
F2,U1,196,1.0,0.9918367346938776,0.006122448979591836,4,192
F1,F2,192,1.0,0.978125,0.006249999999999999,6,186
J2,U3,62,1.0,0.8677419354838708,0.0064516129032258064,1,61
J3,J1,54,1.0,0.32592592592592584,0.007407407407407408,2,52
J3,U3,54,1.0,0.8592592592592591,0.007407407407407408,1,53
J5,J1,50,1.0,0.3399999999999999,0.008,2,48
J5,J2,50,1.0,0.308,0.008,2,48
J5,U3,50,1.0,0.8640000000000001,0.008,1,49
J4,U3,48,1.0,0.8624999999999999,0.008333333333333333,1,47
J1,U3,71,1.0,0.8619718309859155,0.008450704225352112,2,69
U4,U3,194,1.0,0.9061855670103094,0.010309278350515464,9,185
S1,U1,17,1.0,0.9529411764705882,0.01176470588235294,1,16
H1,U3,184,1.0,0.9054347826086956,0.015217391304347827,13,171
S1,U3,17,1.0,0.835294117647059,0.023529411764705882,1,16
S1,U4,17,1.0,0.5882352941176471,0.047058823529411764,1,16
F1,U3,192,1.0,0.9072916666666667,0.053125,41,151
F2,U3,196,1.0,0.9081632653061225,0.07755102040816325,64,132
U1,U3,197,1.0,0.9065989847715737,0.08730964467005074,70,127
U3,F2,197,0.9949238578680203,0.9736040609137057,0.01015228426395939,7,190
U1,F2,197,0.9949238578680203,0.9736040609137057,0.023350253807106598,16,181
U4,F2,194,0.9948453608247423,0.9742268041237113,0.005154639175257732,5,189
H1,F2,184,0.9945652173913043,0.9728260869565217,0.005434782608695651,3,181
F3,U4,143,0.986013986013986,0.6027972027972028,0.07412587412587414,32,111
J1,H1,71,0.9859154929577465,0.6197183098591549,0.014084507042253521,4,67
U3,U4,197,0.9847715736040609,0.5898477157360407,0.3269035532994924,158,39
U1,U4,197,0.9847715736040609,0.5898477157360407,0.4010152284263959,175,22
F2,U4,196,0.9846938775510204,0.5918367346938775,0.3908163265306122,172,24
F1,U4,192,0.984375,0.5968749999999999,0.278125,132,60
J2,H1,62,0.9838709677419355,0.6451612903225805,0.009677419354838708,3,59
H1,U4,184,0.9836956521739131,0.5619565217391305,0.16956521739130434,68,116
F2,F1,196,0.9795918367346939,0.8132653061224488,0.1714285714285714,90,106
J4,J2,48,0.9791666666666666,0.30000000000000004,0.012500000000000002,3,45
U3,F1,197,0.9746192893401016,0.8091370558375633,0.14923857868020304,77,120
U1,F1,197,0.9746192893401016,0.8091370558375633,0.182741116751269,95,102
U4,F1,194,0.9742268041237113,0.8113402061855669,0.05257731958762886,31,163
H1,F1,184,0.9728260869565217,0.8054347826086956,0.04782608695652174,24,160
J1,F1,71,0.971830985915493,0.7943661971830984,0.014084507042253521,3,68
J1,U4,71,0.971830985915493,0.4845070422535212,0.05070422535211267,13,58
J2,F1,62,0.967741935483871,0.8129032258064515,0.012903225806451613,2,60
J2,U4,62,0.967741935483871,0.4774193548387097,0.04516129032258064,11,51
J3,F1,54,0.9629629629629629,0.7962962962962961,0.011111111111111113,2,52
J3,U4,54,0.9629629629629629,0.47777777777777786,0.037037037037037035,7,47
J5,F1,50,0.96,0.7999999999999998,0.016,2,48
J5,J3,50,0.96,0.27599999999999997,0.02,4,46
J5,U4,50,0.96,0.48,0.04,7,43
J4,F1,48,0.9583333333333334,0.8041666666666666,0.012500000000000002,2,46
J4,J5,48,0.9583333333333334,0.2583333333333333,0.029166666666666664,7,41
J4,U4,48,0.9583333333333334,0.4833333333333334,0.0375,6,42
J3,J2,54,0.9444444444444444,0.28148148148148144,0.02962962962962963,8,46
S1,F2,17,0.9411764705882353,0.8235294117647058,0.07058823529411765,2,15
S1,F1,17,0.9411764705882353,0.7294117647058824,0.09411764705882353,3,14
U3,H1,197,0.934010152284264,0.49441624365482234,0.4263959390862944,163,34
U1,H1,197,0.934010152284264,0.49441624365482234,0.4964467005076142,180,17
F2,H1,196,0.9336734693877551,0.4938775510204082,0.486734693877551,176,20
U4,H1,194,0.9329896907216495,0.48659793814432994,0.25773195876288657,108,86
F1,H1,192,0.9322916666666666,0.49062500000000003,0.36874999999999997,147,45
F3,H1,143,0.9230769230769231,0.48951048951048953,0.11188811188811189,47,96
J5,J4,50,0.92,0.256,0.036000000000000004,7,43
J3,J4,54,0.8888888888888888,0.2444444444444444,0.03333333333333333,8,46
J3,J5,54,0.8888888888888888,0.24074074074074067,0.04444444444444445,12,42
S1,H1,17,0.8823529411764706,0.4352941176470588,0.0823529411764706,5,12
J1,J2,71,0.8732394366197183,0.2535211267605633,0.05352112676056339,18,53
J2,J3,62,0.8225806451612904,0.23225806451612901,0.07419354838709678,20,42
J2,J5,62,0.8064516129032258,0.2193548387096774,0.0774193548387097,22,40
S1,F3,17,0.7647058823529411,0.25882352941176473,0.16470588235294117,7,10
J1,J3,71,0.7605633802816901,0.21126760563380276,0.10140845070422536,28,43
J2,J4,62,0.7580645161290323,0.20967741935483863,0.08709677419354839,24,38
F1,F3,192,0.7447916666666666,0.3302083333333334,0.5010416666666667,182,10
F2,F3,196,0.7295918367346939,0.3234693877551021,0.6551020408163264,192,4
U4,F3,194,0.7268041237113402,0.31958762886597936,0.3268041237113402,140,54
U3,F3,197,0.7258883248730964,0.32182741116751273,0.5868020304568528,183,14
U1,F3,197,0.7258883248730964,0.32182741116751273,0.6690355329949238,193,4
H1,F3,184,0.717391304347826,0.31630434782608696,0.2717391304347826,118,66
J1,J5,71,0.704225352112676,0.19154929577464785,0.12112676056338025,35,36
J4,F3,48,0.6875,0.2875,0.10833333333333334,20,28
J1,J4,71,0.676056338028169,0.18591549295774645,0.12112676056338027,34,37
J3,F3,54,0.6666666666666666,0.2703703703703703,0.11851851851851852,23,31
J1,F3,71,0.6619718309859155,0.276056338028169,0.14084507042253516,35,36
J2,F3,62,0.6612903225806451,0.27741935483870966,0.12258064516129033,32,30
J5,F3,50,0.66,0.284,0.11600000000000002,22,28
H1,J1,184,0.3804347826086957,0.11739130434782609,0.416304347826087,169,15
F2,J1,196,0.3622448979591837,0.11122448979591837,0.8673469387755102,195,1
U3,J1,197,0.3604060913705584,0.11065989847715735,0.7989847715736039,193,4
U1,J1,197,0.3604060913705584,0.11065989847715735,0.8802030456852792,196,1
F1,J1,192,0.359375,0.109375,0.7218750000000002,184,8
U4,J1,194,0.3556701030927835,0.11030927835051546,0.5051546391752577,168,26
S1,J1,17,0.35294117647058826,0.0823529411764706,0.24705882352941178,11,6
S1,J2,17,0.35294117647058826,0.0823529411764706,0.24705882352941178,11,6
H1,J2,184,0.33152173913043476,0.09673913043478262,0.43478260869565216,175,9
F3,J1,143,0.32867132867132864,0.1076923076923077,0.36083916083916084,119,24
F2,J2,196,0.3163265306122449,0.09183673469387756,0.8867346938775511,195,1
U3,J2,197,0.3147208121827411,0.09137055837563451,0.817258883248731,195,2
U1,J2,197,0.3147208121827411,0.09137055837563451,0.899492385786802,196,1
F1,J2,192,0.3125,0.08958333333333333,0.740625,188,4
U4,J2,194,0.30927835051546393,0.0907216494845361,0.520618556701031,173,21
H1,J3,184,0.29347826086956524,0.08152173913043478,0.44891304347826083,178,6
F3,J2,143,0.2867132867132867,0.0923076923076923,0.3706293706293706,122,21
F2,J3,196,0.2755102040816326,0.07653061224489797,0.9020408163265307,195,1
U3,J3,197,0.27411167512690354,0.07614213197969544,0.8324873096446701,196,1
