antecedent,consequent,antecedent_active_cases,case_support_confidence,mean_consequent_rate_when_active,mean_rate_gap_when_active,cases_with_a_rate_gt_b_rate,cases_with_a_rate_le_b_rate
F2,U1,73,1.0,1.0,0.0,0,73
H1,U1,73,1.0,1.0,0.0,0,73
U3,U1,73,1.0,1.0,0.0,0,73
F1,U1,71,1.0,1.0,0.0,0,71
U4,F2,71,1.0,0.9887323943661972,0.0,0,71
U4,U1,71,1.0,1.0,0.0,0,71
U4,U3,71,1.0,0.895774647887324,0.0,0,71
F3,F1,55,1.0,0.9418181818181817,0.0,0,55
F3,F2,55,1.0,0.989090909090909,0.0,0,55
F3,U1,55,1.0,1.0,0.0,0,55
J1,F2,51,1.0,0.9803921568627451,0.0,0,51
J1,U1,51,1.0,1.0,0.0,0,51
J2,F2,49,1.0,0.9795918367346939,0.0,0,49
J2,J1,49,1.0,0.3551020408163265,0.0,0,49
J2,U1,49,1.0,1.0,0.0,0,49
J3,F2,44,1.0,0.9772727272727273,0.0,0,44
J3,U1,44,1.0,1.0,0.0,0,44
J5,F2,42,1.0,0.980952380952381,0.0,0,42
J5,U1,42,1.0,1.0,0.0,0,42
J4,F2,41,1.0,0.975609756097561,0.0,0,41
J4,J1,41,1.0,0.36097560975609755,0.0,0,41
J4,J3,41,1.0,0.29756097560975614,0.0,0,41
J4,U1,41,1.0,1.0,0.0,0,41
S1,F1,3,1.0,0.8666666666666667,0.0,0,3
S1,F2,3,1.0,0.9333333333333332,0.0,0,3
S1,H1,3,1.0,0.7999999999999999,0.0,0,3
S1,J1,3,1.0,0.26666666666666666,0.0,0,3
S1,J2,3,1.0,0.26666666666666666,0.0,0,3
S1,J3,3,1.0,0.26666666666666666,0.0,0,3
S1,J4,3,1.0,0.26666666666666666,0.0,0,3
S1,U1,3,1.0,1.0,0.0,0,3
S1,U3,3,1.0,0.9333333333333332,0.0,0,3
S1,U4,3,1.0,0.46666666666666673,0.0,0,3
U3,F2,73,1.0,0.9863013698630136,0.00273972602739726,1,72
F3,U3,55,1.0,0.8872727272727272,0.0036363636363636377,1,54
J3,H1,44,1.0,0.7090909090909091,0.004545454545454544,1,43
J5,H1,42,1.0,0.7095238095238097,0.004761904761904761,1,41
J4,H1,41,1.0,0.7170731707317073,0.004878048780487804,1,40
H1,F2,73,1.0,0.9863013698630136,0.00547945205479452,2,71
J2,H1,49,1.0,0.6938775510204083,0.008163265306122448,2,47
J2,U3,49,1.0,0.873469387755102,0.00816326530612245,1,48
F1,F2,71,1.0,0.9859154929577465,0.00845070422535211,3,68
J3,J1,44,1.0,0.3545454545454545,0.009090909090909092,2,42
J3,U3,44,1.0,0.868181818181818,0.009090909090909092,1,43
J5,J1,42,1.0,0.3666666666666667,0.009523809523809525,2,40
J5,J2,42,1.0,0.32857142857142857,0.009523809523809525,2,40
J5,U3,42,1.0,0.8714285714285714,0.009523809523809525,1,41
J4,J2,41,1.0,0.32195121951219513,0.00975609756097561,2,39
J4,U3,41,1.0,0.8682926829268293,0.00975609756097561,1,40
J1,U3,51,1.0,0.8705882352941177,0.011764705882352941,2,49
U1,F2,73,1.0,0.9863013698630136,0.013698630136986299,5,68
J1,H1,51,1.0,0.6941176470588236,0.01568627450980392,3,48
J3,J2,44,1.0,0.3136363636363636,0.022727272727272728,5,39
F3,H1,55,1.0,0.6836363636363635,0.025454545454545462,7,48
H1,U3,73,1.0,0.895890410958904,0.03287671232876712,11,62
F1,U3,71,1.0,0.895774647887324,0.07042253521126761,19,52
U4,H1,71,1.0,0.6873239436619718,0.07042253521126762,18,53
