antecedent,consequent,antecedent_active_cases,case_support_confidence,mean_consequent_rate_when_active,mean_rate_gap_when_active,cases_with_a_rate_gt_b_rate,cases_with_a_rate_le_b_rate
U4,S1,68,1.0,0.9970588235294118,0.0,0,68
U4,U1,68,1.0,0.663235294117647,0.0,0,68
U3,S1,65,1.0,0.9969230769230769,0.0,0,65
U3,U1,65,1.0,0.6923076923076923,0.0,0,65
H1,U1,52,1.0,0.7230769230769231,0.0,0,52
J1,S1,11,1.0,1.0,0.0,0,11
J1,U1,11,1.0,0.7454545454545454,0.0,0,11
J2,J1,6,1.0,0.2333333333333333,0.0,0,6
J2,S1,6,1.0,1.0,0.0,0,6
J2,U1,6,1.0,0.6666666666666666,0.0,0,6
J2,U3,6,1.0,0.4000000000000001,0.0,0,6
J2,U4,6,1.0,0.2333333333333333,0.0,0,6
J3,J1,2,1.0,0.2,0.0,0,2
J3,J2,2,1.0,0.2,0.0,0,2
J3,J4,2,1.0,0.2,0.0,0,2
J3,J5,2,1.0,0.2,0.0,0,2
J3,S1,2,1.0,1.0,0.0,0,2
J3,U1,2,1.0,0.7,0.0,0,2
J3,U3,2,1.0,0.5,0.0,0,2
J3,U4,2,1.0,0.2,0.0,0,2
J4,J1,2,1.0,0.2,0.0,0,2
J4,J2,2,1.0,0.2,0.0,0,2
J4,J3,2,1.0,0.2,0.0,0,2
J4,J5,2,1.0,0.2,0.0,0,2
J4,S1,2,1.0,1.0,0.0,0,2
J4,U1,2,1.0,0.7,0.0,0,2
J4,U3,2,1.0,0.5,0.0,0,2
J4,U4,2,1.0,0.2,0.0,0,2
J5,J1,2,1.0,0.2,0.0,0,2
J5,J2,2,1.0,0.2,0.0,0,2
J5,J3,2,1.0,0.2,0.0,0,2
J5,J4,2,1.0,0.2,0.0,0,2
J5,S1,2,1.0,1.0,0.0,0,2
J5,U1,2,1.0,0.7,0.0,0,2
J5,U3,2,1.0,0.5,0.0,0,2
J5,U4,2,1.0,0.2,0.0,0,2
U2,H1,2,1.0,0.30000000000000004,0.0,0,2
U2,S1,2,1.0,1.0,0.0,0,2
U2,U1,2,1.0,0.6,0.0,0,2
U2,U3,2,1.0,0.5,0.0,0,2
U2,U4,2,1.0,0.30000000000000004,0.0,0,2
J1,U3,11,1.0,0.3818181818181819,0.018181818181818184,1,10
U1,S1,76,0.9868421052631579,0.9842105263157894,0.013157894736842105,1,75
H1,S1,52,0.9807692307692307,0.9769230769230769,0.019230769230769232,1,51
H1,U3,52,0.9807692307692307,0.4503205128205128,0.04615384615384616,7,45
S1,U1,77,0.974025974025974,0.6402597402597402,0.35714285714285715,60,17
J1,U4,11,0.9090909090909091,0.27272727272727276,0.03636363636363637,1,10
U3,U4,65,0.9076923076923077,0.3787179487179487,0.12923076923076923,25,40
U1,U4,76,0.8947368421052632,0.3699561403508772,0.29188596491228064,57,19
S1,U4,77,0.8831168831168831,0.36515151515151517,0.6322510822510822,75,2
U4,U3,68,0.8676470588235294,0.36495098039215684,0.12794117647058822,27,41
H1,U4,52,0.8653846153846154,0.34262820512820513,0.1,13,39
U1,U3,76,0.8552631578947368,0.36600877192982456,0.2958333333333333,61,15
S1,U3,77,0.8441558441558441,0.3612554112554113,0.636147186147186,76,1
J2,H1,6,0.8333333333333334,0.2333333333333333,0.03333333333333333,1,5
