antecedent,consequent,antecedent_active_cases,case_support_confidence,mean_consequent_rate_when_active,mean_rate_gap_when_active,cases_with_a_rate_gt_b_rate,cases_with_a_rate_le_b_rate
H1,S1,25,1.0,0.992,0.0,0,25
U1,S1,25,1.0,0.992,0.0,0,25
U4,S1,23,1.0,0.991304347826087,0.0,0,23
U4,U1,23,1.0,0.8434782608695655,0.0,0,23
U3,S1,22,1.0,0.990909090909091,0.0,0,22
U3,U1,22,1.0,0.8636363636363638,0.0,0,22
J1,H1,9,1.0,0.3777777777777778,0.0,0,9
J1,S1,9,1.0,0.9777777777777779,0.0,0,9
J1,U1,9,1.0,0.7777777777777778,0.0,0,9
J1,U4,9,1.0,0.46666666666666656,0.0,0,9
J2,H1,3,1.0,0.4000000000000001,0.0,0,3
J2,J1,3,1.0,0.20000000000000004,0.0,0,3
J2,S1,3,1.0,1.0,0.0,0,3
J2,U1,3,1.0,0.7333333333333334,0.0,0,3
J2,U4,3,1.0,0.3333333333333333,0.0,0,3
J3,H1,1,1.0,0.2,0.0,0,1
J3,J1,1,1.0,0.2,0.0,0,1
J3,S1,1,1.0,1.0,0.0,0,1
J3,U1,1,1.0,0.8,0.0,0,1
J3,U4,1,1.0,0.8,0.0,0,1
H1,U1,25,1.0,0.8480000000000001,0.008000000000000002,1,24
U3,H1,22,1.0,0.5,0.0818181818181818,8,14
U4,H1,23,1.0,0.43478260869565216,0.1391304347826087,9,14
U1,H1,25,1.0,0.47200000000000003,0.384,21,4
S1,U1,26,0.9615384615384616,0.8153846153846154,0.1769230769230769,14,12
S1,H1,26,0.9615384615384616,0.4538461538461539,0.5384615384615384,24,2
H1,U4,25,0.92,0.4159999999999999,0.18400000000000002,10,15
U1,U4,25,0.92,0.4159999999999999,0.43200000000000005,24,1
U3,U4,22,0.9090909090909091,0.3909090909090909,0.14545454545454548,8,14
S1,U4,26,0.8846153846153846,0.4,0.5923076923076924,26,0
H1,U3,25,0.88,0.392,0.15200000000000002,13,12
U1,U3,25,0.88,0.392,0.456,24,1
U4,U3,23,0.8695652173913043,0.37391304347826093,0.16521739130434784,11,12
S1,U3,26,0.8461538461538461,0.37692307692307686,0.6153846153846154,26,0
J2,U3,3,0.6666666666666666,0.4666666666666666,0.06666666666666667,1,2
J1,U3,9,0.6666666666666666,0.28888888888888886,0.06666666666666668,3,6
U4,J1,23,0.391304347826087,0.0782608695652174,0.37391304347826093,19,4
H1,J1,25,0.36,0.07200000000000001,0.4000000000000001,21,4
U1,J1,25,0.36,0.07200000000000001,0.7759999999999999,25,0
S1,J1,26,0.34615384615384615,0.06923076923076923,0.9230769230769231,26,0
J1,J2,9,0.3333333333333333,0.06666666666666668,0.13333333333333336,6,3
U3,J1,22,0.2727272727272727,0.05454545454545454,0.3909090909090909,20,2
U4,J2,23,0.13043478260869565,0.026086956521739136,0.42608695652173906,21,2
