antecedent,consequent,antecedent_active_cases,case_support_confidence,mean_consequent_rate_when_active,mean_rate_gap_when_active,cases_with_a_rate_gt_b_rate,cases_with_a_rate_le_b_rate
U4,U1,123,1.0,0.9902439024390244,0.0,0,123
H1,U1,111,1.0,0.9891891891891893,0.0,0,111
F3,F2,89,1.0,0.9904494382022473,0.0,0,89
F3,U1,89,1.0,0.9910112359550562,0.0,0,89
J1,F1,21,1.0,0.6833333333333333,0.0,0,21
J1,F2,21,1.0,0.9904761904761905,0.0,0,21
J1,U1,21,1.0,0.9619047619047618,0.0,0,21
J1,U3,21,1.0,0.8571428571428571,0.0,0,21
J1,U4,21,1.0,0.5190476190476191,0.0,0,21
J2,F1,13,1.0,0.75,0.0,0,13
J2,F2,13,1.0,0.9846153846153847,0.0,0,13
J2,J1,13,1.0,0.20384615384615387,0.0,0,13
J2,U1,13,1.0,1.0,0.0,0,13
J2,U3,13,1.0,0.8615384615384616,0.0,0,13
J2,U4,13,1.0,0.5153846153846154,0.0,0,13
J3,F1,10,1.0,0.7,0.0,0,10
J3,F2,10,1.0,0.9800000000000001,0.0,0,10
J3,H1,10,1.0,0.44000000000000006,0.0,0,10
J3,J1,10,1.0,0.2,0.0,0,10
J3,U1,10,1.0,0.9199999999999999,0.0,0,10
J3,U3,10,1.0,0.82,0.0,0,10
J3,U4,10,1.0,0.5399999999999999,0.0,0,10
S1,F1,10,1.0,0.865,0.0,0,10
S1,F2,10,1.0,0.9800000000000001,0.0,0,10
S1,U1,10,1.0,0.9800000000000001,0.0,0,10
S1,U3,10,1.0,0.9,0.0,0,10
S1,U4,10,1.0,0.6799999999999999,0.0,0,10
J5,F1,8,1.0,0.7,0.0,0,8
J5,F2,8,1.0,0.975,0.0,0,8
J5,H1,8,1.0,0.47500000000000003,0.0,0,8
J5,J1,8,1.0,0.2,0.0,0,8
J5,J2,8,1.0,0.2,0.0,0,8
J5,U1,8,1.0,1.0,0.0,0,8
J5,U3,8,1.0,0.8250000000000001,0.0,0,8
J5,U4,8,1.0,0.525,0.0,0,8
J4,F1,7,1.0,0.7428571428571429,0.0,0,7
J4,F2,7,1.0,0.9714285714285714,0.0,0,7
J4,H1,7,1.0,0.42857142857142855,0.0,0,7
J4,J1,7,1.0,0.19999999999999998,0.0,0,7
J4,J3,7,1.0,0.19999999999999998,0.0,0,7
J4,U1,7,1.0,1.0,0.0,0,7
J4,U3,7,1.0,0.8285714285714285,0.0,0,7
J4,U4,7,1.0,0.5714285714285714,0.0,0,7
F1,U1,123,1.0,0.9902439024390244,0.0016260162601626012,1,122
U4,F2,123,1.0,0.9855013550135502,0.0020325203252032522,1,122
F3,U3,89,1.0,0.9252808988764044,0.0022471910112359544,1,88
F3,F1,89,1.0,0.8544943820224717,0.0022471910112359557,1,88
H1,U3,111,1.0,0.924924924924925,0.0036036036036036037,2,109
U3,U1,125,1.0,0.9904000000000001,0.0048000000000000004,3,122
F2,U1,124,1.0,0.9903225806451614,0.00967741935483871,4,120
U4,U3,123,1.0,0.9237127371273712,0.013414634146341463,7,116
F1,U3,123,1.0,0.9237127371273713,0.042276422764227634,22,101
F2,U3,124,1.0,0.9243279569892474,0.06774193548387096,37,87
U1,U3,125,1.0,0.9249333333333334,0.07026666666666666,37,88
U3,F2,125,0.992,0.9777333333333333,0.014399999999999998,5,120
U1,F2,125,0.992,0.9777333333333333,0.022266666666666667,9,116
F2,U4,124,0.9919354838709677,0.6618279569892471,0.3258064516129032,103,21
F1,F2,123,0.991869918699187,0.9773712737127371,0.013008130081300811,4,119
H1,F2,111,0.990990990990991,0.9771771771771772,0.009009009009009009,1,110
F3,U4,89,0.9887640449438202,0.6719101123595506,0.04943820224719102,14,75
U3,F1,125,0.984,0.7865333333333333,0.17999999999999997,56,69
U1,F1,125,0.984,0.7865333333333333,0.20546666666666666,68,57
U3,U4,125,0.984,0.6565333333333332,0.28159999999999996,91,34
U1,U4,125,0.984,0.6565333333333332,0.33386666666666664,103,22
F2,F1,124,0.9838709677419355,0.7848118279569892,0.2056451612903226,65,59
U4,F1,123,0.983739837398374,0.7863143631436313,0.06666666666666668,23,100
F1,U4,123,0.983739837398374,0.6607046070460704,0.19878048780487803,71,52
H1,F1,111,0.9819819819819819,0.7776276276276276,0.03423423423423424,12,99
H1,U4,111,0.9819819819819819,0.6150150150150148,0.09954954954954955,25,86
J1,H1,21,0.9523809523809523,0.4547619047619047,0.009523809523809525,1,20
J2,H1,13,0.9230769230769231,0.4730769230769231,0.015384615384615385,1,12
S1,F3,10,0.9,0.305,0.06000000000000001,2,8
U3,H1,125,0.888,0.38386666666666674,0.5442666666666666,119,6
U1,H1,125,0.888,0.38386666666666674,0.6065333333333331,120,5
F2,H1,124,0.8870967741935484,0.37889784946236565,0.6067204301075267,120,4
U4,H1,123,0.8861788617886179,0.37384823848238496,0.36693766937669375,89,34
F1,H1,123,0.8861788617886179,0.38360433604336047,0.4401084010840109,99,24
J5,J3,8,0.875,0.17500000000000002,0.025,1,7
F3,H1,89,0.8651685393258427,0.3735955056179776,0.16741573033707863,41,48
J4,J2,7,0.8571428571428571,0.17142857142857143,0.028571428571428574,1,6
J4,J5,7,0.8571428571428571,0.17142857142857143,0.028571428571428574,1,6
S1,H1,10,0.8,0.32,0.045,2,8
J5,J4,8,0.75,0.15000000000000002,0.05,2,6
F1,F3,123,0.7235772357723578,0.31626016260162604,0.48468834688346885,113,10
F2,F3,124,0.717741935483871,0.3137096774193549,0.6719086021505376,120,4
U4,F3,123,0.7154471544715447,0.3113821138211383,0.3867208672086721,98,25
J4,F3,7,0.7142857142857143,0.2857142857142857,0.05714285714285715,2,5
U3,F3,125,0.712,0.31120000000000003,0.6153333333333333,118,7
U1,F3,125,0.712,0.31120000000000003,0.6791999999999999,121,4
J3,F3,10,0.7,0.26000000000000006,0.06000000000000001,3,7
J3,J2,10,0.7,0.14,0.06000000000000001,3,7
J3,J4,10,0.7,0.13999999999999999,0.06000000000000001,3,7
J3,J5,10,0.7,0.14,0.06000000000000001,3,7
H1,F3,111,0.6936936936936937,0.30090090090090094,0.21606606606606607,63,48
J2,F3,13,0.6923076923076923,0.2846153846153846,0.06153846153846154,4,9
J1,F3,21,0.6666666666666666,0.24285714285714288,0.06666666666666668,7,14
J5,F3,8,0.625,0.275,0.07500000000000001,3,5
J1,J2,21,0.6190476190476191,0.12619047619047621,0.0761904761904762,8,13
J2,J5,13,0.6153846153846154,0.12307692307692307,0.08076923076923077,5,8
J2,J3,13,0.5384615384615384,0.10769230769230768,0.09615384615384616,6,7
J1,J3,21,0.47619047619047616,0.09523809523809523,0.10714285714285714,11,10
J2,J4,13,0.46153846153846156,0.0923076923076923,0.11153846153846153,7,6
J1,J5,21,0.38095238095238093,0.0761904761904762,0.12619047619047621,13,8
