antecedent,consequent,antecedent_active_cases,case_support_confidence,mean_consequent_rate_when_active,mean_rate_gap_when_active,cases_with_a_rate_gt_b_rate,cases_with_a_rate_le_b_rate
U4,U1,194,1.0,0.9938144329896907,0.0,0,194
H1,U1,184,1.0,0.9934782608695653,0.0,0,184
F3,F2,144,1.0,0.9899305555555556,0.0,0,144
F3,U1,144,1.0,0.9944444444444444,0.0,0,144
J1,F2,72,1.0,0.9833333333333335,0.0,0,72
J1,U1,72,1.0,0.9888888888888889,0.0,0,72
J2,F2,62,1.0,0.9806451612903225,0.0,0,62
J2,J1,62,1.0,0.3233870967741935,0.0,0,62
J2,U1,62,1.0,1.0,0.0,0,62
J3,F2,54,1.0,0.9777777777777777,0.0,0,54
J3,U1,54,1.0,0.9851851851851853,0.0,0,54
J5,F2,50,1.0,0.98,0.0,0,50
J5,U1,50,1.0,1.0,0.0,0,50
J4,F2,48,1.0,0.975,0.0,0,48
J4,J1,48,1.0,0.33749999999999997,0.0,0,48
J4,J3,48,1.0,0.2833333333333334,0.0,0,48
J4,U1,48,1.0,1.0,0.0,0,48
S1,F1,13,1.0,0.8653846153846154,0.0,0,13
S1,F2,13,1.0,0.9692307692307692,0.0,0,13
S1,U1,13,1.0,0.9846153846153847,0.0,0,13
S1,U3,13,1.0,0.9076923076923079,0.0,0,13
S1,U4,13,1.0,0.6307692307692309,0.0,0,13
F1,U1,194,1.0,0.9938144329896907,0.0010309278350515462,1,193
U4,F2,194,1.0,0.9866838487972509,0.001288659793814433,1,193
F3,F1,144,1.0,0.8878472222222222,0.0013888888888888894,1,143
F3,U3,144,1.0,0.9107638888888889,0.002777777777777778,2,142
U3,U1,198,1.0,0.993939393939394,0.0030303030303030307,3,195
J3,H1,54,1.0,0.6592592592592593,0.003703703703703703,1,53
J5,H1,50,1.0,0.6720000000000002,0.003999999999999999,1,49
J4,H1,48,1.0,0.6750000000000002,0.004166666666666666,1,47
