rule_a,rule_b,cases,active_cases_a,active_cases_b,both_active_cases,mean_a,mean_b,prevalence_gap,pearson,spearman,cosine,mae,rmse,max_abs_diff,exact_same_cases,exact_same_rate,within_20pp_cases,within_20pp_rate,within_40pp_cases,within_40pp_rate,both_variable_cases,profile_score
J4,J5,99,2,2,2,0.00404040404040404,0.00404040404040404,0.0,1.0,1.0,0.9999999999999998,0.0,0.0,0.0,99,1.0,99,1.0,99,1.0,2,1.0
F2,F3,99,1,1,1,0.010101010101010102,0.00202020202020202,0.00808080808080808,1.0,0.9999999999999998,1.0,0.00808080808080808,0.08040302522073697,0.8,98,0.98989898989899,98,0.98989898989899,98,0.98989898989899,0,0.9919191919191919
F1,F3,99,2,1,1,0.0060606060606060615,0.00202020202020202,0.004040404040404041,0.8935182737458545,0.7107053122190142,0.8944271909999159,0.00404040404040404,0.02842676218074806,0.2,97,0.9797979797979798,99,1.0,99,1.0,1,0.8899080989024368
F1,F2,99,2,1,1,0.0060606060606060615,0.010101010101010102,0.00404040404040404,0.893518273745844,0.7107053122190142,0.8944271909999159,0.00808080808080808,0.06356417261637282,0.6,97,0.9797979797979798,98,0.98989898989899,98,0.98989898989899,0,0.8862979240590089
J3,J4,99,3,2,2,0.0060606060606060615,0.00404040404040404,0.002020202020202021,0.8122769321069032,0.8122769321068951,0.8164965809277259,0.00202020202020202,0.020100756305184243,0.2,98,0.98989898989899,99,1.0,99,1.0,2,0.8106359686076974
J3,J5,99,3,2,2,0.0060606060606060615,0.00404040404040404,0.002020202020202021,0.8122769321069032,0.8122769321068951,0.8164965809277259,0.00202020202020202,0.020100756305184243,0.2,98,0.98989898989899,99,1.0,99,1.0,2,0.8106359686076974
J1,J2,99,21,9,9,0.04646464646464647,0.01818181818181818,0.02828282828282829,0.5941647216201164,0.6105534601792605,0.6415002990995842,0.02828282828282828,0.08040302522073697,0.4,86,0.8686868686868687,98,0.98989898989899,99,1.0,9,0.5773600628268202
J2,J4,99,9,2,2,0.01818181818181818,0.00404040404040404,0.01414141414141414,0.45407660918650233,0.45407660918649984,0.47140452079103157,0.01414141414141414,0.05318160234783105,0.2,92,0.9292929292929293,99,1.0,99,1.0,2,0.447655323804067
J2,J5,99,9,2,2,0.01818181818181818,0.00404040404040404,0.01414141414141414,0.45407660918650233,0.45407660918649984,0.47140452079103157,0.01414141414141414,0.05318160234783105,0.2,92,0.9292929292929293,99,1.0,99,1.0,2,0.447655323804067
U1,U3,99,97,86,86,0.6888888888888889,0.37777777777777777,0.3111111111111111,0.588602011685014,0.5675171022966964,0.8994244185547783,0.31111111111111106,0.38349798835288185,1.0,19,0.1919191919191919,45,0.45454545454545453,83,0.8383838383838383,61,0.4054813858274541
H1,U3,99,75,86,72,0.2888888888888889,0.37777777777777777,0.08888888888888885,0.5029740745482846,0.5096141515413146,0.8266635621551279,0.19393939393939388,0.2526625889172828,0.6000000000000001,30,0.30303030303030304,73,0.7373737373737373,95,0.9595959595959596,68,0.40542758736316276
J2,J3,99,9,3,2,0.01818181818181818,0.0060606060606060615,0.01212121212121212,0.3540440964374669,0.3540440964374667,0.38490017945975047,0.01616161616161616,0.05685352436149612,0.2,91,0.9191919191919192,99,1.0,99,1.0,2,0.3483221716465584
U1,U4,99,97,88,88,0.6888888888888889,0.36565656565656574,0.32323232323232315,0.510537262678076,0.5111537051701724,0.893760880169076,0.3232323232323232,0.4,1.0,20,0.20202020202020202,40,0.40404040404040403,78,0.7878787878787878,64,0.3455151171659706
H1,U1,99,75,97,75,0.2888888888888889,0.6888888888888889,0.39999999999999997,0.5727491458266432,0.6136055140452616,0.856010255583404,0.4040404040404041,0.4583677673015524,1.0,8,0.08080808080808081,30,0.30303030303030304,63,0.6363636363636364,50,0.34133534953304995
J1,J3,99,21,3,3,0.04646464646464647,0.0060606060606060615,0.040404040404040414,0.29015243034622573,0.3311430865061133,0.3333333333333333,0.04040404040404041,0.09847319278346618,0.4,81,0.8181818181818182,97,0.9797979797979798,99,1.0,3,0.2784290998271863
J1,J4,99,21,2,2,0.04646464646464647,0.00404040404040404,0.042424242424242434,0.2356841259649923,0.268979890395594,0.2721655269759086,0.04242424242424243,0.10050378152592121,0.4,80,0.8080808080808081,97,0.9797979797979798,99,1.0,2,0.22568540546950777
J1,J5,99,21,2,2,0.04646464646464647,0.00404040404040404,0.042424242424242434,0.2356841259649923,0.268979890395594,0.2721655269759086,0.04242424242424243,0.10050378152592121,0.4,80,0.8080808080808081,97,0.9797979797979798,99,1.0,2,0.22568540546950777
F1,U3,99,2,86,2,0.0060606060606060615,0.37777777777777777,0.3717171717171717,0.3115104024009066,0.2374612305841487,0.2802804207012272,0.3717171717171718,0.4385467276394071,1.0,13,0.13131313131313133,37,0.37373737373737376,74,0.7474747474747475,1,0.19571663665996353
H1,J1,99,75,21,19,0.2888888888888889,0.04646464646464647,0.24242424242424243,0.21991339826088058,0.14137907421003323,0.4703604341917987,0.25050505050505045,0.33393884397468876,1.0,31,0.31313131313131315,58,0.5858585858585859,88,0.8888888888888888,18,0.1648239813228014
F2,U3,99,1,86,1,0.010101010101010102,0.37777777777777777,0.36767676767676766,0.2589848851414068,0.17795670448798792,0.22383074051792262,0.36767676767676766,0.43762444117662297,1.0,14,0.1414141414141414,38,0.3838383838383838,75,0.7575757575757576,0,0.16376215969547542
F3,U3,99,1,86,1,0.00202020202020202,0.37777777777777777,0.37575757575757573,0.2589848851414062,0.17795670448798792,0.22383074051792262,0.3757575757575758,0.4449492083146098,1.0,13,0.13131313131313133,37,0.37373737373737376,74,0.7474747474747475,0,0.16166935254281722
F2,H1,99,1,75,1,0.010101010101010102,0.2888888888888889,0.2787878787878788,0.22318911651003598,0.1679378793521709,0.21725017863742738,0.2828282828282828,0.3618136134933164,1.0,24,0.24242424242424243,52,0.5252525252525253,88,0.8888888888888888,0,0.16006492194154096
F1,H1,99,2,75,2,0.0060606060606060615,0.2888888888888889,0.2828282828282829,0.2222338736691941,0.17119511821141914,0.24289308377863014,0.2828282828282828,0.36181361349331637,1.0,24,0.24242424242424243,52,0.5252525252525253,88,0.8888888888888888,2,0.1593798487930584
F3,H1,99,1,75,1,0.00202020202020202,0.2888888888888889,0.2868686868686869,0.22318911651003587,0.1679378793521709,0.2172501786374274,0.28686868686868683,0.36625321041789405,1.0,24,0.24242424242424243,51,0.5151515151515151,87,0.8787878787878788,1,0.15916314773341952
F3,J1,99,1,21,1,0.00202020202020202,0.04646464646464647,0.04444444444444445,0.165801388769272,0.1892246208606362,0.19245008972987526,0.044444444444444446,0.10249414863810766,0.4,79,0.797979797979798,97,0.9797979797979798,99,1.0,1,0.15843243815730437
F2,J1,99,1,21,1,0.010101010101010102,0.04646464646464647,0.03636363636363637,0.16580138876927186,0.1892246208606362,0.19245008972987523,0.05252525252525253,0.13026778945578593,0.8,78,0.7878787878787878,96,0.9696969696969697,98,0.98989898989899,0,0.1570926289551283
F1,J1,99,2,21,1,0.0060606060606060615,0.04646464646464647,0.040404040404040414,0.12637442284133238,0.09905694729957268,0.17213259316477408,0.04848484848484849,0.1063632046956621,0.4,77,0.7777777777777778,97,0.9797979797979798,99,1.0,1,0.1202471780975102
J1,U1,99,21,97,21,0.04646464646464647,0.6888888888888889,0.6424242424242425,0.185163064102525,0.1699178180523164,0.47475724351553955,0.6424242424242425,0.6898982504395819,1.0,2,0.020202020202020204,9,0.09090909090909091,27,0.2727272727272727,14,0.06620982292150894
U3,U4,99,86,88,78,0.37777777777777777,0.36565656565656574,0.012121212121212033,0.08328909249454455,0.0926460537317102,0.7424638816848192,0.23434343434343433,0.31526804372460493,0.8,29,0.29292929292929293,63,0.6363636363636364,86,0.8686868686868687,75,0.06377084051602502
F1,U1,99,2,97,2,0.0060606060606060615,0.6888888888888889,0.6828282828282828,0.168393828513641,0.1889944494594146,0.18387268976270238,0.6828282828282828,0.726413634010794,1.0,2,0.020202020202020204,6,0.06060606060606061,22,0.2222222222222222,0,0.05340975975079119
J4,U3,99,2,86,2,0.00404040404040404,0.37777777777777777,0.3737373737373737,0.072313810237872,0.09649093460325583,0.15827223445822958,0.37373737373737376,0.4454030067072274,1.0,13,0.13131313131313133,38,0.3838383838383838,75,0.7575757575757576,2,0.045287436714626914
J5,U3,99,2,86,2,0.00404040404040404,0.37777777777777777,0.3737373737373737,0.072313810237872,0.09649093460325583,0.15827223445822958,0.37373737373737376,0.4454030067072274,1.0,13,0.13131313131313133,38,0.3838383838383838,75,0.7575757575757576,2,0.045287436714626914
U2,U3,99,2,86,2,0.00404040404040404,0.37777777777777777,0.3737373737373737,0.0723138102378719,0.09649093460325583,0.15827223445822958,0.37373737373737376,0.4454030067072274,1.0,13,0.13131313131313133,38,0.3838383838383838,75,0.7575757575757576,2,0.045287436714626844
F2,U1,99,1,97,1,0.010101010101010102,0.6888888888888889,0.6787878787878788,0.12499999999999986,0.13296259800656535,0.13705061117171072,0.6787878787878788,0.726413634010794,1.0,3,0.030303030303030304,7,0.0707070707070707,23,0.23232323232323232,0,0.040151515151515105
F3,U1,99,1,97,1,0.00202020202020202,0.6888888888888889,0.6868686868686869,0.1250000000000002,0.13296259800656535,0.13705061117171075,0.6868686868686867,0.7308497890410958,1.0,2,0.020202020202020204,6,0.06060606060606061,22,0.2222222222222222,0,0.03914141414141422
J2,U3,99,9,86,8,0.01818181818181818,0.37777777777777777,0.3595959595959596,0.05791078083211591,0.04658391759785757,0.2835189379893686,0.36363636363636365,0.4357740124181224,1.0,15,0.15151515151515152,38,0.3838383838383838,76,0.7676767676767676,8,0.03685231507498285
S1,U4,99,98,88,87,0.9838383838383837,0.36565656565656574,0.6181818181818179,0.06275218085024697,0.016488292322196018,0.8533195795884921,0.6222222222222222,0.6630203312085985,1.0,1,0.010101010101010102,7,0.0707070707070707,30,0.30303030303030304,3,0.023706379432315523
J3,U4,99,3,88,3,0.0060606060606060615,0.36565656565656574,0.3595959595959597,0.027335853434731758,-0.002135901230903628,0.1627576917542319,0.3595959595959597,0.4235492172037854,1.0,13,0.13131313131313133,41,0.41414141414141414,71,0.7171717171717171,3,0.01750599098749488
J3,U1,99,3,97,3,0.0060606060606060615,0.6888888888888889,0.6828282828282828,0.03125000000000007,0.025499676330026224,0.17407765595569782,0.6828282828282828,0.7280803596451495,1.0,2,0.020202020202020204,6,0.06060606060606061,23,0.23232323232323232,3,0.009911616161616186
