rule_a,rule_b,cases,active_cases_a,active_cases_b,both_active_cases,mean_a,mean_b,prevalence_gap,pearson,spearman,cosine,mae,rmse,max_abs_diff,exact_same_cases,exact_same_rate,within_20pp_cases,within_20pp_rate,within_40pp_cases,within_40pp_rate,both_variable_cases,profile_score
J3,J4,73,44,41,41,0.17808219178082188,0.16164383561643833,0.01643835616438355,0.9434060983634002,0.9163877578261672,0.9676172723968441,0.016438356164383564,0.06620847108818945,0.4,68,0.9315068493150684,72,0.9863013698630136,73,1.0,40,0.927898052910851
J1,J2,73,51,49,49,0.24383561643835616,0.21095890410958903,0.03287671232876713,0.9331384159285028,0.944488854069338,0.9682345862575938,0.03287671232876712,0.08758557459257962,0.4,62,0.8493150684931506,72,0.9863013698630136,73,1.0,48,0.9024598926651
J3,J5,73,44,42,41,0.17808219178082188,0.1643835616438356,0.013698630136986273,0.8904634187860827,0.8671016669813483,0.9384139223472615,0.03561643835616438,0.09065968278232492,0.4,61,0.8356164383561644,72,0.9863013698630136,73,1.0,40,0.8587482833224689
J4,J5,73,41,42,40,0.16164383561643833,0.1643835616438356,0.0027397260273972768,0.87136282186125,0.8511660157084441,0.9258436428589204,0.03561643835616438,0.09651460248662212,0.4,62,0.8493150684931506,71,0.9726027397260274,73,1.0,39,0.8403279816305754
J2,J5,73,49,42,42,0.21095890410958903,0.1643835616438356,0.04657534246575343,0.8540501655825071,0.8183882509205942,0.9188462862164856,0.057534246575342465,0.11704114719613055,0.4,54,0.7397260273972602,71,0.9726027397260274,73,1.0,41,0.8049130327681712
J2,J4,73,49,41,41,0.21095890410958903,0.16164383561643833,0.049315068493150704,0.8210968611451844,0.7822279815517029,0.9009323844023291,0.06027397260273973,0.12821215295120647,0.6,54,0.7397260273972602,71,0.9726027397260274,72,0.9863013698630136,40,0.7716060914323241
J2,J3,73,49,44,44,0.21095890410958903,0.17808219178082188,0.032876712328767155,0.8053519909682154,0.7818086181621708,0.8994265689127947,0.06027397260273973,0.12821215295120647,0.6,54,0.7397260273972602,71,0.9726027397260274,72,0.9863013698630136,43,0.7568102271290353
J1,J3,73,51,44,44,0.24383561643835616,0.17808219178082188,0.06575342465753428,0.7583529917414321,0.7578096930332185,0.8769236140483514,0.07671232876712328,0.16217697081587662,0.6000000000000001,53,0.726027397260274,67,0.9178082191780822,71,0.9726027397260274,43,0.7001779677174318
J1,J4,73,51,41,41,0.24383561643835616,0.16164383561643833,0.08219178082191783,0.7599664359340504,0.739545600864052,0.8692286757419936,0.0821917808219178,0.16879914302191085,0.6000000000000001,52,0.7123287671232876,66,0.9041095890410958,71,0.9726027397260274,40,0.697503441199745
J1,J5,73,51,42,42,0.24383561643835616,0.1643835616438356,0.07945205479452055,0.762062415732264,0.7484097825335126,0.8710129612459458,0.09041095890410958,0.16716819517914303,0.6000000000000001,48,0.6575342465753424,66,0.9041095890410958,72,0.9863013698630136,41,0.6931636219811278
F1,F3,73,71,55,55,0.8684931506849314,0.34520547945205476,0.5232876712328767,0.582293846696605,0.6625012237608026,0.8535038954343039,0.5232876712328767,0.5700276369171192,1.0,2,0.0273972602739726,13,0.1780821917808219,30,0.410958904109589,13,0.2775866556855049
U3,U4,73,73,71,71,0.895890410958904,0.4712328767123288,0.4246575342465752,0.30254146802530074,0.30665247551681435,0.9114255520780074,0.4246575342465753,0.481436207526821,1.0,5,0.0684931506849315,19,0.2602739726027397,43,0.589041095890411,29,0.17406495420633744
F2,U3,73,73,73,73,0.9863013698630136,0.895890410958904,0.09041095890410966,0.18457286977122128,0.21054663662018686,0.9880346590859619,0.0958904109589041,0.167168195179143,0.6,45,0.6164383561643836,66,0.9041095890410958,72,0.9863013698630136,4,0.1668741014369946
J4,S1,73,41,3,3,0.16164383561643833,0.008219178082191782,0.15342465753424656,0.11492647058071788,0.17209185581172162,0.21725017863742732,0.15342465753424656,0.24326545622381496,1.0,34,0.4657534246575342,62,0.8493150684931506,69,0.9452054794520548,3,0.09729391619025157
F1,U4,73,71,71,69,0.8684931506849314,0.4712328767123288,0.3972602739726026,0.14626785019985786,0.06507123594472815,0.8903827916537255,0.4301369863013699,0.4915728182237484,1.0,5,0.0684931506849315,20,0.273972602739726,43,0.589041095890411,23,0.08335263792211078
J3,S1,73,44,3,3,0.17808219178082188,0.008219178082191782,0.1698630136986301,0.09562337036601187,0.14384782286121978,0.2065591117977289,0.1698630136986301,0.25642430590241294,1.0,31,0.4246575342465753,59,0.8082191780821918,69,0.9452054794520548,3,0.07938049649562082
F2,F3,73,73,55,55,0.9863013698630136,0.34520547945205476,0.6410958904109589,0.18779168878848565,0.19020678647013672,0.7953800800755342,0.6410958904109589,0.692820323027551,1.0,0,0.0,10,0.136986301369863,21,0.2876712328767123,3,0.06739920885285375
F2,U4,73,73,71,71,0.9863013698630136,0.4712328767123288,0.5150684931506848,0.13380188907820656,0.12105602911827723,0.9038677427308943,0.5150684931506849,0.5617975065414267,1.0,2,0.0273972602739726,14,0.1917808219178082,31,0.4246575342465753,4,0.06488475168997962
H1,J5,73,73,42,42,0.6958904109589041,0.1643835616438356,0.5315068493150685,0.11399377425883446,0.10217254375490226,0.6495957924174213,0.536986301369863,0.5940342686485075,1.0,2,0.0273972602739726,14,0.1917808219178082,30,0.410958904109589,34,0.05278067904039185
H1,J3,73,73,44,44,0.6958904109589041,0.17808219178082188,0.5178082191780823,0.1081383987865178,0.11491890369789741,0.6747972668523127,0.5232876712328769,0.5823899743228594,1.0,4,0.0547945205479452,13,0.1780821917808219,32,0.4383561643835616,35,0.051550907914668744
H1,J4,73,73,41,41,0.6958904109589041,0.16164383561643833,0.5342465753424658,0.10790019197154763,0.12534644747399,0.6460302375257256,0.5397260273972603,0.5963358435950035,1.0,4,0.0547945205479452,12,0.1643835616438356,28,0.3835616438356164,32,0.04966365000334247
J2,S1,73,49,3,3,0.21095890410958903,0.008219178082191782,0.20273972602739726,0.05659513522372725,0.09892216870293424,0.18431027103363654,0.20273972602739726,0.2885960346797522,1.0,26,0.3561643835616438,55,0.7534246575342466,66,0.9041095890410958,3,0.045121053013985286
H1,S1,73,73,3,3,0.6958904109589041,0.008219178082191782,0.6876712328767124,0.10410633312362576,0.10715944226905874,0.223374237314982,0.6876712328767123,0.7180643692289462,1.0,0,0.0,2,0.0273972602739726,15,0.2054794520547945,1,0.032515402674228325
F1,F2,73,71,73,71,0.8684931506849314,0.9863013698630136,0.11780821917808226,0.03550170455600731,0.028405029155248174,0.9691803147708589,0.13424657534246576,0.25102529480141433,1.0,44,0.6027397260273972,60,0.821917808219178,70,0.958904109589041,2,0.030735722300543316
F1,U3,73,71,73,71,0.8684931506849314,0.895890410958904,0.0273972602739726,0.03598917819272324,0.03813756017805448,0.9595930352993245,0.1643835616438356,0.25642430590241294,1.0,33,0.4520547945205479,55,0.7534246575342466,70,0.958904109589041,11,0.03007314890076873
J1,S1,73,51,3,3,0.24383561643835616,0.008219178082191782,0.2356164383561644,0.020994916150704906,0.05821219689637411,0.16289259247507362,0.2356164383561644,0.3277152121491656,1.0,24,0.3287671232876712,50,0.684931506849315,62,0.8493150684931506,3,0.016048168783689504
H1,J2,73,73,49,49,0.6958904109589041,0.21095890410958903,0.4849315068493151,0.014056200761131302,0.004823401773701219,0.6921734195982321,0.49589041095890407,0.5642305950438719,1.0,6,0.0821917808219178,18,0.2465753424657534,33,0.4520547945205479,39,0.0070858655891730404
S1,U3,73,3,73,3,0.008219178082191782,0.895890410958904,0.8876712328767122,0.055022900969964275,0.044962797416051234,0.20863014610464722,0.8876712328767122,0.8993148076661872,1.0,0,0.0,0,0.0,1,0.0136986301369863,1,0.006180654629502841
J2,U4,73,49,71,47,0.21095890410958903,0.4712328767123288,0.26027397260273977,0.0068629979685078425,0.009574585036618805,0.6508889375890433,0.33698630136986296,0.3993144810729014,0.8,10,0.136986301369863,32,0.4383561643835616,57,0.7808219178082192,45,0.004550261666791501
F3,H1,73,55,73,55,0.34520547945205476,0.6958904109589041,0.3506849315068494,0.005829744578549572,-0.02896469826621945,0.7587301850954277,0.38904109589041097,0.4865309124476299,1.0,11,0.1506849315068493,29,0.3972602739726027,50,0.684931506849315,46,0.003561734358949465
F2,J5,73,73,42,42,0.9863013698630136,0.1643835616438356,0.821917808219178,0.00621835116006537,-0.05315775447857637,0.6514074411591568,0.821917808219178,0.8452931727780638,1.0,1,0.0136986301369863,1,0.0136986301369863,5,0.0684931506849315,4,0.001107377603847258
S1,U2,73,3,0,0,0.008219178082191782,0.0,0.008219178082191782,0.0,0.0,0.0,0.008219178082191782,0.04054424270396916,0.2,70,0.958904109589041,73,1.0,73,1.0,0,0.0
F2,U1,73,73,73,73,0.9863013698630136,1.0,0.013698630136986356,0.0,0.0,0.9986908469224315,0.013698630136986299,0.05234239225902136,0.19999999999999996,68,0.9315068493150684,73,1.0,73,1.0,0,0.0
U1,U3,73,73,73,73,1.0,0.895890410958904,0.10410958904109602,0.0,0.0,0.9878613100868773,0.10410958904109588,0.17517114918515922,0.6,43,0.589041095890411,66,0.9041095890410958,72,0.9863013698630136,0,0.0
F1,U1,73,71,73,71,0.8684931506849314,1.0,0.13150684931506862,0.0,0.0,0.9700087885092127,0.13150684931506848,0.25427845808596394,1.0,46,0.6301369863013698,60,0.821917808219178,69,0.9452054794520548,0,0.0
J4,U2,73,41,0,0,0.16164383561643833,0.0,0.16164383561643833,0.0,0.0,0.0,0.16164383561643833,0.24883289215692145,1.0,32,0.4383561643835616,61,0.8356164383561644,69,0.9452054794520548,0,0.0
J5,U2,73,42,0,0,0.1643835616438356,0.0,0.1643835616438356,0.0,0.0,0.0,0.1643835616438356,0.25211434674690064,1.0,31,0.4246575342465753,62,0.8493150684931506,68,0.9315068493150684,0,0.0
