rule_a,rule_b,cases,active_cases_a,active_cases_b,both_active_cases,mean_a,mean_b,prevalence_gap,pearson,spearman,cosine,mae,rmse,max_abs_diff,exact_same_cases,exact_same_rate,within_20pp_cases,within_20pp_rate,within_40pp_cases,within_40pp_rate,both_variable_cases,profile_score
J3,J4,78,2,2,2,0.005128205128205128,0.005128205128205128,0.0,1.0,1.0,0.9999999999999998,0.0,0.0,0.0,78,1.0,78,1.0,78,1.0,2,1.0
J3,J5,78,2,2,2,0.005128205128205128,0.005128205128205128,0.0,1.0,1.0,0.9999999999999998,0.0,0.0,0.0,78,1.0,78,1.0,78,1.0,2,1.0
J4,J5,78,2,2,2,0.005128205128205128,0.005128205128205128,0.0,1.0,1.0,0.9999999999999998,0.0,0.0,0.0,78,1.0,78,1.0,78,1.0,2,1.0
J1,J2,78,11,6,6,0.03333333333333334,0.015384615384615387,0.017948717948717954,0.6619684638946264,0.7094505283397746,0.693103280083672,0.01794871794871795,0.06793662204867576,0.4,72,0.9230769230769231,77,0.9871794871794872,78,1.0,6,0.6500869786452356
J2,J3,78,6,2,2,0.015384615384615387,0.005128205128205128,0.010256410256410258,0.5619514869490186,0.5619514869490164,0.5773502691896257,0.010256410256410256,0.04529108136578384,0.2,74,0.9487179487179487,78,1.0,78,1.0,2,0.5561878819546697
J2,J4,78,6,2,2,0.015384615384615387,0.005128205128205128,0.010256410256410258,0.5619514869490186,0.5619514869490164,0.5773502691896257,0.010256410256410256,0.04529108136578384,0.2,74,0.9487179487179487,78,1.0,78,1.0,2,0.5561878819546697
J2,J5,78,6,2,2,0.015384615384615387,0.005128205128205128,0.010256410256410258,0.5619514869490186,0.5619514869490164,0.5773502691896257,0.010256410256410256,0.04529108136578384,0.2,74,0.9487179487179487,78,1.0,78,1.0,2,0.5561878819546697
U1,U3,78,76,65,65,0.6448717948717948,0.35662393162393163,0.28824786324786317,0.5934928976585749,0.5903883983251247,0.8927505997078169,0.2882478632478632,0.3648605478442679,1.0,17,0.21794871794871795,39,0.5,67,0.8589743589743589,50,0.42241983805570793
U1,U4,78,76,68,68,0.6448717948717948,0.36047008547008547,0.28440170940170934,0.5241246746782119,0.5114458818494799,0.8862481751300361,0.2844017094017094,0.3709587562794533,1.0,21,0.2692307692307692,38,0.48717948717948717,65,0.8333333333333334,53,0.3750627212601136
H1,U3,78,52,65,51,0.22799145299145296,0.35662393162393163,0.12863247863247868,0.4553516396946216,0.5519461643952025,0.778975760676794,0.19017094017094016,0.2708275804780199,1.0,29,0.3717948717948718,59,0.7564102564102564,73,0.9358974358974359,49,0.3687569902655162
H1,U1,78,52,76,52,0.22799145299145296,0.6448717948717948,0.41688034188034184,0.5459749845119595,0.568024182721229,0.815832860229601,0.41688034188034184,0.47416518333026214,1.0,6,0.07692307692307693,24,0.3076923076923077,50,0.6410256410256411,37,0.31836874631049944
J1,J3,78,11,2,2,0.03333333333333334,0.005128205128205128,0.028205128205128212,0.30999513549911945,0.3877405085629617,0.34299717028501764,0.02820512820512821,0.08770580193070293,0.4,69,0.8846153846153846,76,0.9743589743589743,78,1.0,2,0.3012516829594007
J1,J4,78,11,2,2,0.03333333333333334,0.005128205128205128,0.028205128205128212,0.30999513549911945,0.3877405085629617,0.34299717028501764,0.02820512820512821,0.08770580193070293,0.4,69,0.8846153846153846,76,0.9743589743589743,78,1.0,2,0.3012516829594007
