rule_a,rule_b,cases,active_cases_a,active_cases_b,both_active_cases,mean_a,mean_b,prevalence_gap,pearson,spearman,cosine,mae,rmse,max_abs_diff,exact_same_cases,exact_same_rate,within_20pp_cases,within_20pp_rate,within_40pp_cases,within_40pp_rate,both_variable_cases,profile_score
J1,J2,26,9,3,3,0.06923076923076923,0.02307692307692308,0.046153846153846156,0.49636358810271636,0.4963635881027162,0.5773502691896257,0.04615384615384616,0.09607689228305229,0.2,20,0.7692307692307693,26,1.0,26,1.0,3,0.4734544994210525
H1,U3,26,25,22,22,0.4538461538461539,0.37692307692307686,0.07692307692307704,0.44183204934851017,0.4506738586771775,0.8586374717026141,0.2153846153846154,0.2601774542351964,0.6000000000000001,5,0.19230769230769232,17,0.6538461538461539,25,0.9615384615384616,21,0.34666822333498487
U1,U4,26,25,23,23,0.8153846153846154,0.4,0.41538461538461535,0.5297941281118717,0.5168994356659787,0.897996924659039,0.41538461538461535,0.47393605540767275,1.0,2,0.07692307692307693,5,0.19230769230769232,17,0.6538461538461539,13,0.30972579797309424
J1,J3,26,9,1,1,0.06923076923076923,0.007692307692307693,0.06153846153846154,0.27487370837451097,0.2748737083745107,0.3333333333333333,0.06153846153846154,0.11094003924504584,0.2,18,0.6923076923076923,26,1.0,26,1.0,1,0.25795840324377184
U1,U3,26,25,22,22,0.8153846153846154,0.37692307692307686,0.4384615384615385,0.44873307761236475,0.3498184254816884,0.8742288714332641,0.43846153846153857,0.503831473655779,1.0,2,0.07692307692307693,5,0.19230769230769232,18,0.6923076923076923,12,0.2519808820438663
H1,U1,26,25,25,25,0.4538461538461539,0.8153846153846154,0.3615384615384615,0.34235238070007085,0.16052363776389042,0.9033360596125537,0.37692307692307686,0.44549022263293103,0.8,4,0.15384615384615385,7,0.2692307692307692,15,0.5769230769230769,14,0.21331186797465954
J3,U4,26,1,23,1,0.007692307692307693,0.4,0.39230769230769236,0.33086807674740454,0.31512990845963224,0.3356725433186756,0.3923076923076922,0.45573271518765,0.8,3,0.11538461538461539,10,0.38461538461538464,16,0.6153846153846154,1,0.20106598510034585
J1,U4,26,9,23,9,0.06923076923076923,0.4,0.3307692307692308,0.20061823949625276,0.18276793966845484,0.5874269508076821,0.33076923076923076,0.40950251243711283,0.8,7,0.2692307692307692,10,0.38461538461538464,19,0.7307692307692307,9,0.13425989873979993
J2,U3,26,3,22,2,0.02307692307692308,0.37692307692307686,0.35384615384615375,0.13291085999601904,0.13190780709868016,0.3531032906137227,0.3692307692307692,0.4296689244236598,0.8,3,0.11538461538461539,10,0.38461538461538464,19,0.7307692307692307,2,0.08383608092056585
S1,U4,26,26,23,23,0.9923076923076923,0.4,0.5923076923076923,0.16543403837370219,0.17811690478153125,0.8584728744754525,0.5923076923076924,0.6385078759829887,1.0,0,0.0,3,0.11538461538461539,10,0.38461538461538464,1,0.06744618487543241
S1,U3,26,26,22,22,0.9923076923076923,0.37692307692307686,0.6153846153846154,0.14510246851159775,0.16435628072266364,0.8420253445579424,0.6153846153846154,0.6610015710443334,1.0,0,0.0,3,0.11538461538461539,8,0.3076923076923077,1,0.0558086417352299
S1,U1,26,26,25,25,0.9923076923076923,0.8153846153846154,0.17692307692307696,0.013483997249264829,0.08591684043324421,0.9624180755202004,0.1769230769230769,0.2908872369413698,1.0,12,0.46153846153846156,21,0.8076923076923077,24,0.9230769230769231,1,0.01109836696670259
J2,S1,26,3,26,3,0.02307692307692308,0.9923076923076923,0.9692307692307692,0.07223151185146152,0.07223151185146152,0.34205946878753035,0.9692307692307692,0.9719132598207438,1.0,0,0.0,0,0.0,0,0.0,0,0.0022225080569680472
J3,S1,26,1,26,1,0.007692307692307693,0.9923076923076923,0.9846153846153847,0.040000000000000015,0.04000000000000001,0.19748812638334107,0.9846153846153847,0.9860566374745886,1.0,0,0.0,0,0.0,0,0.0,0,0.0006153846153846135
F1,F2,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1.0,26,1.0,26,1.0,0,0.0
F1,F3,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1.0,26,1.0,26,1.0,0,0.0
F1,J4,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1.0,26,1.0,26,1.0,0,0.0
F1,J5,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1.0,26,1.0,26,1.0,0,0.0
F1,U2,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1.0,26,1.0,26,1.0,0,0.0
F2,F3,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1.0,26,1.0,26,1.0,0,0.0
F2,J4,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1.0,26,1.0,26,1.0,0,0.0
F2,J5,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1.0,26,1.0,26,1.0,0,0.0
F2,U2,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1.0,26,1.0,26,1.0,0,0.0
F3,J4,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1.0,26,1.0,26,1.0,0,0.0
F3,J5,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1.0,26,1.0,26,1.0,0,0.0
F3,U2,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1.0,26,1.0,26,1.0,0,0.0
J4,J5,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1.0,26,1.0,26,1.0,0,0.0
J4,U2,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1.0,26,1.0,26,1.0,0,0.0
J5,U2,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,1.0,26,1.0,26,1.0,0,0.0
F1,J3,26,0,1,0,0.0,0.007692307692307693,0.007692307692307693,0.0,0.0,0.0,0.007692307692307693,0.03922322702763681,0.2,25,0.9615384615384616,26,1.0,26,1.0,0,0.0
F2,J3,26,0,1,0,0.0,0.007692307692307693,0.007692307692307693,0.0,0.0,0.0,0.007692307692307693,0.03922322702763681,0.2,25,0.9615384615384616,26,1.0,26,1.0,0,0.0
F3,J3,26,0,1,0,0.0,0.007692307692307693,0.007692307692307693,0.0,0.0,0.0,0.007692307692307693,0.03922322702763681,0.2,25,0.9615384615384616,26,1.0,26,1.0,0,0.0
J3,J4,26,1,0,0,0.007692307692307693,0.0,0.007692307692307693,0.0,0.0,0.0,0.007692307692307693,0.03922322702763681,0.2,25,0.9615384615384616,26,1.0,26,1.0,0,0.0
J3,J5,26,1,0,0,0.007692307692307693,0.0,0.007692307692307693,0.0,0.0,0.0,0.007692307692307693,0.03922322702763681,0.2,25,0.9615384615384616,26,1.0,26,1.0,0,0.0
J3,U2,26,1,0,0,0.007692307692307693,0.0,0.007692307692307693,0.0,0.0,0.0,0.007692307692307693,0.03922322702763681,0.2,25,0.9615384615384616,26,1.0,26,1.0,0,0.0
F1,J2,26,0,3,0,0.0,0.02307692307692308,0.02307692307692308,0.0,0.0,0.0,0.02307692307692308,0.06793662204867576,0.2,23,0.8846153846153846,26,1.0,26,1.0,0,0.0
F2,J2,26,0,3,0,0.0,0.02307692307692308,0.02307692307692308,0.0,0.0,0.0,0.02307692307692308,0.06793662204867576,0.2,23,0.8846153846153846,26,1.0,26,1.0,0,0.0
F3,J2,26,0,3,0,0.0,0.02307692307692308,0.02307692307692308,0.0,0.0,0.0,0.02307692307692308,0.06793662204867576,0.2,23,0.8846153846153846,26,1.0,26,1.0,0,0.0
J2,J4,26,3,0,0,0.02307692307692308,0.0,0.02307692307692308,0.0,0.0,0.0,0.02307692307692308,0.06793662204867576,0.2,23,0.8846153846153846,26,1.0,26,1.0,0,0.0
J2,J5,26,3,0,0,0.02307692307692308,0.0,0.02307692307692308,0.0,0.0,0.0,0.02307692307692308,0.06793662204867576,0.2,23,0.8846153846153846,26,1.0,26,1.0,0,0.0
J2,U2,26,3,0,0,0.02307692307692308,0.0,0.02307692307692308,0.0,0.0,0.0,0.02307692307692308,0.06793662204867576,0.2,23,0.8846153846153846,26,1.0,26,1.0,0,0.0
F1,J1,26,0,9,0,0.0,0.06923076923076923,0.06923076923076923,0.0,0.0,0.0,0.06923076923076923,0.11766968108291044,0.2,17,0.6538461538461539,26,1.0,26,1.0,0,0.0
F2,J1,26,0,9,0,0.0,0.06923076923076923,0.06923076923076923,0.0,0.0,0.0,0.06923076923076923,0.11766968108291044,0.2,17,0.6538461538461539,26,1.0,26,1.0,0,0.0
F3,J1,26,0,9,0,0.0,0.06923076923076923,0.06923076923076923,0.0,0.0,0.0,0.06923076923076923,0.11766968108291044,0.2,17,0.6538461538461539,26,1.0,26,1.0,0,0.0
J1,J4,26,9,0,0,0.06923076923076923,0.0,0.06923076923076923,0.0,0.0,0.0,0.06923076923076923,0.11766968108291044,0.2,17,0.6538461538461539,26,1.0,26,1.0,0,0.0
J1,J5,26,9,0,0,0.06923076923076923,0.0,0.06923076923076923,0.0,0.0,0.0,0.06923076923076923,0.11766968108291044,0.2,17,0.6538461538461539,26,1.0,26,1.0,0,0.0
J1,U2,26,9,0,0,0.06923076923076923,0.0,0.06923076923076923,0.0,0.0,0.0,0.06923076923076923,0.11766968108291044,0.2,17,0.6538461538461539,26,1.0,26,1.0,0,0.0
F1,U3,26,0,22,0,0.0,0.37692307692307686,0.37692307692307686,0.0,0.0,0.0,0.37692307692307686,0.44893035265891923,0.8,4,0.15384615384615385,10,0.38461538461538464,18,0.6923076923076923,0,0.0
F2,U3,26,0,22,0,0.0,0.37692307692307686,0.37692307692307686,0.0,0.0,0.0,0.37692307692307686,0.44893035265891923,0.8,4,0.15384615384615385,10,0.38461538461538464,18,0.6923076923076923,0,0.0
F3,U3,26,0,22,0,0.0,0.37692307692307686,0.37692307692307686,0.0,0.0,0.0,0.37692307692307686,0.44893035265891923,0.8,4,0.15384615384615385,10,0.38461538461538464,18,0.6923076923076923,0,0.0
J4,U3,26,0,22,0,0.0,0.37692307692307686,0.37692307692307686,0.0,0.0,0.0,0.37692307692307686,0.44893035265891923,0.8,4,0.15384615384615385,10,0.38461538461538464,18,0.6923076923076923,0,0.0
J5,U3,26,0,22,0,0.0,0.37692307692307686,0.37692307692307686,0.0,0.0,0.0,0.37692307692307686,0.44893035265891923,0.8,4,0.15384615384615385,10,0.38461538461538464,18,0.6923076923076923,0,0.0
U2,U3,26,0,22,0,0.0,0.37692307692307686,0.37692307692307686,0.0,0.0,0.0,0.37692307692307686,0.44893035265891923,0.8,4,0.15384615384615385,10,0.38461538461538464,18,0.6923076923076923,0,0.0
F1,U4,26,0,23,0,0.0,0.4,0.4,0.0,0.0,0.0,0.4,0.4673986932604096,0.8,3,0.11538461538461539,10,0.38461538461538464,16,0.6153846153846154,0,0.0
F2,U4,26,0,23,0,0.0,0.4,0.4,0.0,0.0,0.0,0.4,0.4673986932604096,0.8,3,0.11538461538461539,10,0.38461538461538464,16,0.6153846153846154,0,0.0
F3,U4,26,0,23,0,0.0,0.4,0.4,0.0,0.0,0.0,0.4,0.4673986932604096,0.8,3,0.11538461538461539,10,0.38461538461538464,16,0.6153846153846154,0,0.0
J4,U4,26,0,23,0,0.0,0.4,0.4,0.0,0.0,0.0,0.4,0.4673986932604096,0.8,3,0.11538461538461539,10,0.38461538461538464,16,0.6153846153846154,0,0.0
J5,U4,26,0,23,0,0.0,0.4,0.4,0.0,0.0,0.0,0.4,0.4673986932604096,0.8,3,0.11538461538461539,10,0.38461538461538464,16,0.6153846153846154,0,0.0
U2,U4,26,0,23,0,0.0,0.4,0.4,0.0,0.0,0.0,0.4,0.4673986932604096,0.8,3,0.11538461538461539,10,0.38461538461538464,16,0.6153846153846154,0,0.0
F1,H1,26,0,25,0,0.0,0.4538461538461539,0.4538461538461539,0.0,0.0,0.0,0.4538461538461539,0.5068758002934022,1.0,1,0.038461538461538464,6,0.23076923076923078,17,0.6538461538461539,0,0.0
F2,H1,26,0,25,0,0.0,0.4538461538461539,0.4538461538461539,0.0,0.0,0.0,0.4538461538461539,0.5068758002934022,1.0,1,0.038461538461538464,6,0.23076923076923078,17,0.6538461538461539,0,0.0
F3,H1,26,0,25,0,0.0,0.4538461538461539,0.4538461538461539,0.0,0.0,0.0,0.4538461538461539,0.5068758002934022,1.0,1,0.038461538461538464,6,0.23076923076923078,17,0.6538461538461539,0,0.0
H1,J4,26,25,0,0,0.4538461538461539,0.0,0.4538461538461539,0.0,0.0,0.0,0.4538461538461539,0.5068758002934022,1.0,1,0.038461538461538464,6,0.23076923076923078,17,0.6538461538461539,0,0.0
H1,J5,26,25,0,0,0.4538461538461539,0.0,0.4538461538461539,0.0,0.0,0.0,0.4538461538461539,0.5068758002934022,1.0,1,0.038461538461538464,6,0.23076923076923078,17,0.6538461538461539,0,0.0
H1,U2,26,25,0,0,0.4538461538461539,0.0,0.4538461538461539,0.0,0.0,0.0,0.4538461538461539,0.5068758002934022,1.0,1,0.038461538461538464,6,0.23076923076923078,17,0.6538461538461539,0,0.0
F1,U1,26,0,25,0,0.0,0.8153846153846154,0.8153846153846154,0.0,0.0,0.0,0.8153846153846154,0.8467131018964317,1.0,1,0.038461538461538464,1,0.038461538461538464,2,0.07692307692307693,0,0.0
F2,U1,26,0,25,0,0.0,0.8153846153846154,0.8153846153846154,0.0,0.0,0.0,0.8153846153846154,0.8467131018964317,1.0,1,0.038461538461538464,1,0.038461538461538464,2,0.07692307692307693,0,0.0
F3,U1,26,0,25,0,0.0,0.8153846153846154,0.8153846153846154,0.0,0.0,0.0,0.8153846153846154,0.8467131018964317,1.0,1,0.038461538461538464,1,0.038461538461538464,2,0.07692307692307693,0,0.0
J4,U1,26,0,25,0,0.0,0.8153846153846154,0.8153846153846154,0.0,0.0,0.0,0.8153846153846154,0.8467131018964317,1.0,1,0.038461538461538464,1,0.038461538461538464,2,0.07692307692307693,0,0.0
J5,U1,26,0,25,0,0.0,0.8153846153846154,0.8153846153846154,0.0,0.0,0.0,0.8153846153846154,0.8467131018964317,1.0,1,0.038461538461538464,1,0.038461538461538464,2,0.07692307692307693,0,0.0
U1,U2,26,25,0,0,0.8153846153846154,0.0,0.8153846153846154,0.0,0.0,0.0,0.8153846153846154,0.8467131018964317,1.0,1,0.038461538461538464,1,0.038461538461538464,2,0.07692307692307693,0,0.0
F1,S1,26,0,26,0,0.0,0.9923076923076923,0.9923076923076923,0.0,0.0,0.0,0.9923076923076923,0.9930527912220206,1.0,0,0.0,0,0.0,0,0.0,0,0.0
F2,S1,26,0,26,0,0.0,0.9923076923076923,0.9923076923076923,0.0,0.0,0.0,0.9923076923076923,0.9930527912220206,1.0,0,0.0,0,0.0,0,0.0,0,0.0
F3,S1,26,0,26,0,0.0,0.9923076923076923,0.9923076923076923,0.0,0.0,0.0,0.9923076923076923,0.9930527912220206,1.0,0,0.0,0,0.0,0,0.0,0,0.0
J4,S1,26,0,26,0,0.0,0.9923076923076923,0.9923076923076923,0.0,0.0,0.0,0.9923076923076923,0.9930527912220206,1.0,0,0.0,0,0.0,0,0.0,0,0.0
J5,S1,26,0,26,0,0.0,0.9923076923076923,0.9923076923076923,0.0,0.0,0.0,0.9923076923076923,0.9930527912220206,1.0,0,0.0,0,0.0,0,0.0,0,0.0
S1,U2,26,26,0,0,0.9923076923076923,0.0,0.9923076923076923,0.0,0.0,0.0,0.9923076923076923,0.9930527912220206,1.0,0,0.0,0,0.0,0,0.0,0,0.0
J3,U1,26,1,25,1,0.007692307692307693,0.8153846153846154,0.8076923076923077,-0.01348399724926483,-0.08591684043324421,0.18529642184483178,0.8076923076923078,0.8403296056630672,1.0,1,0.038461538461538464,1,0.038461538461538464,2,0.07692307692307693,1,-0.002593076394089389
J1,S1,26,9,26,9,0.06923076923076923,0.9923076923076923,0.9230769230769231,-0.2748737083745107,-0.2748737083745107,0.5792985040578003,0.9230769230769231,0.9298469683853278,1.0,0,0.0,0,0.0,0,0.0,1,-0.021144131413423885
J2,U1,26,3,25,3,0.02307692307692308,0.8153846153846154,0.7923076923076923,-0.1298626009487131,-0.12067034151655014,0.2941975823379672,0.7923076923076925,0.8292721553822411,1.0,1,0.038461538461538464,2,0.07692307692307693,2,0.07692307692307693,2,-0.026971463273963468
J1,U1,26,9,25,9,0.06923076923076923,0.8153846153846154,0.7461538461538462,-0.11991282236408352,-0.2431087702822773,0.5404478970474261,0.7461538461538463,0.7893522173763263,1.0,1,0.038461538461538464,2,0.07692307692307693,3,0.11538461538461539,7,-0.030439408753959646
H1,J2,26,25,3,3,0.4538461538461539,0.02307692307692308,0.4307692307692308,-0.08615751684814256,-0.07572986854312726,0.2680602309652621,0.4307692307692308,0.49302831873729436,1.0,2,0.07692307692307693,7,0.2692307692307692,18,0.6923076923076923,3,-0.04904350959048115
J2,U4,26,3,23,3,0.02307692307692308,0.4,0.3769230769230769,-0.09957958919521011,-0.10721377765560682,0.24225079155575452,0.37692307692307686,0.45573271518765,0.8,5,0.19230769230769232,10,0.38461538461538464,17,0.6538461538461539,3,-0.06204574403701553
J2,J3,26,3,1,0,0.02307692307692308,0.007692307692307693,0.015384615384615389,-0.0722315118514616,-0.07223151185146152,0.0,0.03076923076923077,0.07844645405527362,0.2,22,0.8461538461538461,26,1.0,26,1.0,0,-0.07000900379449354
U3,U4,26,22,23,20,0.37692307692307686,0.4,0.02307692307692316,-0.10436907540811552,-0.08552869557301399,0.6892043875970488,0.2692307692307693,0.3616202853397895,0.8,7,0.2692307692307692,16,0.6153846153846154,21,0.8076923076923077,20,-0.07626970895208442
H1,J3,26,25,1,1,0.4538461538461539,0.007692307692307693,0.44615384615384623,-0.22492739827502903,-0.2656029140076402,0.07738232325341368,0.44615384615384623,0.505355929404826,1.0,2,0.07692307692307693,6,0.23076923076923078,17,0.6538461538461539,1,-0.12457517442924683
H1,S1,26,25,26,25,0.4538461538461539,0.9923076923076923,0.5384615384615384,-0.30671917946594873,-0.29356111548212854,0.8894176400082906,0.5384615384615384,0.5896543968226708,1.0,2,0.07692307692307693,4,0.15384615384615385,9,0.34615384615384615,1,-0.14156269821505327
H1,J1,26,25,9,9,0.4538461538461539,0.06923076923076923,0.3846153846153847,-0.24521256234496472,-0.2881865444540381,0.43849983176934426,0.38461538461538464,0.4673986932604096,1.0,5,0.19230769230769232,9,0.34615384615384615,18,0.6923076923076923,9,-0.15090003836613214
J1,U3,26,9,22,6,0.06923076923076923,0.37692307692307686,0.3076923076923076,-0.26266879298274215,-0.2657483551581215,0.37860509121978303,0.35384615384615387,0.41878946427126773,0.8,3,0.11538461538461539,12,0.46153846153846156,19,0.7307692307692307,6,-0.1697244508503872
J3,U3,26,1,22,0,0.007692307692307693,0.37692307692307686,0.36923076923076914,-0.30913134595949077,-0.30131984799155,0.0,0.38461538461538464,0.45064056971928645,0.8,3,0.11538461538461539,10,0.38461538461538464,18,0.6923076923076923,0,-0.1902346744366097
H1,U4,26,25,23,23,0.4538461538461539,0.4,0.05384615384615388,-0.4510381556064015,-0.45415150193045123,0.6623655919867222,0.3,0.4019184762342502,1.0,7,0.2692307692307692,15,0.5769230769230769,20,0.7692307692307693,23,-0.315726708924481
