rule_a,rule_b,cases,active_cases_a,active_cases_b,both_active_cases,mean_a,mean_b,prevalence_gap,pearson,spearman,cosine,mae,rmse,max_abs_diff,exact_same_cases,exact_same_rate,within_20pp_cases,within_20pp_rate,within_40pp_cases,within_40pp_rate,both_variable_cases,profile_score
J3,J4,125,10,7,7,0.016,0.011200000000000002,0.004799999999999999,0.8259560459434315,0.8259560459434319,0.8366600265340753,0.0048000000000000004,0.03098386676965934,0.2,122,0.976,125,1.0,125,1.0,7,0.821991456922903
J4,J5,125,7,8,6,0.011200000000000002,0.0128,0.001599999999999999,0.7892807711302738,0.7892807711302742,0.8017837257372731,0.0048000000000000004,0.03098386676965934,0.2,122,0.976,125,1.0,125,1.0,6,0.7854922234288485
J3,J5,125,10,8,7,0.016,0.0128,0.0031999999999999997,0.7662672848552687,0.7662672848552684,0.7826237921249263,0.0064,0.03577708763999664,0.2,121,0.968,125,1.0,125,1.0,7,0.761363174232195
J1,J2,125,21,13,13,0.034,0.021200000000000004,0.012799999999999999,0.7655953886833655,0.762878441991465,0.7930860654723274,0.0128,0.05059644256269408,0.2,117,0.936,125,1.0,125,1.0,13,0.7557957677082184
J2,J5,125,13,8,8,0.021200000000000004,0.0128,0.008400000000000003,0.749572281562491,0.7603408210423331,0.7680245771797108,0.008400000000000001,0.042190046219457975,0.25,120,0.96,124,0.992,125,1.0,8,0.7432758743973661
J1,J3,125,21,10,10,0.034,0.016,0.018000000000000002,0.6458801719827693,0.6494237566337467,0.6810052246069989,0.018,0.0608276253029822,0.25,114,0.912,124,0.992,125,1.0,10,0.6342543288870794
J2,J4,125,13,7,6,0.021200000000000004,0.011200000000000002,0.010000000000000002,0.5866167981027874,0.595191093339619,0.6157896069489425,0.0132,0.0523450093132096,0.25,117,0.936,124,0.992,125,1.0,6,0.5788734563678306
J1,J5,125,21,8,8,0.034,0.0128,0.021200000000000004,0.5727339598351245,0.5758762319735217,0.6091095901015048,0.021200000000000004,0.06587867636800242,0.25,112,0.896,124,0.992,125,1.0,8,0.5605919998866199
J2,J3,125,13,10,7,0.021200000000000004,0.016,0.005200000000000003,0.5616444372091282,0.5700864355600631,0.6010743070375284,0.0148,0.05531726674375733,0.25,116,0.928,124,0.992,125,1.0,7,0.553332099538433
J1,J4,125,21,7,7,0.034,0.011200000000000002,0.0228,0.5334686330041525,0.536395478170939,0.5697698492895357,0.0228,0.06826419266350406,0.25,111,0.888,124,0.992,125,1.0,7,0.5213055481716578
F1,F3,125,123,89,89,0.7865333333333333,0.31120000000000003,0.4753333333333333,0.45404638821473814,0.45221843457530264,0.8080113973849256,0.47853333333333326,0.5498868570492984,1.0,11,0.088,32,0.256,64,0.512,42,0.23677005657437883
F2,U4,125,124,123,123,0.9777333333333333,0.6565333333333332,0.32120000000000015,0.24575924971990612,0.14653919421302594,0.9443990961428739,0.3252,0.39721530685511103,1.0,21,0.168,58,0.464,101,0.808,7,0.16583834171099265
F1,U4,125,123,123,121,0.7865333333333333,0.6565333333333332,0.13000000000000012,0.1852384020165161,0.19386845610442036,0.9140933027743727,0.2612,0.34044089061098404,1.0,31,0.248,64,0.512,109,0.872,57,0.1368541314098021
U1,U3,125,125,125,125,0.9904000000000001,0.9249333333333334,0.06546666666666667,0.13184347076515202,0.1510329913762791,0.9911208824878841,0.07506666666666666,0.14124053557279115,0.6,85,0.68,116,0.928,124,0.992,3,0.12194642089304794
F1,U1,125,123,125,123,0.7865333333333333,0.9904000000000001,0.20386666666666675,0.1478921745183997,0.10004014617249299,0.9519663672361465,0.20706666666666668,0.325559347721562,1.0,56,0.448,90,0.72,109,0.872,3,0.11726863491478973
H1,J1,125,111,21,20,0.38386666666666674,0.034,0.34986666666666677,0.13652706795595437,0.14642338678140582,0.4121786394978705,0.3530666666666667,0.4275615615193781,1.0,17,0.136,56,0.448,96,0.768,19,0.08832391116297209
H1,J2,125,111,13,12,0.38386666666666674,0.021200000000000004,0.36266666666666675,0.13134728344767327,0.13914604313790552,0.33824833202751947,0.36586666666666673,0.43718290095666934,1.0,14,0.112,54,0.432,94,0.752,11,0.08329169067695119
F2,U3,125,124,125,124,0.9777333333333333,0.9249333333333334,0.05279999999999996,0.0801710826355306,0.12251117881091743,0.9872636824524125,0.08159999999999999,0.16099689437998485,1.0,83,0.664,119,0.952,124,0.992,4,0.0736291222924713
H1,J5,125,111,8,8,0.38386666666666674,0.0128,0.37106666666666677,0.09751841051339305,0.09825638466227242,0.2640743199476665,0.3710666666666667,0.4443747167525274,1.0,15,0.12,53,0.424,92,0.736,7,0.06133257898555667
F2,F3,125,124,89,89,0.9777333333333333,0.31120000000000003,0.6665333333333333,0.18175134670050844,0.20480723950535615,0.7608270248888243,0.6665333333333333,0.720427342315348,1.0,5,0.04,14,0.112,28,0.224,4,0.06060801574639622
U1,U4,125,125,123,123,0.9904000000000001,0.6565333333333332,0.33386666666666687,0.08974829614022932,0.030449435288186964,0.941092407746287,0.33386666666666664,0.40998644964058134,1.0,22,0.176,58,0.464,97,0.776,4,0.059784331668878095
F3,U4,125,89,123,88,0.31120000000000003,0.6565333333333332,0.34533333333333316,0.09699067541697771,0.115841421158772,0.7295405336498308,0.41573333333333334,0.486698629087401,1.0,13,0.104,38,0.304,81,0.648,68,0.056668418623626184
J2,S1,125,13,10,2,0.021200000000000004,0.019600000000000003,0.0016000000000000007,0.05133017270104017,0.08648930602479936,0.13344342323468364,0.03440000000000001,0.0914330356052997,0.4,106,0.848,121,0.968,125,1.0,2,0.04956441476012439
