rule_a,rule_b,cases,active_cases_a,active_cases_b,both_active_cases,mean_a,mean_b,prevalence_gap,pearson,spearman,cosine,mae,rmse,max_abs_diff,exact_same_cases,exact_same_rate,within_20pp_cases,within_20pp_rate,within_40pp_cases,within_40pp_rate,both_variable_cases,profile_score
J4,J5,104,2,2,2,0.0038461538461538464,0.0038461538461538464,0.0,1.0,1.0,0.9999999999999998,0.0,0.0,0.0,104,1.0,104,1.0,104,1.0,2,1.0
J3,J4,104,3,2,2,0.00576923076923077,0.0038461538461538464,0.001923076923076924,0.8124842884353181,0.8124842884353201,0.8164965809277259,0.0019230769230769232,0.019611613513818404,0.2,103,0.9903846153846154,104,1.0,104,1.0,2,0.8109218186498656
J3,J5,104,3,2,2,0.00576923076923077,0.0038461538461538464,0.001923076923076924,0.8124842884353181,0.8124842884353201,0.8164965809277259,0.0019230769230769232,0.019611613513818404,0.2,103,0.9903846153846154,104,1.0,104,1.0,2,0.8109218186498656
J1,J2,104,20,9,9,0.04230769230769231,0.01730769230769231,0.025,0.6111566573541111,0.6311586064087551,0.6537204504606136,0.025,0.075955452531275,0.4,92,0.8846153846153846,103,0.9903846153846154,104,1.0,9,0.5958777409202582
J2,J4,104,9,2,2,0.01730769230769231,0.0038461538461538464,0.013461538461538462,0.45494140013842677,0.45494140013842754,0.47140452079103157,0.01346153846153846,0.05188745216627708,0.2,97,0.9326923076923077,104,1.0,104,1.0,2,0.4488171889827172
J2,J5,104,9,2,2,0.01730769230769231,0.0038461538461538464,0.013461538461538462,0.45494140013842677,0.45494140013842754,0.47140452079103157,0.01346153846153846,0.05188745216627708,0.2,97,0.9326923076923077,104,1.0,104,1.0,2,0.4488171889827172
U1,U3,104,101,87,87,0.6875,0.361698717948718,0.325801282051282,0.5459373194961242,0.5239232944438009,0.8849256435618352,0.3258012820512821,0.40410883805164793,1.0,19,0.18269230769230768,44,0.4230769230769231,85,0.8173076923076923,62,0.3680702408846465
U1,U4,104,101,91,91,0.6875,0.3703525641025641,0.3171474358974359,0.5220510177258948,0.5146127384498771,0.8886392517089721,0.3171474358974359,0.3992012591402303,1.0,23,0.22115384615384615,43,0.41346153846153844,82,0.7884615384615384,66,0.3564838760464804
J2,J3,104,9,3,2,0.01730769230769231,0.00576923076923077,0.011538461538461539,0.35561019497950086,0.3556101949795,0.38490017945975047,0.015384615384615385,0.05547001962252292,0.2,96,0.9230769230769231,104,1.0,104,1.0,2,0.35013926890289315
H1,U3,104,77,87,73,0.28445512820512825,0.361698717948718,0.07724358974358975,0.4264106385228236,0.48560423672510855,0.7898536594466476,0.196474358974359,0.2682046992201305,1.0,34,0.3269230769230769,76,0.7307692307692307,98,0.9423076923076923,70,0.3426318816592048
