rule_a,rule_b,cases,active_cases_a,active_cases_b,both_active_cases,mean_a,mean_b,prevalence_gap,pearson,spearman,cosine,mae,rmse,max_abs_diff,exact_same_cases,exact_same_rate,within_20pp_cases,within_20pp_rate,within_40pp_cases,within_40pp_rate,both_variable_cases,profile_score
J3,J4,198,54,48,48,0.07575757575757576,0.06666666666666667,0.009090909090909094,0.9490708035256747,0.9280682508382112,0.9585225256084311,0.009090909090909092,0.047140452079103175,0.4,190,0.9595959595959596,197,0.9949494949494949,198,1.0,47,0.9404428871299868
J1,J2,198,72,62,62,0.11136363636363635,0.09116161616161615,0.020202020202020193,0.9368537362316935,0.9178997047390393,0.9524067021958429,0.020202020202020204,0.06666666666666668,0.4,179,0.9040404040404041,197,0.9949494949494949,198,1.0,61,0.9179273981260028
J3,J5,198,54,50,48,0.07575757575757576,0.06868686868686869,0.007070707070707075,0.9098862537363753,0.9015069451624099,0.9274777915203366,0.017171717171717175,0.06195469181897235,0.4,182,0.9191919191919192,197,0.9949494949494949,198,1.0,47,0.894261944328781
J4,J5,198,48,50,46,0.06666666666666667,0.06868686868686869,0.0020202020202020193,0.8995001483952684,0.9115794942368486,0.9181561700975344,0.01616161616161616,0.06356417261637282,0.4,184,0.9292929292929293,196,0.98989898989899,198,1.0,45,0.8849627722595873
J2,J5,198,62,50,50,0.09116161616161615,0.06868686868686869,0.022474747474747467,0.8849798129100127,0.8706057175937062,0.9076560611211149,0.026515151515151516,0.07857634774054101,0.4,174,0.8787878787878788,195,0.9848484848484849,198,1.0,49,0.8615144390828533
J2,J4,198,62,48,47,0.09116161616161615,0.06666666666666667,0.024494949494949486,0.851668482965038,0.8239846863114839,0.8807205817564112,0.030555555555555555,0.08826326552084986,0.6,171,0.8636363636363636,195,0.9848484848484849,197,0.9949494949494949,46,0.8256452793188841
J2,J3,198,62,54,51,0.09116161616161615,0.07575757575757576,0.015404040404040392,0.8412976279403991,0.8360305572542609,0.8764819568977681,0.03156565656565657,0.08940035929695275,0.6,170,0.8585858585858586,195,0.9848484848484849,197,0.9949494949494949,50,0.8147415159473309
J1,J3,198,72,54,54,0.11136363636363635,0.07575757575757576,0.035606060606060586,0.8181720831406827,0.8227646089501591,0.8595940261626733,0.03964646464646465,0.1096942490873076,0.6000000000000001,167,0.8434343434343434,191,0.9646464646464646,196,0.98989898989899,53,0.7857344525717213
J1,J5,198,72,50,50,0.11136363636363635,0.06868686868686869,0.04267676767676766,0.8097780676602206,0.79445660125439,0.8487548609459628,0.04671717171717172,0.11420564475072716,0.6000000000000001,160,0.8080808080808081,190,0.9595959595959596,197,0.9949494949494949,49,0.7719475266205387
J1,J4,198,72,48,48,0.11136363636363635,0.06666666666666667,0.04469696969696968,0.8056296679992542,0.7749701277137049,0.8444276936119739,0.04469696969696971,0.11596106974743593,0.6000000000000001,163,0.8232323232323232,190,0.9595959595959596,196,0.98989898989899,47,0.7696204631417117
F1,F3,198,194,144,144,0.8167508417508417,0.3237373737373737,0.49301346801346796,0.49733006263045343,0.5291912808631924,0.8261583305694807,0.4950336700336701,0.5573972000362984,1.0,13,0.06565656565656566,45,0.22727272727272727,94,0.47474747474747475,55,0.25113493650842506
H1,J2,198,184,62,61,0.49890572390572396,0.09116161616161615,0.4077441077441078,0.342049462340169,0.3734834785475509,0.5739623331615181,0.41380471380471384,0.4878892442989304,1.0,20,0.10101010101010101,72,0.36363636363636365,127,0.6414141414141414,50,0.2005077824694391
H1,J3,198,184,54,54,0.49890572390572396,0.07575757575757576,0.4231481481481482,0.34375825329836046,0.37066269699581095,0.5492662010634609,0.4251683501683502,0.49890592983426596,1.0,19,0.09595959595959595,67,0.3383838383838384,126,0.6363636363636364,45,0.19760312388674273
H1,J1,198,184,72,71,0.49890572390572396,0.11136363636363635,0.38754208754208763,0.3272436356834414,0.3601416891859689,0.5943638703228663,0.39764309764309774,0.47572969529493286,1.0,25,0.12626262626262627,73,0.3686868686868687,133,0.6717171717171717,60,0.19711746270628838
H1,J5,198,184,50,50,0.49890572390572396,0.06868686868686869,0.4302188552188553,0.34073342123540723,0.3736235977844677,0.5283369137817269,0.4322390572390573,0.5047432145976599,1.0,17,0.08585858585858586,67,0.3383838383838384,122,0.6161616161616161,41,0.19345512847077623
H1,J4,198,184,48,48,0.49890572390572396,0.06666666666666667,0.4322390572390573,0.32963892237500403,0.3667515719063334,0.5188645725132931,0.43425925925925934,0.5071389899294095,1.0,19,0.09595959595959595,64,0.32323232323232326,121,0.6111111111111112,39,0.18649016812141428
F1,U1,198,194,198,194,0.8167508417508417,0.993939393939394,0.17718855218855234,0.13847182161742372,0.09877760482159137,0.9584120139247742,0.17920875420875418,0.3012483380323082,1.0,102,0.5151515151515151,150,0.7575757575757576,178,0.898989898989899,3,0.11365645897234838
