target,n,target_support,prevalence,chosen_lambda,cv_mean_f1,cv_mean_logloss,cv_mean_accuracy,full_f1,full_accuracy,full_precision,full_recall,full_mismatches,nonzero,selected_features,iterations,class_weight
F2,1480,964,0.6513513513513514,0.0026677993265203275,0.9848910762859392,0.08671402801894561,0.9803071708992762,0.9849818746763335,0.9804054054054054,0.983453981385729,0.9865145228215768,29,6,S1 + F3 + U3 + F1 + U4 + J4,1500,balanced
U1,1480,1317,0.8898648648648648,0.00987091404249892,0.9820340176861917,0.1407737936065107,0.9684231996074102,0.9819439108720707,0.9682432432432433,0.9937791601866252,0.9703872437357631,47,8,U4 + H1 + U3 + J2 + F1 + J3 + F3 + J5,1500,balanced
S1,1480,514,0.3472972972972973,0.00192354391459856,0.972687842658928,0.08379599346502731,0.9817592166605325,0.9737098344693281,0.9817567567567568,0.9746588693957114,0.9727626459143969,27,10,F2 + F1 + U3 + U4 + H1 + J5 + J3 + J1 + U1 + J4,1500,balanced
J4,1480,68,0.04594594594594595,0.5,0.932024948735475,0.26338165282284887,0.9932502146975832,0.9315068493150686,0.9932432432432432,0.8717948717948718,1.0,10,1,J3,775,balanced
J3,1480,78,0.052702702702702706,0.5,0.932024948735475,0.3513498980955389,0.9932502146975832,0.9315068493150686,0.9932432432432432,1.0,0.8717948717948718,10,2,J4 + J5,538,balanced
F1,1480,800,0.5405405405405406,0.3605113577091053,0.8945862233689696,0.6640987051623413,0.8739384738068949,0.8935447338618348,0.8729729729729729,0.8167701863354038,0.98625,188,1,S1,58,balanced
J1,1480,132,0.0891891891891892,0.07025280792430623,0.8902005562875128,0.2511502308902814,0.9805494724573673,0.879668049792531,0.9804054054054054,0.9724770642201835,0.803030303030303,29,2,J2 + J3,421,balanced
U4,1480,762,0.5148648648648648,0.13513436116626068,0.8792690828879595,0.4932819193529208,0.882077582505214,0.8801652892561983,0.8824324324324324,0.9260869565217391,0.8385826771653543,174,2,H1 + U1,77,balanced
J2,1480,99,0.06689189189189189,0.5,0.8673520786613766,0.365725259496945,0.977770672310146,0.8571428571428571,0.9777027027027027,0.75,1.0,33,1,J1,509,balanced
U3,1480,1080,0.7297297297297297,0.036522591135626795,0.8671101683995712,0.41535745205282926,0.8169690835480308,0.8649975454099165,0.8141891891891891,0.9205851619644723,0.8157407407407408,275,5,F2 + U1 + S1 + J1 + H1,998,balanced
H1,1480,630,0.42567567567567566,0.0013869188565300285,0.8622564991399404,0.32985575231181435,0.8882791221935958,0.8661679135494597,0.8912162162162162,0.9092495636998255,0.8269841269841269,161,10,U4 + U1 + J3 + U3 + S1 + J4 + J5 + J2 + F1 + F3,1500,balanced
J5,1480,70,0.0472972972972973,0.5,0.8614388020377131,0.32118923278154177,0.9862605048460311,0.8783783783783784,0.9878378378378379,0.8333333333333334,0.9285714285714286,18,2,J3 + J2,660,balanced
F3,1480,318,0.21486486486486486,0.001,0.568409505287381,0.4809469189543677,0.6830402711323764,0.5740402193784279,0.6851351351351351,0.40463917525773196,0.9874213836477987,466,12,F1 + F2 + J3 + J4 + S1 + U4 + U3 + H1 + U1 + J2 + J5 + J1,1500,balanced
