rule_a,rule_b,n,n11,support_a,support_b,p_a,p_b,p_a_given_b,p_b_given_a,jaccard,phi
J3,J4,1480,68,78,68,0.052702702702702706,0.04594594594594595,1.0,0.8717948717948718,0.8717948717948718,0.9303873855284325
U1,U3,1480,1076,1317,1080,0.8898648648648648,0.7297297297297297,0.9962962962962963,0.8170083523158694,0.8145344436033308,0.5586332879381445
F1,F2,1480,786,800,964,0.5405405405405406,0.6513513513513514,0.8153526970954357,0.9825,0.803680981595092,0.7537231802123139
J4,J5,1480,61,68,70,0.04594594594594595,0.0472972972972973,0.8714285714285714,0.8970588235294118,0.7922077922077922,0.8784909890331823
J3,J5,1480,65,78,70,0.052702702702702706,0.0472972972972973,0.9285714285714286,0.8333333333333334,0.7831325301204819,0.8734114689490363
F2,U3,1480,885,964,1080,0.6513513513513514,0.7297297297297297,0.8194444444444444,0.9180497925311203,0.7635893011216566,0.5796022976880464
J1,J2,1480,99,132,99,0.0891891891891892,0.06689189189189189,1.0,0.75,0.75,0.8556156872100086
F2,U1,1480,958,964,1317,0.6513513513513514,0.8898648648648648,0.7274107820804859,0.9937759336099585,0.7241118669690099,0.453680908018467
J2,J5,1480,68,99,70,0.06689189189189189,0.0472972972972973,0.9714285714285714,0.6868686868686869,0.6732673267326733,0.8067016123322096
J2,J4,1480,65,99,68,0.06689189189189189,0.04594594594594595,0.9558823529411765,0.6565656565656566,0.6372549019607843,0.7808749439425287
F1,U3,1480,725,800,1080,0.5405405405405406,0.7297297297297297,0.6712962962962963,0.90625,0.6277056277056277,0.43112674267109363
J2,J3,1480,68,99,78,0.06689189189189189,0.052702702702702706,0.8717948717948718,0.6868686868686869,0.6238532110091743,0.7599134101903285
F1,U1,1480,796,800,1317,0.5405405405405406,0.8898648648648648,0.6044039483675019,0.995,0.6025738077214232,0.36426164129729577
U1,U4,1480,756,1317,762,0.8898648648648648,0.5148648648648648,0.9921259842519685,0.5740318906605922,0.5714285714285714,0.33651221375501583
J1,J3,1480,75,132,78,0.0891891891891892,0.052702702702702706,0.9615384615384616,0.5681818181818182,0.5555555555555556,0.721927360189014
J1,J5,1480,68,132,70,0.0891891891891892,0.0472972972972973,0.9714285714285714,0.5151515151515151,0.5074626865671642,0.6896928245689057
J1,J4,1480,67,132,68,0.0891891891891892,0.04594594594594595,0.9852941176470589,0.5075757575757576,0.5037593984962406,0.6899629614292899
U3,U4,1480,610,1080,762,0.7297297297297297,0.5148648648648648,0.800524934383202,0.5648148148148148,0.49512987012987014,0.1642248776866429
F2,U4,1480,571,964,762,0.6513513513513514,0.5148648648648648,0.7493438320209974,0.5923236514522822,0.49437229437229435,0.21183921728415897
H1,U3,1480,551,630,1080,0.42567567567567566,0.7297297297297297,0.5101851851851852,0.8746031746031746,0.47540983606557374,0.28084677486493437
H1,U1,1480,627,630,1317,0.42567567567567566,0.8898648648648648,0.4760820045558087,0.9952380952380953,0.475,0.28977848115429816
F1,U4,1480,483,800,762,0.5405405405405406,0.5148648648648648,0.6338582677165354,0.60375,0.44763670064874883,0.19290419927388694
F2,H1,1480,478,964,630,0.6513513513513514,0.42567567567567566,0.7587301587301587,0.495850622406639,0.4283154121863799,0.19398928198688062
F1,F3,1480,315,800,318,0.5405405405405406,0.21486486486486486,0.9905660377358491,0.39375,0.39227895392278955,0.47239999234396274
F1,H1,1480,393,800,630,0.5405405405405406,0.42567567567567566,0.6238095238095238,0.49125,0.3789778206364513,0.14384883178645294
F2,F3,1480,318,964,318,0.6513513513513514,0.21486486486486486,1.0,0.32987551867219916,0.32987551867219916,0.38273381099875486
F3,U3,1480,295,318,1080,0.21486486486486486,0.7297297297297297,0.27314814814814814,0.9276729559748428,0.26745240253853125,0.23316909250654452
S1,U1,1480,357,514,1317,0.3472972972972973,0.8898648648648648,0.27107061503416857,0.6945525291828794,0.24219810040705564,-0.4550904223865721
F3,U1,1480,317,318,1317,0.21486486486486486,0.8898648648648648,0.24069855732725892,0.9968553459119497,0.24051593323216997,0.1787848283472232
F3,H1,1480,164,318,630,0.21486486486486486,0.42567567567567566,0.26031746031746034,0.5157232704402516,0.20918367346938777,0.0952718483087803
F3,U4,1480,175,318,762,0.21486486486486486,0.5148648648648648,0.22965879265091863,0.550314465408805,0.19337016574585636,0.03710597514755369
S1,U4,1480,191,514,762,0.3472972972972973,0.5148648648648648,0.25065616797900264,0.3715953307392996,0.17603686635944701,-0.20910713539868167
H1,S1,1480,148,630,514,0.42567567567567566,0.3472972972972973,0.28793774319066145,0.23492063492063492,0.14859437751004015,-0.2032022599971175
S1,U3,1480,197,514,1080,0.3472972972972973,0.7297297297297297,0.1824074074074074,0.3832684824902724,0.14101646385110952,-0.5690723736848017
H1,J1,1480,87,630,132,0.42567567567567566,0.0891891891891892,0.6590909090909091,0.1380952380952381,0.1288888888888889,0.14772472608687406
F2,J1,1480,106,964,132,0.6513513513513514,0.0891891891891892,0.803030303030303,0.10995850622406639,0.10707070707070707,0.09960145564094451
H1,J2,1480,68,630,99,0.42567567567567566,0.06689189189189189,0.6868686868686869,0.10793650793650794,0.10287443267776097,0.1414374077546648
J1,U1,1480,130,132,1317,0.0891891891891892,0.8898648648648648,0.09870918754745633,0.9848484848484849,0.09855951478392722,0.0949436147599024
F1,J1,1480,83,800,132,0.5405405405405406,0.0891891891891892,0.6287878787878788,0.10375,0.0977620730270907,0.05541226467360294
H1,J3,1480,61,630,78,0.42567567567567566,0.052702702702702706,0.782051282051282,0.09682539682539683,0.09428129829984544,0.170005605597922
H1,U4,1480,118,630,762,0.42567567567567566,0.5148648648648648,0.15485564304461943,0.1873015873015873,0.09262166405023547,-0.5642583927108559
F2,J2,1480,86,964,99,0.6513513513513514,0.06689189189189189,0.8686868686868687,0.08921161825726141,0.08802456499488229,0.12210960064327807
F1,J2,1480,72,800,99,0.5405405405405406,0.06689189189189189,0.7272727272727273,0.09,0.08706166868198308,0.10032339179056546
H1,J5,1480,55,630,70,0.42567567567567566,0.0472972972972973,0.7857142857142857,0.0873015873015873,0.08527131782945736,0.16224469968476937
F3,J1,1480,35,318,132,0.21486486486486486,0.0891891891891892,0.26515151515151514,0.11006289308176101,0.08433734939759036,0.03831244056001463
H1,J4,1480,52,630,68,0.42567567567567566,0.04594594594594595,0.7647058823529411,0.08253968253968254,0.0804953560371517,0.15047261906860632
J1,U3,1480,89,132,1080,0.0891891891891892,0.7297297297297297,0.0824074074074074,0.6742424242424242,0.0792520035618878,-0.039098085958822984
F3,J2,1480,30,318,99,0.21486486486486486,0.06689189189189189,0.30303030303030304,0.09433962264150944,0.07751937984496124,0.057473046633665974
J2,U1,1480,99,99,1317,0.06689189189189189,0.8898648648648648,0.07517084282460136,1.0,0.07517084282460136,0.09419366011006912
F2,J3,1480,72,964,78,0.6513513513513514,0.052702702702702706,0.9230769230769231,0.07468879668049792,0.07422680412371134,0.1344937656289103
F1,J3,1480,56,800,78,0.5405405405405406,0.052702702702702706,0.717948717948718,0.07,0.0681265206812652,0.08396710777697045
F2,J5,1480,65,964,70,0.6513513513513514,0.0472972972972973,0.9285714285714286,0.06742738589211618,0.06707946336429309,0.1296171569963767
F2,J4,1480,63,964,68,0.6513513513513514,0.04594594594594595,0.9264705882352942,0.06535269709543569,0.06501547987616099,0.1266941067257795
J2,U3,1480,71,99,1080,0.06689189189189189,0.7297297297297297,0.06574074074074074,0.7171717171717171,0.06407942238267147,-0.007571144115954234
F1,J5,1480,52,800,70,0.5405405405405406,0.0472972972972973,0.7428571428571429,0.065,0.06356968215158924,0.09045514041467771
F1,J4,1480,51,800,68,0.5405405405405406,0.04594594594594595,0.75,0.06375,0.06242350061199511,0.09223576454186971
F3,J4,1480,22,318,68,0.21486486486486486,0.04594594594594595,0.3235294117647059,0.06918238993710692,0.06043956043956044,0.05805906971664663
F3,J3,1480,22,318,78,0.21486486486486486,0.052702702702702706,0.28205128205128205,0.06918238993710692,0.058823529411764705,0.03858334428360766
J1,U4,1480,49,132,762,0.0891891891891892,0.5148648648648648,0.06430446194225722,0.3712121212121212,0.05798816568047337,-0.08994519179376417
J3,U1,1480,76,78,1317,0.052702702702702706,0.8898648648648648,0.05770690964312832,0.9743589743589743,0.0576194086429113,0.06366119013362175
F3,J5,1480,20,318,70,0.21486486486486486,0.0472972972972973,0.2857142857142857,0.06289308176100629,0.05434782608695652,0.03843446671741357
J5,U1,1480,70,70,1317,0.0472972972972973,0.8898648648648648,0.05315110098709187,1.0,0.05315110098709187,0.07838633846132267
J3,U3,1480,57,78,1080,0.052702702702702706,0.7297297297297297,0.05277777777777778,0.7307692307692307,0.051771117166212535,0.0005521004034202434
