antecedent,consequent,antecedent_support,cofire,confidence,misses,meets_threshold
F3,F2,318,318,1.0,0,True
J2,J1,99,99,1.0,0,True
J2,U1,99,99,1.0,0,True
J5,U1,70,70,1.0,0,True
J4,J3,68,68,1.0,0,True
J4,U1,68,68,1.0,0,True
F3,U1,318,317,0.9968553459119497,1,True
U3,U1,1080,1076,0.9962962962962963,4,True
H1,U1,630,627,0.9952380952380953,3,True
F1,U1,800,796,0.995,4,True
F2,U1,964,958,0.9937759336099585,6,True
U4,U1,762,756,0.9921259842519685,6,True
F3,F1,318,315,0.9905660377358491,3,True
J4,J1,68,67,0.9852941176470589,1,True
J1,U1,132,130,0.9848484848484849,2,True
F1,F2,800,786,0.9825,14,True
J3,U1,78,76,0.9743589743589743,2,True
J5,J1,70,68,0.9714285714285714,2,True
J5,J2,70,68,0.9714285714285714,2,True
J3,J1,78,75,0.9615384615384616,3,True
J4,J2,68,65,0.9558823529411765,3,True
J5,F2,70,65,0.9285714285714286,5,False
J5,J3,70,65,0.9285714285714286,5,False
F3,U3,318,295,0.9276729559748428,23,False
J4,F2,68,63,0.9264705882352942,5,False
J3,F2,78,72,0.9230769230769231,6,False
F2,U3,964,885,0.9180497925311203,79,False
F1,U3,800,725,0.90625,75,False
J4,J5,68,61,0.8970588235294118,7,False
H1,U3,630,551,0.8746031746031746,79,False
J3,J2,78,68,0.8717948717948718,10,False
J3,J4,78,68,0.8717948717948718,10,False
J5,J4,70,61,0.8714285714285714,9,False
J2,F2,99,86,0.8686868686868687,13,False
J3,J5,78,65,0.8333333333333334,13,False
U3,F2,1080,885,0.8194444444444444,195,False
U1,U3,1317,1076,0.8170083523158694,241,False
F2,F1,964,786,0.8153526970954357,178,False
J1,F2,132,106,0.803030303030303,26,False
U4,U3,762,610,0.800524934383202,152,False
J5,H1,70,55,0.7857142857142857,15,False
J3,H1,78,61,0.782051282051282,17,False
J4,H1,68,52,0.7647058823529411,16,False
J4,U3,68,52,0.7647058823529411,16,False
H1,F2,630,478,0.7587301587301587,152,False
J1,J2,132,99,0.75,33,False
J4,F1,68,51,0.75,17,False
U4,F2,762,571,0.7493438320209974,191,False
J5,F1,70,52,0.7428571428571429,18,False
J3,U3,78,57,0.7307692307692307,21,False
J5,U3,70,51,0.7285714285714285,19,False
U1,F2,1317,958,0.7274107820804859,359,False
J2,F1,99,72,0.7272727272727273,27,False
J3,F1,78,56,0.717948717948718,22,False
J2,U3,99,71,0.7171717171717171,28,False
S1,U1,514,357,0.6945525291828794,157,False
J2,H1,99,68,0.6868686868686869,31,False
J2,J3,99,68,0.6868686868686869,31,False
J2,J5,99,68,0.6868686868686869,31,False
J1,U3,132,89,0.6742424242424242,43,False
U3,F1,1080,725,0.6712962962962963,355,False
J1,H1,132,87,0.6590909090909091,45,False
J2,J4,99,65,0.6565656565656566,34,False
U4,F1,762,483,0.6338582677165354,279,False
J1,F1,132,83,0.6287878787878788,49,False
H1,F1,630,393,0.6238095238095238,237,False
U1,F1,1317,796,0.6044039483675019,521,False
F1,U4,800,483,0.60375,317,False
F2,U4,964,571,0.5923236514522822,393,False
U1,U4,1317,756,0.5740318906605922,561,False
J1,J3,132,75,0.5681818181818182,57,False
U3,U4,1080,610,0.5648148148148148,470,False
F3,U4,318,175,0.550314465408805,143,False
F3,H1,318,164,0.5157232704402516,154,False
J1,J5,132,68,0.5151515151515151,64,False
U3,H1,1080,551,0.5101851851851852,529,False
J1,J4,132,67,0.5075757575757576,65,False
F2,H1,964,478,0.495850622406639,486,False
F1,H1,800,393,0.49125,407,False
U1,H1,1317,627,0.4760820045558087,690,False
F1,F3,800,315,0.39375,485,False
S1,U3,514,197,0.3832684824902724,317,False
S1,U4,514,191,0.3715953307392996,323,False
J1,U4,132,49,0.3712121212121212,83,False
J2,U4,99,36,0.36363636363636365,63,False
