antecedent,consequent,antecedent_active_cases,case_support_confidence,mean_consequent_rate_when_active,mean_rate_gap_when_active,cases_with_a_rate_gt_b_rate,cases_with_a_rate_le_b_rate
U4,U1,282,1.0,0.902127659574468,0.0,0,282
F3,F2,144,1.0,0.9819444444444445,0.0,0,144
F3,U1,144,1.0,0.9930555555555556,0.0,0,144
J1,U1,92,1.0,0.9369565217391305,0.0,0,92
J2,J1,71,1.0,0.30985915492957744,0.0,0,71
J2,U1,71,1.0,0.9577464788732394,0.0,0,71
J3,U1,57,1.0,0.9719298245614035,0.0,0,57
J5,U1,52,1.0,0.9884615384615384,0.0,0,52
J4,J1,50,1.0,0.33199999999999996,0.0,0,50
J4,J3,50,1.0,0.28,0.0,0,50
J4,U1,50,1.0,0.988,0.0,0,50
U2,H1,2,1.0,0.30000000000000004,0.0,0,2
U2,S1,2,1.0,1.0,0.0,0,2
U2,U1,2,1.0,0.6,0.0,0,2
U2,U3,2,1.0,0.5,0.0,0,2
U2,U4,2,1.0,0.30000000000000004,0.0,0,2
H1,U1,259,1.0,0.9235521235521235,0.0007722007722007724,1,258
F1,U1,194,1.0,0.9917525773195877,0.0010309278350515462,1,193
F3,F1,144,1.0,0.8833333333333333,0.0013888888888888894,1,143
U3,U1,283,1.0,0.9130742049469964,0.002120141342756184,3,280
F3,U3,144,1.0,0.9055555555555554,0.002777777777777778,2,142
F2,U1,197,1.0,0.9918781725888325,0.006091370558375634,4,193
J3,J1,57,1.0,0.319298245614035,0.007017543859649123,2,55
J5,J1,52,1.0,0.33461538461538454,0.007692307692307693,2,50
J5,J2,52,1.0,0.30384615384615377,0.007692307692307693,2,50
J5,U3,52,1.0,0.8499999999999999,0.007692307692307693,1,51
J4,U3,50,1.0,0.848,0.008,1,49
F1,U3,194,1.0,0.9072164948453608,0.05257731958762886,41,153
F2,U3,197,1.0,0.9086294416243654,0.07715736040609136,64,133
F1,F2,194,0.9948453608247423,0.9731958762886599,0.007216494845360823,7,187
H1,U3,259,0.9884169884169884,0.7706563706563707,0.03088803088803089,32,227
F3,U4,144,0.9861111111111112,0.6000000000000001,0.07361111111111113,32,112
J2,U3,71,0.9859154929577465,0.8112676056338027,0.008450704225352114,2,69
F2,U4,197,0.9847715736040609,0.5898477157360407,0.39289340101522846,173,24
F1,U4,194,0.9845360824742269,0.5948453608247423,0.27628865979381445,133,61
S1,U1,115,0.9826086956521739,0.7252173913043479,0.26608695652173914,72,43
J3,H1,57,0.9824561403508771,0.6350877192982457,0.007017543859649122,2,55
J3,U3,57,0.9824561403508771,0.831578947368421,0.010526315789473686,2,55
J5,H1,52,0.9807692307692307,0.6538461538461539,0.007692307692307692,2,50
J4,H1,50,0.98,0.6560000000000001,0.008,2,48
J4,J2,50,0.98,0.296,0.012000000000000002,3,47
F2,F1,197,0.9796954314720813,0.8111675126903553,0.17360406091370556,91,106
J2,H1,71,0.971830985915493,0.5999999999999999,0.011267605633802816,4,67
J2,U4,71,0.971830985915493,0.4507042253521127,0.039436619718309855,11,60
J1,H1,92,0.967391304347826,0.5608695652173913,0.015217391304347825,6,86
J1,U3,92,0.967391304347826,0.75,0.015217391304347827,6,86
J1,U4,92,0.967391304347826,0.4543478260869565,0.04347826086956521,14,78
J3,U4,57,0.9649122807017544,0.4736842105263159,0.03508771929824561,7,50
U4,U3,282,0.9645390070921985,0.7411347517730497,0.04609929078014184,45,237
U1,U3,294,0.9625850340136054,0.7346938775510204,0.16326530612244897,150,144
J5,F2,52,0.9615384615384616,0.9423076923076923,0.007692307692307693,2,50
J5,J3,52,0.9615384615384616,0.27307692307692305,0.019230769230769232,4,48
J5,U4,52,0.9615384615384616,0.4692307692307693,0.03846153846153846,7,45
U3,U4,283,0.9611307420494699,0.5250883392226148,0.27067137809187275,192,91
J4,F2,50,0.96,0.9359999999999999,0.008,2,48
J4,J5,50,0.96,0.256,0.028000000000000004,7,43
J4,U4,50,0.96,0.47200000000000003,0.036,6,44
U1,U4,294,0.9591836734693877,0.5183673469387754,0.37755102040816324,254,40
H1,U4,259,0.9575289575289575,0.505019305019305,0.1552123552123552,90,169
J3,F2,57,0.9473684210526315,0.9263157894736842,0.010526315789473686,3,54
F2,H1,197,0.934010152284264,0.4954314720812183,0.4852791878172589,177,20
F1,H1,194,0.9329896907216495,0.49175257731958766,0.36494845360824746,147,47
J3,J2,57,0.9298245614035088,0.2736842105263158,0.03157894736842106,9,48
F3,H1,144,0.9236111111111112,0.49166666666666664,0.1111111111111111,47,97
J5,F1,52,0.9230769230769231,0.769230769230769,0.023076923076923075,4,48
J5,J4,52,0.9230769230769231,0.2538461538461538,0.03461538461538462,7,45
J4,F1,50,0.92,0.772,0.02,4,46
J3,F1,57,0.9122807017543859,0.7543859649122807,0.02105263157894737,5,52
U3,H1,283,0.9045936395759717,0.4424028268551237,0.3462897526501767,213,70
S1,U4,115,0.9043478260869565,0.40000000000000013,0.5408695652173913,98,17
S1,U3,115,0.8869565217391304,0.44,0.5339130434782609,97,18
U1,H1,294,0.8809523809523809,0.4285714285714286,0.46802721088435373,270,24
U4,H1,282,0.8794326241134752,0.41914893617021276,0.23617021276595743,156,126
J3,J4,57,0.8771929824561403,0.23859649122807017,0.03508771929824561,9,48
J3,J5,57,0.8771929824561403,0.2350877192982456,0.0456140350877193,13,44
J2,F2,71,0.8732394366197183,0.8535211267605634,0.02535211267605634,9,62
J2,F1,71,0.8450704225352113,0.7098591549295773,0.03661971830985916,11,60
J1,F2,92,0.782608695652174,0.7673913043478262,0.04782608695652174,20,72
S1,H1,115,0.7739130434782608,0.3060869565217392,0.6173913043478261,100,15
J1,J2,92,0.7717391304347826,0.2152173913043478,0.07173913043478261,31,61
J1,F1,92,0.7608695652173914,0.617391304347826,0.058695652173913045,23,69
J2,J3,71,0.7464788732394366,0.20845070422535208,0.08450704225352113,27,44
F1,F3,194,0.7422680412371134,0.3278350515463918,0.49793814432989686,184,10
J2,J5,71,0.7323943661971831,0.19718309859154926,0.08732394366197184,29,42
F2,F3,197,0.7309644670050761,0.3228426395939087,0.6558375634517766,193,4
H1,F2,259,0.7104247104247104,0.694980694980695,0.11119691119691122,77,182
H1,F1,259,0.6988416988416989,0.5745173745173746,0.14208494208494207,99,160
U3,F2,283,0.696113074204947,0.6812720848056537,0.13568904593639577,92,191
J2,J4,71,0.6901408450704225,0.18873239436619713,0.09577464788732395,31,40
U4,F2,282,0.6879432624113475,0.6737588652482269,0.13120567375886524,92,190
U3,F1,283,0.6855123674911661,0.5653710247349824,0.23392226148409895,163,120
U4,F1,282,0.6773049645390071,0.5602836879432624,0.16312056737588654,118,164
U1,F2,294,0.6700680272108843,0.6557823129251701,0.2442176870748299,112,182
J4,F3,50,0.66,0.276,0.11200000000000002,22,28
U1,F1,294,0.6598639455782312,0.54421768707483,0.35238095238095235,192,102
J5,F3,52,0.6346153846153846,0.27307692307692305,0.11923076923076925,24,28
J3,F3,57,0.631578947368421,0.256140350877193,0.12280701754385964,26,31
J1,J3,92,0.6195652173913043,0.16956521739130434,0.1217391304347826,46,46
J2,F3,71,0.5774647887323944,0.24225352112676055,0.13239436619718303,41,30
J1,J5,92,0.5652173913043478,0.15217391304347827,0.1391304347826087,54,38
J1,J4,92,0.5434782608695652,0.14782608695652175,0.1391304347826087,53,39
J1,F3,92,0.5217391304347826,0.21521739130434783,0.15652173913043477,55,37
H1,F3,259,0.5135135135135135,0.2254826254826255,0.3027027027027027,193,66
U3,F3,283,0.508833922261484,0.22473498233215547,0.5399293286219081,269,14
U4,F3,282,0.5035460992907801,0.22056737588652484,0.35248226950354605,227,55
U1,F3,294,0.4897959183673469,0.21632653061224488,0.6795918367346938,290,4
U1,S1,294,0.3843537414965986,0.3428571428571429,0.6503401360544218,198,96
U4,S1,282,0.36879432624113473,0.325531914893617,0.3964539007092199,191,91
F2,J1,197,0.36548223350253806,0.1116751269035533,0.8670050761421321,196,1
F1,J1,194,0.36082474226804123,0.10927835051546393,0.7164948453608248,186,8
U3,S1,283,0.36042402826855124,0.31731448763250886,0.6169611307420495,196,87
H1,S1,259,0.3436293436293436,0.3019305019305019,0.3637065637065638,177,82
H1,J1,259,0.3436293436293436,0.0996138996138996,0.38996138996138996,235,24
F3,J1,144,0.3333333333333333,0.10833333333333334,0.35833333333333334,119,25
U4,J1,282,0.31560283687943264,0.09078014184397162,0.46099290780141844,244,38
F2,J2,197,0.3147208121827411,0.09137055837563451,0.8873096446700508,196,1
U3,J1,283,0.31448763250883394,0.0911660777385159,0.6749116607773852,272,11
U1,J1,294,0.3129251700680272,0.08979591836734693,0.8061224489795918,293,1
F1,J2,194,0.30927835051546393,0.08865979381443301,0.7360824742268042,190,4
F3,J2,144,0.2847222222222222,0.09166666666666666,0.36944444444444446,123,21
J1,S1,92,0.2826086956521739,0.22826086956521738,0.22608695652173913,67,25
F2,J3,197,0.27411167512690354,0.07614213197969544,0.9025380710659899,196,1
F1,J3,194,0.26804123711340205,0.07422680412371134,0.7505154639175258,190,4
H1,J2,259,0.26640926640926643,0.0749034749034749,0.4131274131274132,246,13
F2,J5,197,0.25380710659898476,0.06903553299492386,0.9096446700507613,196,1
F3,J3,144,0.25,0.07083333333333333,0.3819444444444444,126,18
F1,J5,194,0.24742268041237114,0.06597938144329897,0.7587628865979381,190,4
U3,J2,283,0.24734982332155478,0.06925795053003535,0.6954063604240283,278,5
U4,J2,282,0.24468085106382978,0.06879432624113474,0.48014184397163123,254,28
F2,J4,197,0.2436548223350254,0.06700507614213197,0.9116751269035532,196,1
U1,J2,294,0.24149659863945577,0.0673469387755102,0.8285714285714285,293,1
F1,J4,194,0.23711340206185566,0.06494845360824741,0.7597938144329898,191,3
F3,J4,144,0.22916666666666666,0.06666666666666668,0.3861111111111111,128,16
F3,J5,144,0.22916666666666666,0.06527777777777778,0.3875,129,15
S1,J1,115,0.22608695652173913,0.05043478260869566,0.8452173913043478,109,6
H1,J3,259,0.21621621621621623,0.05945945945945947,0.42779922779922785,252,7
J2,S1,71,0.2112676056338028,0.14366197183098592,0.23661971830985912,57,14
U3,J3,283,0.1978798586572438,0.05441696113074204,0.7102473498233216,282,1
H1,J5,259,0.1969111969111969,0.05328185328185329,0.433976833976834,255,4
U4,J3,282,0.1950354609929078,0.05390070921985816,0.4921985815602836,261,21
U1,J3,294,0.19387755102040816,0.053061224489795916,0.8428571428571427,293,1
H1,J4,259,0.1891891891891892,0.051737451737451735,0.43552123552123556,253,6
U3,J5,283,0.18374558303886926,0.04946996466431095,0.7151943462897526,282,1
U4,J5,282,0.1773049645390071,0.048226950354609936,0.49787234042553186,263,19
U1,J5,294,0.17687074829931973,0.047619047619047616,0.8482993197278911,293,1
U3,J4,283,0.17667844522968199,0.0480565371024735,0.71660777385159,282,1
U4,J4,282,0.1702127659574468,0.04680851063829788,0.49858156028368794,263,19
U1,J4,294,0.17006802721088435,0.04625850340136055,0.8496598639455781,293,1
S1,F1,115,0.14782608695652175,0.10956521739130433,0.8591304347826086,101,14
S1,F2,115,0.1391304347826087,0.12173913043478261,0.8573913043478261,100,15
S1,J2,115,0.13043478260869565,0.02782608695652174,0.8678260869565217,109,6
J3,S1,57,0.12280701754385964,0.06666666666666667,0.24912280701754386,51,6
J4,S1,50,0.12,0.055999999999999994,0.24799999999999997,45,5
S1,F3,115,0.11304347826086956,0.0382608695652174,0.871304347826087,105,10
J5,S1,52,0.09615384615384616,0.05,0.25,47,5
F3,S1,144,0.09027777777777778,0.023611111111111114,0.4236111111111111,136,8
F1,S1,194,0.08762886597938144,0.026804123711340208,0.8041237113402062,190,4
F2,S1,197,0.08121827411167512,0.02233502538071066,0.9573604060913705,195,2
S1,J3,115,0.06086956521739131,0.01391304347826087,0.8817391304347826,111,4
S1,J4,115,0.05217391304347826,0.01217391304347826,0.8834782608695652,111,4
S1,J5,115,0.043478260869565216,0.008695652173913044,0.8852173913043478,112,3
S1,U2,115,0.017391304347826087,0.0034782608695652175,0.8904347826086956,115,0
H1,U2,259,0.007722007722007722,0.0015444015444015444,0.48494208494208496,258,1
U4,U2,282,0.0070921985815602835,0.0014184397163120568,0.5390070921985816,281,1
U3,U2,283,0.007067137809187279,0.001413427561837456,0.7618374558303886,283,0
U1,U2,294,0.006802721088435374,0.001360544217687075,0.8945578231292517,294,0
U2,F1,2,0.0,0.0,0.2,2,0
U2,F2,2,0.0,0.0,0.2,2,0
U2,F3,2,0.0,0.0,0.2,2,0
U2,J1,2,0.0,0.0,0.2,2,0
U2,J2,2,0.0,0.0,0.2,2,0
U2,J3,2,0.0,0.0,0.2,2,0
U2,J4,2,0.0,0.0,0.2,2,0
U2,J5,2,0.0,0.0,0.2,2,0
J5,U2,52,0.0,0.0,0.2692307692307692,52,0
J4,U2,50,0.0,0.0,0.272,50,0
J3,U2,57,0.0,0.0,0.2736842105263158,57,0
